,states,coherence
0,'0000100111',0.555
1,'0010100111',0.508
2,'0001001100',0.495
3,'0100110011',0.723
4,'0110110011',0.663
5,'1111011000',0.537
6,'1110110011',0.489
7,'1011001100',0.735
8,'1100110011',0.532
9,'0011001100',0.523
10,'1101011000',0.511
11,'0111011000',0.233
12,'1001001100',0.657
13,'0101011000',0.232
14,'1000100111',0.263
15,'1010100111',0.249
16,'0000100110',0.588
17,'1100010011',0.602
18,'1111011001',0.588
19,'0011101100',0.604
20,'1000100110',0.295
21,'0111111000',0.366
22,'1000000111',0.364
23,'0111011001',0.292
