"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0253182916847516,-0.0443317256952131,-0.420994617746569,1,-0.0443317256952131,-1,0.0443317256952131,0.455018877223582
"GRHL2",1,1,-0.0253182916847516,-0.0443317256952131,-0.420994617746569,1,-0.0443317256952131,-1,0.0443317256952131,0.455018877223582
"Iext",-0.0253182916847516,-0.0253182916847516,1,0.5714994478665,-0.106174060672808,-0.0253182916847516,0.5714994478665,0.0253182916847516,-0.5714994478665,-0.16081213558475
"KEAP1",-0.0443317256952131,-0.0443317256952131,0.5714994478665,1,-0.534674357971074,-0.0443317256952131,1,0.0443317256952131,-1,-0.589312440286525
"NRF2",-0.420994617746569,-0.420994617746569,-0.106174060672808,-0.534674357971074,1,-0.420994617746569,-0.534674357971074,0.420994617746569,0.534674357971074,0.123986661650579
"OVOL2",1,1,-0.0253182916847516,-0.0443317256952131,-0.420994617746569,1,-0.0443317256952131,-1,0.0443317256952131,0.455018877223582
"SNAIL",-0.0443317256952131,-0.0443317256952131,0.5714994478665,1,-0.534674357971074,-0.0443317256952131,1,0.0443317256952131,-1,-0.589312440286525
"ZEB",-1,-1,0.0253182916847516,0.0443317256952131,0.420994617746569,-1,0.0443317256952131,1,-0.0443317256952131,-0.455018877223582
"miR200",0.0443317256952131,0.0443317256952131,-0.5714994478665,-1,0.534674357971074,0.0443317256952131,-1,-0.0443317256952131,1,0.589312440286525
"miR34",0.455018877223582,0.455018877223582,-0.16081213558475,-0.589312440286525,0.123986661650579,0.455018877223582,-0.589312440286525,-0.455018877223582,0.589312440286525,1
