"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.827017152492803,0.827017152492803,0.816482611853882,0.838975725782278,0.75149033280524,0.57072270574215,-0.50257231113967,-0.540747448167365,-0.564013273933347,-0.68069351645509,-0.747445667704243,-0.764122247156945,-0.916892582008225,-0.846516722967391,-0.889043299001172
"miR200b",0.827017152492803,0.827017152492803,0.816482611853882,0.838975725782278,0.75149033280524,0.57072270574215,-0.50257231113967,-0.540747448167365,-0.564013273933347,-0.68069351645509,-0.747445667704243,-0.764122247156945,-0.916892582008225,-0.846516722967391,-0.889043299001172
"miR200a",0.827017152492803,0.827017152492803,0.816482611853882,0.838975725782278,0.75149033280524,0.57072270574215,-0.50257231113967,-0.540747448167365,-0.564013273933347,-0.68069351645509,-0.747445667704243,-0.764122247156945,-0.916892582008225,-0.846516722967391,-0.889043299001172
"miR141",0.827017152492803,0.827017152492803,0.816482611853882,0.838975725782278,0.75149033280524,0.57072270574215,-0.50257231113967,-0.540747448167365,-0.564013273933347,-0.68069351645509,-0.747445667704243,-0.764122247156945,-0.916892582008225,-0.846516722967391,-0.889043299001172
"miR101",0.743529310987964,0.743529310987964,0.728635846244282,0.757282431433637,0.587020838633159,0.513512200754298,-0.391589707426398,-0.488789452593678,-0.430946542473031,-0.558892307686858,-0.625950559279838,-0.60239314014983,-0.823614175886845,-0.671997755795512,-0.792488670077639
"miR34a",0.757186821264829,0.757186821264829,0.743243484263489,0.773134878786448,0.641530791586859,0.581305366101104,-0.47734023019731,-0.538063807430975,-0.557444852556938,-0.793410076695536,-0.756550934163243,-0.613689650885076,-0.840824476692945,-0.685059588934281,-0.705501660605454
"SNAI1",-0.545790913964448,-0.545790913964448,-0.526965889444827,-0.473040303236315,-0.39925634077447,-0.426198688110114,0.1934917256125,0.399941357399464,0.33281952598112,0.459631473302544,0.514329647815977,0.447533922447864,0.519236349141295,0.497156448105008,0.561932453081186
"TGFbeta",-0.621002349610821,-0.621002349610821,-0.705166505644115,-0.639762774473663,-0.588969565036241,-0.532594157881964,0.438095940868545,0.499280474344666,0.516229604461163,0.650861143483148,0.709871602164503,0.687817118031387,0.702160000914801,0.653496033380639,0.661968830779865
"FOXC2",-0.855303981365709,-0.855303981365709,-0.847198812667689,-0.864448109014597,-0.790495703823554,-0.534088085372086,0.492178826473973,0.50880270217931,0.529798670268924,0.71763548938204,0.690085723259219,0.683490911316976,0.946665075227933,0.770310395557663,0.724404855981856
"SNAI2",-0.710678406599141,-0.710678406599141,-0.899051594540608,-0.723103999495691,-0.620291807078346,-0.754389799283958,0.483612714665644,0.51709868913833,0.643446947598421,0.855846248820473,0.82238778358767,0.753091063735655,0.797960717092086,0.832702894826373,0.769951710052694
"ZEB1",-0.935672837522914,-0.935672837522914,-0.925856875641938,-0.946665075227933,-0.861725126658041,-0.595575355021106,0.537162187043485,0.56681120618568,0.591777363802659,0.790290306068256,0.75968079698962,0.770310395557663,0.92525263445436,0.853794365736845,0.799938016192295
"GSC",-0.764218633265694,-0.764218633265694,-0.749472054067146,-0.779683336981143,-0.663337067178287,-0.571787014755624,0.484136759434787,0.62052651067316,0.632964773751788,0.596328292149011,0.654504936714412,0.617609221139972,0.848896140318855,0.690709259298202,0.813912533194104
"TWIST2",-0.769535579601667,-0.769535579601667,-0.75572388459592,-0.783878645309078,-0.655244953885225,-0.591031290590228,0.490683359354325,0.533271189002524,0.670534192544476,0.702863813818122,0.76700168354735,0.621999997437988,0.853581380148554,0.695504774903977,0.821469869904954
"TWIST1",-0.769297261780245,-0.769297261780245,-0.755759160825089,-0.78254880635032,-0.642620064576095,-0.572718597830398,0.408917554363157,0.614316768918103,0.549212326957636,0.698023747822254,0.764714388034845,0.621456946658843,0.85228852674356,0.694818600200828,0.82186487265953
"ZEB2",-0.953571704597839,-0.953571704597839,-0.945143162175217,-0.763132921890253,-0.689930144793014,-0.525191898070221,0.477170939941395,0.501682985765006,0.521784056581648,0.61476893127266,0.686838473349469,0.781989087660717,0.84469369803499,0.868586029126704,0.922349280292947
