"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","ZEB2","TWIST2","SNAI2","GSC","TGFbeta","ZEB1"
"miR200b",0.688926506038055,0.674254379463462,0.674254379463462,0.76288169616232,0.701276683333107,0.548710728120847,-0.476388855766948,-0.516113102843597,-0.539332932787595,-0.610843393085149,-0.65010078908909,-0.710935225564257,-0.675772716053411,-0.736062740779572,-0.821684643437202
"miR200a",0.688926506038055,0.674254379463462,0.674254379463462,0.76288169616232,0.701276683333107,0.548710728120847,-0.476388855766948,-0.516113102843597,-0.539332932787595,-0.610843393085149,-0.65010078908909,-0.710935225564257,-0.675772716053411,-0.736062740779572,-0.821684643437202
"miR141",0.688926506038055,0.674254379463462,0.674254379463462,0.76288169616232,0.701276683333107,0.548710728120847,-0.476388855766948,-0.516113102843597,-0.539332932787595,-0.610843393085149,-0.65010078908909,-0.710935225564257,-0.675772716053411,-0.736062740779572,-0.821684643437202
"miR101",0.610661035383367,0.601766781117127,0.601766781117127,0.677527181236215,0.567200438517917,0.493795658396177,-0.368493848023389,-0.466677599454293,-0.408601436878036,-0.544538318619817,-0.534955875953345,-0.592060685692501,-0.517333866671477,-0.568420268613805,-0.727287305623739
"miR34a",0.648646241030941,0.640271811422157,0.640271811422157,0.704632463845154,0.610751304353145,0.569085648740084,-0.462171358608172,-0.524471629077581,-0.543413434367046,-0.498659683277933,-0.774104167062577,-0.733437916226155,-0.547732846710273,-0.601977857843833,-0.757583021306359
"miR200c",0.307186145363642,0.257748239251217,0.257748239251217,0.506453095573234,0.475871879761313,0.383795469897903,-0.322744746352338,-0.347533155749581,-0.366095521786308,-0.0233378691914231,-0.454891133809509,-0.494330999176994,-0.344591457624389,-0.378241731762258,-0.539222089945272
"FOXC2",-0.713065551340449,-0.695442402935574,-0.695442402935574,-0.792200290209716,-0.740426919772556,-0.510511227915143,0.463793263514704,0.482462189597809,0.503372478295488,0.41494305003123,0.686572862481708,0.651629256149338,0.592057400114185,0.656384626549122,0.854723116749373
"SNAI1",-0.462357233680808,-0.459401821156408,-0.459401821156408,-0.512422860306827,-0.475360450143405,-0.431225602189877,0.198000715969251,0.401956471555098,0.339767386778948,0.4180517163384,0.467524337136456,0.513640085213847,0.396661032493875,0.433678435141742,0.548606997615313
"ZEB1",-0.767892653971736,-0.748682090629102,-0.748682090629102,-0.854723116749373,-0.796431127754291,-0.561918435186405,0.500489443274131,0.530175615987876,0.554498590966496,0.454050719101731,0.747000698213914,0.708503181635328,0.656384626549122,0.715491415211224,0.812561236382644
"TGFbeta",-0.625350171889569,-0.520725047808399,-0.520725047808399,-0.575314320038222,-0.571833054280994,-0.526296865738232,0.429321281833793,0.491843849384856,0.508896628153156,0.488707200960819,0.638904653941761,0.694562522387463,0.632029194419513,0.582851934304652,0.624961176575063
"ZEB2",-0.722819635568407,-0.701788362655721,-0.701788362655721,-0.634085447060286,-0.59041394626577,-0.4668145115091,0.416010193028995,0.439321401587559,0.458301500140556,0.508220652298875,0.543158928111863,0.602142654338918,0.617523984789113,0.673841536927947,0.689216312879896
"SNAI2",-0.807582563809271,-0.598442828580033,-0.598442828580033,-0.664995201716715,-0.588599273494591,-0.743622788755364,0.469599777281202,0.504746300817643,0.630743344698655,0.559835379866571,0.839106316955142,0.80177876414789,0.694479327260589,0.75477939483567,0.724042951543393
"GSC",-0.634588062941568,-0.625225942244044,-0.625225942244044,-0.701746043133798,-0.618360853772194,-0.553251217048384,0.462170710910292,0.59985123912099,0.611825146120074,0.56699411636826,0.569809478751164,0.622699045838737,0.535861787150878,0.589613877254042,0.754176504855193
"TWIST1",-0.64380384216854,-0.634076689265215,-0.634076689265215,-0.70809745633073,-0.610632895321904,-0.554668013963126,0.387528255261856,0.594372119644166,0.528867138023526,0.58144491816205,0.673511554430886,0.733357240234959,0.542681944925268,0.597365935942271,0.761396409097639
"TWIST2",-0.64773847174648,-0.638149261216271,-0.638149261216271,-0.710223616814935,-0.618009308875997,-0.574447557042724,0.470704807241905,0.514891076012122,0.651659393752293,0.588428558266858,0.678749510700088,0.737849631907767,0.546126648822105,0.60090829301277,0.763677912806984
