"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.725363572521518,0.721804748102625,0.721804748102625,0.680207103350631,0.640370021771248,0.539784974646168,-0.468699856861655,-0.512425731121566,-0.530454773581881,-0.621084143046187,-0.698505399696266,-0.730517196656318,-0.695718070277912,-0.758693332172151,-0.829974284430755
"miR200b",0.725363572521518,0.721804748102625,0.721804748102625,0.680207103350631,0.640370021771248,0.539784974646168,-0.468699856861655,-0.512425731121566,-0.530454773581881,-0.621084143046187,-0.698505399696266,-0.730517196656318,-0.695718070277912,-0.758693332172151,-0.829974284430755
"miR200a",0.725363572521518,0.721804748102625,0.721804748102625,0.680207103350631,0.640370021771248,0.539784974646168,-0.468699856861655,-0.512425731121566,-0.530454773581881,-0.621084143046187,-0.698505399696266,-0.730517196656318,-0.695718070277912,-0.758693332172151,-0.829974284430755
"miR101",0.64145597732421,0.642395226267148,0.642395226267148,0.60531436393118,0.514228598906344,0.485906477432502,-0.361653514460426,-0.463278694561768,-0.400831451284093,-0.509326061208623,-0.580955206073255,-0.647821277190659,-0.534084456548207,-0.587459779829756,-0.737374331016311
"miR34a",0.663667247372766,0.662482934710859,0.662482934710859,0.628023527520275,0.554929849596593,0.558047220353188,-0.451596375756594,-0.516894612157034,-0.531994436199158,-0.746160346174804,-0.717682612320979,-0.672289674550373,-0.55102659955902,-0.606559099240485,-0.656710900316581
"miR141",0.120024748421815,0.089803174461478,0.089803174461478,-0.11649370921377,-0.0340105316260367,0.148377974183859,-0.11738802903364,-0.159392175989811,-0.126672949729704,-0.0744463399586429,-0.193169053217063,0.108757112649789,-0.154990187816634,-0.164662058523898,-0.305948566261853
"SNAI1",-0.480168445485239,-0.483548477582401,-0.483548477582401,-0.461898045437332,-0.438542447651618,-0.425461442749218,0.192710885469958,0.39891548579288,0.33395150653145,0.449946145661059,0.505382371901544,0.492564926442414,0.405331005042633,0.443681460826268,0.544382308136708
"FOXC2",-0.707811964755323,-0.69858045700729,-0.69858045700729,-0.644346229077112,-0.624990411601466,-0.477369271801466,0.432831051432666,0.456855638528431,0.469161585447143,0.619366337496741,0.606198368222746,0.693462534968762,0.57496791704642,0.636715855276342,0.626927947744792
"TGFbeta",-0.645746592991111,-0.547898571637931,-0.547898571637931,-0.521308904053548,-0.532653632696745,-0.521104139540401,0.424138713282962,0.489189367925523,0.503556453858442,0.621366661639492,0.686658279221967,0.563608619467923,0.641168896150871,0.594221099803191,0.630036989813551
"ZEB1",-0.761413839501605,-0.751969468403351,-0.751969468403351,-0.693462534968762,-0.670425422904822,-0.523413093717164,0.465464771610921,0.50034912198644,0.515149995746444,0.671134461093731,0.656789317244298,0.638893201708948,0.636715855276342,0.693592174938509,0.681094182511048
"SNAI2",-0.834569167122399,-0.633937464115067,-0.633937464115067,-0.601628114200762,-0.542778456531199,-0.737881835779723,0.463989806651639,0.502179067230747,0.624938515022124,0.818630921268311,0.793084325015117,0.65217152511319,0.707530701880952,0.770780122360479,0.732259486007562
"GSC",-0.662539461704311,-0.662604432240783,-0.662604432240783,-0.626510646975397,-0.562832982709156,-0.544647909905574,0.454340706869126,0.595557957207107,0.60323334828939,0.542998332005389,0.610381641495438,0.671006792336318,0.549875328379151,0.605719730057543,0.759266809294697
"TWIST1",-0.671349716133735,-0.670932625524497,-0.670932625524497,-0.634178049027573,-0.556694834361306,-0.54634791656115,0.379992394552361,0.590205534683899,0.520520448762707,0.647640391448645,0.72146359304212,0.679476649173289,0.556392525762443,0.613247407593263,0.768720733573625
"TWIST2",-0.67640910735725,-0.676206021056762,-0.676206021056762,-0.640974075111687,-0.567719993686427,-0.567396125653304,0.464314032375512,0.511726269601073,0.644613314102257,0.655268610430276,0.727662312021786,0.68662443263462,0.561002178611197,0.618250052209866,0.772422991058371
"ZEB2",-0.876382528574197,-0.873115900395808,-0.873115900395808,-0.63646747917018,-0.6023559654196,-0.505772881851821,0.454113546469213,0.484198155201156,0.500294023855908,0.572781278318913,0.653701665507042,0.6919596630542,0.73487679697312,0.804438374077703,0.881320255338643
