"","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","miR200b","GSC","SNAI2","TGFbeta","ZEB1","ZEB2"
"miR200c",0.642424443279875,0.642424443279875,0.647358404496196,0.601238791305235,0.47957095774697,-0.407631530366639,-0.443771635578619,-0.465617566870893,-0.568474576854877,0.154791026633526,-0.511057207212649,-0.616435963819142,-0.549796053564047,-0.688629509354016,-0.677134759109579
"miR200b",0.642424443279875,0.642424443279875,0.647358404496196,0.601238791305235,0.47957095774697,-0.407631530366639,-0.443771635578619,-0.465617566870893,-0.568474576854877,0.154791026633526,-0.511057207212649,-0.616435963819142,-0.549796053564047,-0.688629509354016,-0.677134759109579
"miR200a",0.642424443279875,0.642424443279875,0.647358404496196,0.601238791305235,0.47957095774697,-0.407631530366639,-0.443771635578619,-0.465617566870893,-0.568474576854877,0.154791026633526,-0.511057207212649,-0.616435963819142,-0.549796053564047,-0.688629509354016,-0.677134759109579
"miR141",0.642424443279875,0.642424443279875,0.647358404496196,0.601238791305235,0.47957095774697,-0.407631530366639,-0.443771635578619,-0.465617566870893,-0.568474576854877,0.154791026633526,-0.511057207212649,-0.616435963819142,-0.549796053564047,-0.688629509354016,-0.677134759109579
"miR101",0.576354618225427,0.576354618225427,0.580089228904147,0.483176245534149,0.434695174666243,-0.309282911170477,-0.404355803777518,-0.345315289056924,-0.466070320055965,0.1247697051555,-0.370382299674233,-0.512111472149419,-0.403099272175508,-0.615021732987317,-0.606140914793506
"miR34a",0.64874127492783,0.64874127492783,0.651361244016311,0.566209413730456,0.541168272044925,-0.43113902825757,-0.493455784383877,-0.512534589999829,-0.741464110399786,0.281811622530092,-0.451351677048624,-0.692804990889105,-0.4898798628547,-0.692548261280387,-0.586009290032253
"ZEB2",-0.419335980846161,-0.419335980846161,-0.204771300871391,-0.191443383886593,-0.152948576534037,0.134873909176876,0.143289141307045,0.149675966568347,0.177979005919792,0.179416633932102,0.192964283361931,0.196062039916752,0.207634197605601,0.220504562538332,0.34615718820937
"SNAI1",-0.450009567684062,-0.450009567684062,-0.455767436132618,-0.427314558476076,-0.398900497595526,0.16464813886309,0.366898512669826,0.30470887198381,0.429565292620151,-0.142964455261865,0.298496822597999,0.468940629831816,0.32347947546097,0.482413926134967,0.467430056195206
"TGFbeta",-0.512722710837806,-0.512722710837806,-0.515784722361231,-0.521660753931989,-0.494008431227549,0.394327264240179,0.45610257471445,0.47337623884828,0.601198979503007,-0.256075001152494,0.524808218337666,0.648418212653303,0.459863390306434,0.55330641142555,0.545795085372696
"FOXC2",-0.759779082544942,-0.759779082544942,-0.763304091050081,-0.716718717653012,-0.497797256845786,0.44703362454874,0.467791391271544,0.488882263410282,0.671713014851343,-0.36481370864087,0.537835275461885,0.630685855048267,0.587395246680128,0.816021383688989,0.607357078996973
"SNAI2",-0.583003750428052,-0.583003750428052,-0.586247574741412,-0.521984733492071,-0.700099339442492,0.423153927959528,0.457190406637638,0.583058584261464,0.788294764948655,-0.360144034898688,0.562816458453984,0.740103616116359,0.603716490103073,0.630055704637553,0.622207842832374
"GSC",-0.608156099917705,-0.608156099917705,-0.613429758078403,-0.542398022397993,-0.500842379980611,0.408951730829114,0.543789005951003,0.55549508168582,0.508619124938789,-0.152183954532798,0.395595032685641,0.551071259421741,0.431211652555029,0.65147546343559,0.638749801931515
"TWIST1",-0.61709777614434,-0.61709777614434,-0.620814372153902,-0.536012615053947,-0.503446947664649,0.335102376874437,0.539685127755908,0.473524432009969,0.613717470965767,-0.19410599161055,0.4051876627704,0.663041175468172,0.441519338527004,0.659597777178235,0.650652559239686
"TWIST2",-0.61806532930848,-0.61806532930848,-0.621636303611825,-0.542622125887108,-0.523202584231757,0.41815243606153,0.4598271900421,0.596132428703209,0.618757270814867,-0.185505980159507,0.401013590272653,0.667272579658442,0.437243620775123,0.660340689754183,0.651776059180289
"ZEB1",-0.812049902494125,-0.812049902494125,-0.816021383688989,-0.764262196400466,-0.542976016607361,0.478000031359092,0.508894190685441,0.53330546670797,0.724899334671757,-0.379660370632973,0.587395246680128,0.679529556711979,0.631511952803361,0.763289207622661,0.653814853944774
