"","miR200c","miR200b","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.798973531323344,0.79252853643786,0.797501229947675,0.797501229947675,0.72585018990245,0.561437097887538,-0.491284739827131,-0.529685772931187,-0.554010749486072,-0.666041740153796,-0.733075784186704,-0.747687054455119,-0.866196638910656,-0.823640276925273,-0.870060454544571
"miR200b",0.798973531323344,0.79252853643786,0.797501229947675,0.797501229947675,0.72585018990245,0.561437097887538,-0.491284739827131,-0.529685772931187,-0.554010749486072,-0.666041740153796,-0.733075784186704,-0.747687054455119,-0.866196638910656,-0.823640276925273,-0.870060454544571
"miR200a",0.798973531323344,0.79252853643786,0.797501229947675,0.797501229947675,0.72585018990245,0.561437097887538,-0.491284739827131,-0.529685772931187,-0.554010749486072,-0.666041740153796,-0.733075784186704,-0.747687054455119,-0.866196638910656,-0.823640276925273,-0.870060454544571
"miR141",0.798973531323344,0.79252853643786,0.797501229947675,0.797501229947675,0.72585018990245,0.561437097887538,-0.491284739827131,-0.529685772931187,-0.554010749486072,-0.666041740153796,-0.733075784186704,-0.747687054455119,-0.866196638910656,-0.823640276925273,-0.870060454544571
"miR101",0.70354170234579,0.693671481920256,0.700947668022992,0.700947668022992,0.583738921290744,0.500295247462081,-0.376141065216316,-0.474100834410264,-0.416056009449326,-0.544317219703372,-0.605976224744079,-0.57447111324914,-0.75851468288124,-0.638226602863384,-0.76485306515862
"miR34a",0.724552420096417,0.716573063397236,0.722738672635175,0.722738672635175,0.623301521281531,0.574539483349088,-0.469249109697497,-0.530353351176757,-0.54983523466463,-0.781188584386134,-0.74439672679981,-0.591555783965245,-0.782563199833459,-0.657870149005725,-0.687186858365752
"SNAI1",-0.522792980195,-0.513274520215314,-0.524388660960943,-0.524388660960943,-0.482858164168472,-0.434137167550685,0.202400203308308,0.40516021524173,0.343546282360846,0.471307969377058,0.520275557624933,0.430957313559876,0.565528373369961,0.476569923921362,0.560734226853799
"TGFbeta",-0.587245678257196,-0.678473038202487,-0.585861025266013,-0.585861025266013,-0.577994056797196,-0.527617177966902,0.432143411124515,0.493245831106738,0.510888057660523,0.641008110938279,0.699589924763585,0.664056323372183,0.641049250191359,0.625261823309873,0.644677048932557
"FOXC2",-0.837845476897221,-0.832744332661431,-0.836835062381762,-0.836835062381762,-0.775265280943301,-0.530244718096084,0.486135442058623,0.503843600942352,0.525363197866813,0.71063120811077,0.683175338481271,0.675252176738708,0.910990181512457,0.757311884492327,0.713959766296229
"SNAI2",-0.682416745224639,-0.875185284877693,-0.680457798914217,-0.680457798914217,-0.59836351001043,-0.746468721218729,0.473993686973623,0.507798587711074,0.63435087410067,0.843488575344906,0.809830433882743,0.735991966849767,0.746692328779179,0.809520457069542,0.751760373633115
"ZEB1",-0.912339238958594,-0.906247950583151,-0.910990181512457,-0.910990181512457,-0.84105416543084,-0.58919184838738,0.528932911439757,0.55912519242456,0.584477089808979,0.779935771588101,0.749418492376766,0.757311884492327,0.881455375270655,0.835594434816704,0.785284062438043
"GSC",-0.726476121198601,-0.717145754124674,-0.725208419751344,-0.725208419751344,-0.634767973337223,-0.5602109865442,0.470796383166877,0.607486924666918,0.620032928985211,0.579196202201124,0.636691557571243,0.591947399122832,0.785638902309378,0.658973007360541,0.788866851515234
"TWIST2",-0.733312439691402,-0.724823400339882,-0.731025145506131,-0.731025145506131,-0.632187676468913,-0.580094153924835,0.477849094894213,0.520943565741457,0.658262973178651,0.686568928833456,0.749978908402387,0.597537322923759,0.791996175476889,0.665091285703903,0.797666483405736
"TWIST1",-0.733380307154585,-0.724679042538456,-0.731139524490201,-0.731139524490201,-0.626943105435291,-0.561427944864884,0.395486620965295,0.601715335564555,0.536505651968396,0.682920583860509,0.747323196894676,0.597123624018019,0.792286460142552,0.664881251422527,0.797834917395656
"ZEB2",-0.933627254740737,-0.928285511960296,-0.73248806962362,-0.73248806962362,-0.671222044781278,-0.519095424455988,0.468992117403407,0.494109212222568,0.514961101051266,0.60558328355767,0.677392163993737,0.771889763428775,0.806194603683366,0.853830683132359,0.909649805033625
