"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.714672367877125,0.709406912419336,0.709406912419336,0.661243340788594,0.626054315264642,0.536617823469714,-0.464514343565037,-0.50964554866585,-0.526907496017565,-0.614610778586745,-0.69302902458802,-0.708547843158262,-0.688090771104177,-0.749615909367612,-0.823681696566714
"miR200b",0.714672367877125,0.709406912419336,0.709406912419336,0.661243340788594,0.626054315264642,0.536617823469714,-0.464514343565037,-0.50964554866585,-0.526907496017565,-0.614610778586745,-0.69302902458802,-0.708547843158262,-0.688090771104177,-0.749615909367612,-0.823681696566714
"miR200a",0.714672367877125,0.709406912419336,0.709406912419336,0.661243340788594,0.626054315264642,0.536617823469714,-0.464514343565037,-0.50964554866585,-0.526907496017565,-0.614610778586745,-0.69302902458802,-0.708547843158262,-0.688090771104177,-0.749615909367612,-0.823681696566714
"miR141",0.714672367877125,0.709406912419336,0.709406912419336,0.661243340788594,0.626054315264642,0.536617823469714,-0.464514343565037,-0.50964554866585,-0.526907496017565,-0.614610778586745,-0.69302902458802,-0.708547843158262,-0.688090771104177,-0.749615909367612,-0.823681696566714
"miR101",0.546751020599984,0.535710456632488,0.535710456632488,0.451204507611789,0.399730983128087,0.440909330082018,-0.320379976180245,-0.421055049770359,-0.353925492095122,-0.437870703911811,-0.522205566709837,-0.485300260091527,-0.44287841273832,-0.485829555439634,-0.668980512905256
"miR34a",0.578816390260299,0.559171846134863,0.559171846134863,0.49190273447331,0.45615845693738,0.516232551999205,-0.412228464610432,-0.477117578055962,-0.487591829266291,-0.683492934686483,-0.662121017804732,-0.52733820533104,-0.468227082994413,-0.513477876298502,-0.592238290571205
"SNAI1",-0.255762051739765,-0.221061286416893,-0.221061286416893,-0.0998112830568741,-0.194627215561268,-0.304583836165941,0.081241317557844,0.283128337146184,0.205398934931524,0.281586587352635,0.348668452728905,0.115930562385171,0.178921809514897,0.201059928411183,0.365670005792765
"TGFbeta",-0.516536454764602,-0.395964599617062,-0.395964599617062,-0.307338588132872,-0.387516199342215,-0.45532312351967,0.362358637184658,0.426175069345983,0.433324963671723,0.525326212064295,0.599764945904259,0.337311698399604,0.516252978718719,0.454216778163773,0.530640556947564
"FOXC2",-0.77161934853029,-0.765118290052235,-0.765118290052235,-0.722728442409341,-0.693746809701319,-0.514481475879446,0.467597841461487,0.491198319156474,0.507932891262518,0.673125678381544,0.655479798648191,0.775315450237109,0.631495485078976,0.699270987375982,0.680817040948072
"SNAI2",-0.779612048829785,-0.5701269700644,-0.5701269700644,-0.509170172987094,-0.476327901369905,-0.71264188189305,0.438608470419763,0.478582983814251,0.598187562995578,0.777524741838357,0.7578135289752,0.552454484906633,0.656968941734557,0.713743129764358,0.692087500495381
"GSC",-0.592461346991814,-0.584994107374299,-0.584994107374299,-0.52718976421413,-0.485622501299212,-0.507166053396706,0.419522052562073,0.560522388156208,0.564163814350967,0.486935835716745,0.560990463793799,0.564298465527508,0.486664797617193,0.534365841880057,0.703622794546711
"TWIST1",-0.596654033982882,-0.582755591274715,-0.582755591274715,-0.518732413297899,-0.464376498922533,-0.510385237282697,0.346684023729545,0.556317407214212,0.482757601117499,0.590812046302568,0.674173485810259,0.556391060425203,0.48433576831449,0.532112744039011,0.713707296253791
"TWIST2",-0.600843654869454,-0.586753286091135,-0.586753286091135,-0.513048838079899,-0.475694349272959,-0.52946859172661,0.428746666605339,0.475997478367931,0.60466410876433,0.596827351567726,0.677219976521832,0.550707040878516,0.488281215765685,0.536509639087907,0.714762685120532
"ZEB1",-0.83027621091358,-0.823299550506341,-0.823299550506341,-0.775315450237109,-0.742897379345655,-0.565748851186069,0.50324518939851,0.539574967571682,0.559085887259889,0.729879936931656,0.711216558210355,0.722911105222497,0.699270987375982,0.761231445498702,0.740398862629967
"ZEB2",-0.869342513367182,-0.864779892048881,-0.864779892048881,-0.62284175711568,-0.592311414938421,-0.504191021885685,0.45165101747589,0.482756198342469,0.4984777831406,0.568428443232226,0.650612368920571,0.674016040825013,0.731285827852375,0.797642959835934,0.877220429643604
