"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","TGFbeta","ZEB1","ZEB2"
"miR200c",0.782549933967167,0.782549933967167,0.76704274814172,0.780999052612316,0.703488131109025,0.508939225705244,-0.440066153486829,-0.469945403593321,-0.497257749575307,-0.623633497613975,-0.559636166187392,-0.660697088575236,-0.610262681709927,-0.84362308993459,-0.847729455607073
"miR200b",0.782549933967167,0.782549933967167,0.76704274814172,0.780999052612316,0.703488131109025,0.508939225705244,-0.440066153486829,-0.469945403593321,-0.497257749575307,-0.623633497613975,-0.559636166187392,-0.660697088575236,-0.610262681709927,-0.84362308993459,-0.847729455607073
"miR200a",0.782549933967167,0.782549933967167,0.76704274814172,0.780999052612316,0.703488131109025,0.508939225705244,-0.440066153486829,-0.469945403593321,-0.497257749575307,-0.623633497613975,-0.559636166187392,-0.660697088575236,-0.610262681709927,-0.84362308993459,-0.847729455607073
"miR101",0.695655172249364,0.695655172249364,0.677878767303499,0.692765925203707,0.568656890976941,0.457988278093131,-0.335193434198249,-0.424862608429241,-0.370426611983831,-0.511544083898846,-0.408971926755515,-0.547573925700239,-0.45200399980395,-0.745784402615846,-0.752809749616349
"miR34a",0.712497909779601,0.712497909779601,0.697369852211777,0.710624134332088,0.60545874555111,0.532586094445902,-0.427057007936073,-0.480984393281952,-0.503543599693165,-0.747879665993124,-0.405704290304871,-0.686846516227021,-0.450392034894325,-0.765609672896702,-0.670385095049095
"miR141",0.443034359885626,0.443034359885626,0.35464095340172,0.43868983645771,0.304744809932718,0.0112783117697206,-0.0345072015842775,0.000544028968962695,-0.0418070257273964,-0.133908497682111,-0.151455298864876,-0.0201507681017014,-0.170284210555453,-0.462355046765767,-0.472263141077601
"SNAI1",-0.519140180642756,-0.519140180642756,-0.504344390948593,-0.520621989513122,-0.474920241738012,-0.407129510122501,0.17526965610005,0.373092254965404,0.313681559930922,0.451232517026142,0.307745326528548,0.483240287648185,0.338634332606985,0.558795764383591,0.554223419942892
"TGFbeta",-0.58459745942701,-0.58459745942701,-0.670492936161143,-0.58311910053438,-0.570768656377197,-0.501018496331567,0.404240044230026,0.461232900550104,0.481204422276469,0.621753788313604,0.533835736753546,0.661543579896905,0.476263303379345,0.63523780443041,0.639094032461042
"FOXC2",-0.792773129623227,-0.792773129623227,-0.772589609731231,-0.791614150056736,-0.718335215374849,-0.430325438687931,0.390477006373521,0.394618700262573,0.42145219486124,0.625409752994534,0.413940676984754,0.55183611949616,0.464668523334452,0.854299298656174,0.657643802165123
"ZEB1",-0.855826509953013,-0.855826509953013,-0.833633267700748,-0.854299298656174,-0.772739793420227,-0.474887989791774,0.422528695439567,0.435280379910911,0.46561552600408,0.680756379166461,0.464668523334452,0.60151194636669,0.512624246669278,0.813181565201867,0.717319210496112
"SNAI2",-0.677597082627677,-0.677597082627677,-0.864058860556975,-0.675539447804012,-0.588222692337288,-0.713870578573842,0.440416460651546,0.469101207232481,0.59821832486862,0.819280260789034,0.587343026733914,0.763081943965268,0.638086780315821,0.73796790009605,0.743271954706083
"GSC",-0.716605639187858,-0.716605639187858,-0.699493685977517,-0.715044875213157,-0.618286991403319,-0.516166543639741,0.427449562545242,0.556026029387601,0.572135045719231,0.545068106875983,0.416054105116969,0.576240955209265,0.461156796223383,0.770560522247124,0.774514543686984
"TWIST1",-0.723520242051809,-0.723520242051809,-0.707169741997953,-0.721078667463832,-0.610479194807805,-0.51882981553051,0.353666919054914,0.552094152217469,0.490250437073622,0.649520926131485,0.424415695484087,0.688250325669397,0.470160802959223,0.777408606818173,0.783445188232572
"TWIST2",-0.725743034483469,-0.725743034483469,-0.710065617470204,-0.723298505783877,-0.618653470951682,-0.541435636550871,0.439345445979969,0.475604721220135,0.615925454621724,0.656844883890611,0.431260928741631,0.696021261278552,0.47722458609533,0.77992433362757,0.785979392665906
"ZEB2",-0.923383934094494,-0.923383934094494,-0.910735276766932,-0.722206960638223,-0.655637870139121,-0.477928630453891,0.427450912507736,0.446830264312235,0.469946574953529,0.573817189782842,0.613154177536592,0.618858787113685,0.669167269331386,0.790981316013949,0.894519832368313
