"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80663412723287,0.80663412723287,0.800318699289739,0.806011020541277,0.736856692725043,0.569145824733394,-0.501191438197374,-0.53906747997963,-0.562139443657748,-0.674282138731303,-0.743002354499013,-0.752110872237073,-0.876891358116476,-0.829793500688663,-0.878735356576083
"miR200b",0.80663412723287,0.80663412723287,0.800318699289739,0.806011020541277,0.736856692725043,0.569145824733394,-0.501191438197374,-0.53906747997963,-0.562139443657748,-0.674282138731303,-0.743002354499013,-0.752110872237073,-0.876891358116476,-0.829793500688663,-0.878735356576083
"miR200a",0.80663412723287,0.80663412723287,0.800318699289739,0.806011020541277,0.736856692725043,0.569145824733394,-0.501191438197374,-0.53906747997963,-0.562139443657748,-0.674282138731303,-0.743002354499013,-0.752110872237073,-0.876891358116476,-0.829793500688663,-0.878735356576083
"miR141",0.80663412723287,0.80663412723287,0.800318699289739,0.806011020541277,0.736856692725043,0.569145824733394,-0.501191438197374,-0.53906747997963,-0.562139443657748,-0.674282138731303,-0.743002354499013,-0.752110872237073,-0.876891358116476,-0.829793500688663,-0.878735356576083
"miR101",0.716466526805824,0.716466526805824,0.706544382607584,0.714278366713447,0.597380951999201,0.51107673080725,-0.389568328361497,-0.486138064408195,-0.427977814984604,-0.555321036846058,-0.619220715090526,-0.583421462034716,-0.77442977035134,-0.649462045479247,-0.779994801948694
"miR34a",0.72260650537307,0.72260650537307,0.715062068781669,0.723370298610362,0.624763262275118,0.575479672149849,-0.471640793823641,-0.531818321016381,-0.5510016737317,-0.781823584099566,-0.745668081474803,-0.589809283798292,-0.783985098357925,-0.656455534102891,-0.682320710040541
"SNAI1",-0.52896841956141,-0.52896841956141,-0.519428538384461,-0.532110638399778,-0.491199028516765,-0.439833806369315,0.20895071632063,0.411783267674593,0.349563576398642,0.477663353005018,0.527713235077639,0.434708500356703,0.574754872173128,0.481614261006468,0.566740388321853
"TGFbeta",-0.59047986685619,-0.59047986685619,-0.681887235735666,-0.591175004539052,-0.584211705446102,-0.531830288772159,0.437660340060303,0.498433769573721,0.515434066375011,0.64547803199962,0.705114735481684,0.665776642891666,0.647845979085666,0.628195789075366,0.646393858373014
"TWIST2",-0.725473537718227,-0.725473537718227,-0.717284993112011,-0.725857001921868,-0.628108105284616,-0.575892817128339,0.474302917913028,0.516715574734078,0.653535679034747,0.68199706660936,0.745318772656144,0.591423366137098,0.786948257883712,0.658624569176636,0.686166463146169
"FOXC2",-0.840757951645497,-0.840757951645497,-0.835731942808981,-0.840491252164734,-0.780260089889911,-0.533548883043828,0.491521294628955,0.508193867373823,0.529057235126664,0.713872412778966,0.687589807817621,0.67640562542259,0.916097688623364,0.759344398567385,0.717221614705125
"SNAI2",-0.683802663224159,-0.683802663224159,-0.876648025345945,-0.683221492968107,-0.601996838720251,-0.74887765090487,0.477812629890732,0.510973008440136,0.637101136296403,0.845741723484158,0.8129910825167,0.7364325770048,0.750711417233218,0.810827870505259,0.752637747913703
"ZEB1",-0.916589504143696,-0.916589504143696,-0.910582888682638,-0.916097688623364,-0.847699816451515,-0.593961781290457,0.535479104956033,0.565164174369293,0.589785437756961,0.784583991047199,0.75536169256914,0.759344398567385,0.888350146783577,0.839058778103503,0.790165252776199
"GSC",-0.736334051135116,-0.736334051135116,-0.726939171551853,-0.735491339755254,-0.645904328079067,-0.568677608792634,0.48129652893756,0.61737022145514,0.629230986609567,0.587961197545937,0.64728848173571,0.598359312600378,0.798172638236185,0.667326672003099,0.800528322777467
"TWIST1",-0.740973317416184,-0.740973317416184,-0.732307479810905,-0.73988848646958,-0.636429217027594,-0.568867892896033,0.405359182161333,0.610465227642679,0.544899725605763,0.690306726660844,0.756363396695836,0.602104063369691,0.803027591883052,0.671491128802885,0.805960747083138
"ZEB2",-0.938672041776506,-0.938672041776506,-0.933451163602553,-0.73816125697027,-0.679151131866396,-0.524841102458172,0.476853465116266,0.501402666786054,0.521230776884516,0.611178164608478,0.684450920096867,0.774143703907925,0.81392704055747,0.857759678725946,0.915851234108718
