"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.795497475794249,0.795497475794249,0.790925512584784,0.787583488982394,0.723691216602422,0.56567253232811,-0.272914385236387,-0.497652336373325,-0.55843073727335,-0.667113391047289,-0.737646788195696,-0.744470612273834,-0.855668871091399,-0.819894958583425,-0.874869464439851
"miR200b",0.795497475794249,0.795497475794249,0.790925512584784,0.787583488982394,0.723691216602422,0.56567253232811,-0.272914385236387,-0.497652336373325,-0.55843073727335,-0.667113391047289,-0.737646788195696,-0.744470612273834,-0.855668871091399,-0.819894958583425,-0.874869464439851
"miR200a",0.795497475794249,0.795497475794249,0.790925512584784,0.787583488982394,0.723691216602422,0.56567253232811,-0.272914385236387,-0.497652336373325,-0.55843073727335,-0.667113391047289,-0.737646788195696,-0.744470612273834,-0.855668871091399,-0.819894958583425,-0.874869464439851
"miR141",0.795497475794249,0.795497475794249,0.790925512584784,0.787583488982394,0.723691216602422,0.56567253232811,-0.272914385236387,-0.497652336373325,-0.55843073727335,-0.667113391047289,-0.737646788195696,-0.744470612273834,-0.855668871091399,-0.819894958583425,-0.874869464439851
"miR101",0.714403607578703,0.714403607578703,0.705045696562736,0.709146108768471,0.594042584169251,0.5111435082226,-0.339874088007011,-0.389530174146839,-0.428043490601306,-0.554258220593492,-0.618866614772569,-0.582610327043802,-0.76786227130423,-0.647933432657905,-0.781099124425035
"miR34a",0.728709512938312,0.728709512938312,0.72104106940293,0.724974851312451,0.627809636635941,0.579442696053395,-0.410289674687616,-0.475911689156504,-0.555252958888725,-0.785444040050407,-0.75050065689913,-0.594368599215931,-0.785261343435333,-0.661571011588441,-0.695153754373926
"SNAI1",-0.530558078548194,-0.530558078548194,-0.521125948742362,-0.530549711427022,-0.490636700263483,-0.440854309503282,0.315734818042244,0.210099753307025,0.350651487964159,0.478170518252948,0.528891424036624,0.436326443221443,0.572458848426367,0.482905984305411,0.57187852140445
"TGFbeta",-0.566206179705455,-0.566206179705455,-0.660786216855413,-0.554499595164056,-0.557451941850074,-0.521389779975869,0.286240872765628,0.427707398726246,0.504455011453369,0.628160515463143,0.690510059186177,0.646608152492206,0.607858929227418,0.606316483136847,0.635848926758179
"FOXC2",-0.837217830617842,-0.837217830617842,-0.832987569001274,-0.83280154184629,-0.775138138738707,-0.53325776085367,0.322197233053642,0.491123895007145,0.52874401474582,0.711871916562298,0.686625277734217,0.674662589406581,0.90639430569973,0.756341894216455,0.718194636925345
"GSC",-0.636538603218526,-0.636538603218526,-0.636824793184014,-0.605566098264109,-0.544352760776119,-0.521316146629141,0.246672864797779,0.436933834631836,0.579771937813644,0.515729581490286,0.584123197801923,0.517245499062591,0.658294809306212,0.575780376180299,0.731350629470563
"SNAI2",-0.686995841240326,-0.686995841240326,-0.880314982820077,-0.682532703076728,-0.603444441037289,-0.752680360819828,0.365140712875136,0.482206397368608,0.641281183536512,0.848613044639827,0.817259282498485,0.738856062441705,0.749451119431638,0.813606932791641,0.761160580691609
"ZEB1",-0.911793444552406,-0.911793444552406,-0.906776180286656,-0.90639430569973,-0.841117650941108,-0.593249228733794,0.354915672168318,0.534782107524929,0.589001497271658,0.781878518965573,0.753760643594448,0.756341894216455,0.87686946021643,0.835194028070189,0.790769010176149
"TWIST1",-0.740709648296056,-0.740709648296056,-0.732502425636826,-0.735979411521716,-0.634214973418724,-0.569642895762626,0.465881514376799,0.406223543003495,0.545751435821299,0.690071530773284,0.756974410486489,0.602482892866552,0.797873505894556,0.671396645406387,0.809998090448641
"TWIST2",-0.741067098188941,-0.741067098188941,-0.732985822104679,-0.736457566975602,-0.640142332767973,-0.588346677491187,0.390098595718791,0.488268516360992,0.667377066452411,0.694104973112156,0.75996152610206,0.603130371963205,0.798274733353495,0.671954470612382,0.810139862240056
"ZEB2",-0.930028899865309,-0.930028899865309,-0.92621049499457,-0.723454028202947,-0.668558797270071,-0.522674361792173,0.22575295274496,0.474298911725469,0.518832068107503,0.60618612210382,0.680700898012667,0.76861618921327,0.796803088328065,0.850797647578318,0.913291831940167
