"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI2","TWIST2","TWIST1","SNAI1","FOXC2","GSC","ZEB1","TGFbeta","ZEB2"
"miR101",0.686631934830359,0.686631934830359,0.622788250171001,0.685368232276722,0.568820843658317,0.343613728686118,-0.281460858822865,-0.378228827957241,-0.369058976419573,-0.351741002676604,-0.455898259642494,-0.560098892696617,-0.733407798966234,-0.614371487217985,-0.736033954696649
"miR200c",0.687622933916726,0.687622933916726,0.548001535070229,0.690589431307501,0.628219154791022,0.185377489824987,-0.0250847201481714,-0.267305882449396,-0.386878031846755,-0.391496843459127,-0.43689666183812,-0.637524774181094,-0.736680404352524,-0.688727038954079,-0.729903917918507
"miR200b",0.687622933916726,0.687622933916726,0.548001535070229,0.690589431307501,0.628219154791022,0.185377489824987,-0.0250847201481714,-0.267305882449396,-0.386878031846755,-0.391496843459127,-0.43689666183812,-0.637524774181094,-0.736680404352524,-0.688727038954079,-0.729903917918507
"miR200a",0.687622933916726,0.687622933916726,0.548001535070229,0.690589431307501,0.628219154791022,0.185377489824987,-0.0250847201481714,-0.267305882449396,-0.386878031846755,-0.391496843459127,-0.43689666183812,-0.637524774181094,-0.736680404352524,-0.688727038954079,-0.729903917918507
"miR141",0.687622933916726,0.687622933916726,0.548001535070229,0.690589431307501,0.628219154791022,0.185377489824987,-0.0250847201481714,-0.267305882449396,-0.386878031846755,-0.391496843459127,-0.43689666183812,-0.637524774181094,-0.736680404352524,-0.688727038954079,-0.729903917918507
"miR34a",0.709071675309777,0.709071675309777,0.655658833821477,0.708402231561659,0.609818700487292,0.442103488862194,-0.464407918159266,-0.639652208548662,-0.509291646730179,-0.446494193376234,-0.513941171343101,-0.578750842430352,-0.759941088707212,-0.637295167348291,-0.661249822960529
"TGFbeta",-0.313090483067505,-0.313090483067505,-0.154145588345754,-0.323313124735835,-0.33986296107984,-0.101624162669695,-0.00482728984776577,0.0746889140628776,0.208131715869448,0.226614093518564,0.272051584357079,0.245809256679235,0.34533478085474,0.171490033603801,0.32195795171718
"SNAI1",-0.513873452622327,-0.513873452622327,-0.469479082432727,-0.516344878859723,-0.475417854840648,-0.33379341867171,0.309787116021267,0.364338394534188,0.313711133462435,0.186416108301137,0.394264152725381,0.423015083047958,0.551445473648827,0.462747758710024,0.544133658680843
"FOXC2",-0.796443606978207,-0.796443606978207,-0.716072618653537,-0.797698311541688,-0.738442064714958,-0.309006906742563,0.239881798778024,0.477251443128241,0.44659036556637,0.438688168770673,0.465061506348723,0.640170235311653,0.85667781838164,0.706180087528402,0.653690950327461
"ZEB1",-0.855311293444734,-0.855311293444734,-0.766173183291689,-0.85667781838164,-0.790414369629493,-0.334277386792807,0.255609719704571,0.510635835046899,0.488265495502448,0.470169584928798,0.508221836417359,0.706180087528402,0.811823612970924,0.769719661397491,0.708764027877031
"SNAI2",-0.658318481829515,-0.658318481829515,-0.795176907694775,-0.657855428207082,-0.577330331644525,-0.583296792928784,0.472939210823188,0.668914585966347,0.580828437350904,0.443676032056164,0.484359956812187,0.714554251506309,0.714343704263175,0.77931940671515,0.715256276306034
"GSC",-0.709414489267972,-0.709414489267972,-0.648012800362588,-0.709362755699222,-0.619909254976025,-0.406300490110004,0.315660265806716,0.415328215028385,0.573813637518906,0.445837862730326,0.589426773679208,0.577674395183805,0.760462150847634,0.635781471563273,0.760265268646962
"TWIST1",-0.714649806807827,-0.714649806807827,-0.652769073524351,-0.71374922274856,-0.61049037362558,-0.405698635243151,0.423267822976654,0.517212514594344,0.488906368817378,0.369790061537823,0.582541261612042,0.581475366884112,0.765194321443602,0.639708443560403,0.766982541577611
"TWIST2",-0.716981216230053,-0.716981216230053,-0.657514563320232,-0.715975548319387,-0.618164905522383,-0.431728059290735,0.438589830399227,0.528137907242892,0.613613738045613,0.453855200953552,0.503764012967086,0.583853879189878,0.767819012202095,0.642604805865109,0.769854329298968
"ZEB2",-0.851021255195006,-0.851021255195006,-0.740537614657585,-0.653290806605539,-0.597486260293953,-0.15544333499488,-0.0262058670297552,0.223170573655869,0.38021731029614,0.38715167202121,0.421903908652314,0.698812651094722,0.706913692073685,0.761059568433738,0.801945088914156
