"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.761487691013406,0.761037012593104,0.761037012593104,0.789714537721402,0.723501833670625,0.561253520280689,-0.492061944937623,-0.530382918289962,-0.553449171994178,-0.66477824595547,-0.730812654747551,-0.724095043581877,-0.856840019060265,-0.796726647676625,-0.790091060635661
"miR200b",0.761487691013406,0.761037012593104,0.761037012593104,0.789714537721402,0.723501833670625,0.561253520280689,-0.492061944937623,-0.530382918289962,-0.553449171994178,-0.66477824595547,-0.730812654747551,-0.724095043581877,-0.856840019060265,-0.796726647676625,-0.790091060635661
"miR200a",0.761487691013406,0.761037012593104,0.761037012593104,0.789714537721402,0.723501833670625,0.561253520280689,-0.492061944937623,-0.530382918289962,-0.553449171994178,-0.66477824595547,-0.730812654747551,-0.724095043581877,-0.856840019060265,-0.796726647676625,-0.790091060635661
"miR141",0.761487691013406,0.761037012593104,0.761037012593104,0.789714537721402,0.723501833670625,0.561253520280689,-0.492061944937623,-0.530382918289962,-0.553449171994178,-0.66477824595547,-0.730812654747551,-0.724095043581877,-0.856840019060265,-0.796726647676625,-0.790091060635661
"miR101",0.693336127729109,0.699980317098089,0.699980317098089,0.711194286324679,0.595262110656911,0.510455949486422,-0.388233957313358,-0.485409565977163,-0.427205183709359,-0.554458380720035,-0.617450687736703,-0.575955226659569,-0.769853847081234,-0.639402859446916,-0.741101634805292
"miR34a",0.711722645288563,0.717145976699549,0.717145976699549,0.726822628820202,0.628975899666084,0.579010096796732,-0.475057801134034,-0.535948012411192,-0.554721538717252,-0.785664123471775,-0.74957441357659,-0.589684935200272,-0.787153472490434,-0.654956721484454,-0.661491843373988
"GSC",-0.436501479822075,-0.427111720557,-0.427111720557,-0.578166819048006,-0.508831245241026,-0.46906763059553,0.385193975726931,0.512489031370319,0.52356132966937,0.471402527228609,0.515559663622555,0.360251417725313,0.621741192208516,0.407575139213151,0.300503403653799
"TGFbeta",-0.59551123518526,-0.479785161446045,-0.479785161446045,-0.549651415540138,-0.549203678760376,-0.507817080752905,0.414017093503238,0.472483179960163,0.489435243474208,0.617264928543468,0.672442364239238,0.588673254580125,0.600049427519718,0.543082172435194,0.451593308570167
"SNAI1",-0.513688345808036,-0.521341267589297,-0.521341267589297,-0.531912794280471,-0.491477157213967,-0.440456487174314,0.209345121894696,0.412473915982975,0.350164588764718,0.478310271030427,0.528068183838365,0.432291833631724,0.573792253653037,0.477493119897153,0.545765443942638
"FOXC2",-0.81688211216241,-0.817505548459336,-0.817505548459336,-0.835436898332542,-0.776599958004718,-0.532218013554002,0.489145105398429,0.50664645214963,0.527483708257179,0.71209913093589,0.684465963580744,0.665010250028228,0.90902539055283,0.744713576535119,0.664560816128396
"SNAI2",-0.868547348258533,-0.672532571639056,-0.672532571639056,-0.684740663970741,-0.604714434985199,-0.751812317428326,0.480991185219824,0.514429172879366,0.640244520940453,0.848578613287449,0.815819662965169,0.732786807318181,0.751366358515196,0.804711499594948,0.719760909990386
"ZEB1",-0.887711908818866,-0.888635141754818,-0.888635141754818,-0.90902539055283,-0.842269094249318,-0.591176146915776,0.532204825318003,0.562022406495277,0.586558324423019,0.781234216106893,0.750601054580965,0.744713576535119,0.87861429843431,0.81985977910726,0.729002035716437
"TWIST1",-0.721139096122463,-0.726680539094977,-0.726680539094977,-0.738037702825261,-0.63546425961737,-0.569016882122664,0.405027555101827,0.610639924351945,0.544986926325682,0.690286792929149,0.755670772936741,0.596237759040676,0.799914684698976,0.66318514434706,0.770539644368346
"TWIST2",-0.722195012267332,-0.727722559334962,-0.727722559334962,-0.738468188770888,-0.641381358230432,-0.587781838475435,0.487181277374613,0.530082211275201,0.666685959532197,0.6943253674934,0.758777712427655,0.597351830200025,0.800280078057513,0.664183930795927,0.772241621399617
"ZEB2",-0.901154242464084,-0.900173730888003,-0.900173730888003,-0.726702947471537,-0.669805938861839,-0.519655491707782,0.470636244051709,0.495429760849859,0.51528708507816,0.605145631260168,0.676170394344414,0.752840684863131,0.798624651937249,0.830417180524571,0.836714512468224
