"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI2","SNAI1","TWIST2","FOXC2","TWIST1","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.77616373375336,0.77616373375336,0.727022694844355,0.776022577010114,0.707583144883707,0.416797958407806,-0.443106748289388,-0.465975414562076,-0.508320395942043,-0.508650192556895,-0.50869324432743,-0.727134345449149,-0.837702449640446,-0.796323399046388,-0.838073678193047
"miR200b",0.77616373375336,0.77616373375336,0.727022694844355,0.776022577010114,0.707583144883707,0.416797958407806,-0.443106748289388,-0.465975414562076,-0.508320395942043,-0.508650192556895,-0.50869324432743,-0.727134345449149,-0.837702449640446,-0.796323399046388,-0.838073678193047
"miR200a",0.77616373375336,0.77616373375336,0.727022694844355,0.776022577010114,0.707583144883707,0.416797958407806,-0.443106748289388,-0.465975414562076,-0.508320395942043,-0.508650192556895,-0.50869324432743,-0.727134345449149,-0.837702449640446,-0.796323399046388,-0.838073678193047
"miR141",0.77616373375336,0.77616373375336,0.727022694844355,0.776022577010114,0.707583144883707,0.416797958407806,-0.443106748289388,-0.465975414562076,-0.508320395942043,-0.508650192556895,-0.50869324432743,-0.727134345449149,-0.837702449640446,-0.796323399046388,-0.838073678193047
"miR101",0.650492758406281,0.650492758406281,0.572572400544812,0.650138834831643,0.536647042120691,0.279847860186012,-0.187011722908526,-0.3276674504545,-0.351658075496978,-0.428687381344494,-0.334438589519478,-0.521839262787926,-0.697326647036487,-0.57398127795357,-0.69822690253599
"miR34a",0.670391031137787,0.670391031137787,0.602086067608003,0.670930631012154,0.575340680787787,0.397378137736318,-0.427344148533168,-0.418523632461977,-0.594235782921709,-0.482638100597794,-0.470639814201865,-0.540249032549645,-0.719840007589819,-0.594619030790117,-0.618747257955941
"SNAI1",-0.402974148354594,-0.402974148354594,-0.304738489352838,-0.409345210631449,-0.376156533916666,-0.170131664447321,0.0694377751114672,0.10009602917843,0.202116312568633,0.300892009731785,0.200816432176623,0.31194591811368,0.435809925169776,0.342401939651885,0.419818074806538
"TGFbeta",-0.521435232277592,-0.521435232277592,-0.544786434043671,-0.522924130463072,-0.519359716100381,-0.332687030622521,0.343577581031987,0.370446506656552,0.420360304080071,0.433455433221446,0.417161064633778,0.60119659363858,0.565830041497903,0.548704175751247,0.56257004525861
"FOXC2",-0.82240954823803,-0.82240954823803,-0.779255440190571,-0.82239664071449,-0.762305495284068,-0.418342741605673,0.451739405462937,0.467120102477457,0.591055690752792,0.488858529671872,0.490308542137351,0.661651005319124,0.89008387173509,0.737358095594211,0.690261389029134
"SNAI2",-0.651065382333056,-0.651065382333056,-0.794728205095777,-0.650667911589846,-0.571130804283194,-0.59966440227834,0.524851711519191,0.441472064233754,0.685890021293764,0.479590146183049,0.578277757719377,0.706773317796678,0.70862247607405,0.772041436899897,0.709727829905003
"GSC",-0.679398068970973,-0.679398068970973,-0.614942964771373,-0.680150312233282,-0.593182022786995,-0.378061283367093,0.292005934389891,0.425413662175034,0.391351053798543,0.565155352500684,0.542673976768358,0.548381473336901,0.730794226129145,0.604903541671444,0.729082310629821
"TWIST1",-0.686909692261934,-0.686909692261934,-0.618533498244231,-0.686626624930872,-0.58586140946311,-0.372813897084607,0.419860260802733,0.352253145385223,0.50460551978447,0.561717426932999,0.46431856272483,0.552137500403228,0.737918748254949,0.609000402766612,0.738658767679796
"TWIST2",-0.6876043571037,-0.6876043571037,-0.622511209275409,-0.687266809512073,-0.591993140180284,-0.408874168150223,0.438263800918573,0.434499849037812,0.506204427258641,0.480794519697347,0.585881686542241,0.553869704646299,0.738516160869605,0.610929696610398,0.73938931389076
"ZEB1",-0.890164888875491,-0.890164888875491,-0.841222632130639,-0.89008387173509,-0.822416215938245,-0.459163010130446,0.486636386853297,0.503967963072186,0.640417898596447,0.538919453555577,0.54058036243725,0.737358095594211,0.853085079797528,0.808088148700616,0.753579568828041
"ZEB2",-0.919313787432578,-0.919313787432578,-0.877209250852477,-0.719196630169961,-0.660280624104188,-0.402408580904408,0.430391696784523,0.450735645310828,0.478840169575653,0.480909243771706,0.481154534106231,0.759516507754718,0.786406269299812,0.834839996870261,0.887056609535522
