"","miR200b","miR200c","miR141","miR34a","miR101","miR200a","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","TGFbeta","ZEB1","ZEB2"
"miR200c",0.636789437872319,0.630869814782219,0.636453243790009,0.592191496854428,0.474380603651856,-0.0388847880037965,-0.401276862553236,-0.437845758816306,-0.459756860336574,-0.562423626675512,-0.491256324336178,-0.608332753044114,-0.525444123707871,-0.67453825563835,-0.661408012878725
"miR200b",0.636789437872319,0.630869814782219,0.636453243790009,0.592191496854428,0.474380603651856,-0.0388847880037965,-0.401276862553236,-0.437845758816306,-0.459756860336574,-0.562423626675512,-0.491256324336178,-0.608332753044114,-0.525444123707871,-0.67453825563835,-0.661408012878725
"miR200a",0.636789437872319,0.630869814782219,0.636453243790009,0.592191496854428,0.474380603651856,-0.0388847880037965,-0.401276862553236,-0.437845758816306,-0.459756860336574,-0.562423626675512,-0.491256324336178,-0.608332753044114,-0.525444123707871,-0.67453825563835,-0.661408012878725
"miR141",0.636789437872319,0.630869814782219,0.636453243790009,0.592191496854428,0.474380603651856,-0.0388847880037965,-0.401276862553236,-0.437845758816306,-0.459756860336574,-0.562423626675512,-0.491256324336178,-0.608332753044114,-0.525444123707871,-0.67453825563835,-0.661408012878725
"miR101",0.564571370976729,0.562979185591739,0.567401379341757,0.472557609591308,0.428276452007969,-0.0377303853844293,-0.30179077093493,-0.397205283299457,-0.338200012906485,-0.458520607902661,-0.34901919066765,-0.502435767392725,-0.377784651002983,-0.599310802856046,-0.588776499044665
"miR34a",0.594829355536736,0.590176034000145,0.595618077643544,0.518989908279979,0.507667022621758,-0.163500156628012,-0.398204856540015,-0.457682311039324,-0.476310121667532,-0.702167874514375,-0.352346427468791,-0.648177388249897,-0.383154535855669,-0.62986502139729,-0.516895986620594
"FOXC2",-0.558717248224137,-0.547691528330012,-0.563100485002668,-0.537465590610241,-0.364356654675859,0.256721875182025,0.321053381963893,0.333339474990664,0.350758430247362,0.515770434718965,0.293381508269216,0.456349931929048,0.321941866934186,0.594769305284382,0.35778195999785
"ZEB1",-0.590401567521476,-0.579001467616615,-0.594769305284382,-0.566031370168701,-0.391871556260226,0.259739024256855,0.339818300185582,0.358170199136572,0.377596951067004,0.548396870741677,0.321941866934186,0.485938342537567,0.34702600539474,0.522821918659288,0.385143319965865
"SNAI1",-0.430732701726358,-0.431839586541687,-0.438477764124439,-0.412670866803522,-0.389103128857473,0.0460433161901329,0.154494110071193,0.356254282148709,0.294008489325994,0.41816528219619,0.269336983347002,0.455355550332241,0.290368850533355,0.462023869554208,0.444973112916603
"TGFbeta",-0.59835414997789,-0.498009600986309,-0.501888731908408,-0.510072909986209,-0.487020459731443,0.0444164394277162,0.3861283551755,0.448237426425573,0.465586265446524,0.593018215195483,0.50005157464738,0.637881837746548,0.430807527412431,0.536086385567388,0.526617856792746
"GSC",-0.586233714925691,-0.583338665834781,-0.589833549077498,-0.522455992289838,-0.487816083689628,0.0605223241658774,0.395058826134414,0.52959342570352,0.541271634997601,0.493365174812356,0.356744351001983,0.532642791661586,0.387002735076186,0.623514594276764,0.607948904308987
"SNAI2",-0.777355321185931,-0.573997395022369,-0.577790835635401,-0.515033954521163,-0.696415100221105,0.0348662537466193,0.418268041690357,0.452873691653717,0.578812257008166,0.784040136402477,0.546804242360347,0.734000274229349,0.58334012130686,0.618650312420284,0.609364359561402
"TWIST1",-0.59734252900344,-0.594017791476594,-0.598824528615006,-0.517551123106389,-0.491500709313822,0.061123860339436,0.322283818940078,0.526632065731119,0.460471816340019,0.599686728568948,0.367287044037463,0.646068297775514,0.39852167135005,0.633510267939789,0.622020519825997
"TWIST2",-0.607858537435236,-0.604712631123385,-0.608990012254464,-0.532083084722633,-0.516921703695078,0.0404026717509189,0.41072674275198,0.452770639949189,0.589131575429036,0.611389257442839,0.378955630026845,0.657724353349284,0.410885887458639,0.644499999149687,0.634213119124109
"ZEB2",-0.808348558232272,-0.802682443975889,-0.607078295313156,-0.568460711529263,-0.455973786271455,-0.190412039826305,0.400449644340291,0.426453890398248,0.445682507841652,0.53060736383654,0.564641805857586,0.583098659134737,0.60437388075483,0.651453229992225,0.740931441797926
