"","miR200c","miR200a","miR200b","miR141","miR101","miR34a","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.805125336519673,0.805125336519673,0.796675044593278,0.801404216012347,0.532163588950373,0.402040815659531,-0.447520234643154,-0.525272062000093,-0.51498744689703,-0.628271985548516,-0.719832833704034,-0.750639814867639,-0.871416579389445,-0.827631749938995,-0.880357853608685
"miR200b",0.805125336519673,0.805125336519673,0.796675044593278,0.801404216012347,0.532163588950373,0.402040815659531,-0.447520234643154,-0.525272062000093,-0.51498744689703,-0.628271985548516,-0.719832833704034,-0.750639814867639,-0.871416579389445,-0.827631749938995,-0.880357853608685
"miR200a",0.805125336519673,0.805125336519673,0.796675044593278,0.801404216012347,0.532163588950373,0.402040815659531,-0.447520234643154,-0.525272062000093,-0.51498744689703,-0.628271985548516,-0.719832833704034,-0.750639814867639,-0.871416579389445,-0.827631749938995,-0.880357853608685
"miR141",0.805125336519673,0.805125336519673,0.796675044593278,0.801404216012347,0.532163588950373,0.402040815659531,-0.447520234643154,-0.525272062000093,-0.51498744689703,-0.628271985548516,-0.719832833704034,-0.750639814867639,-0.871416579389445,-0.827631749938995,-0.880357853608685
"miR101",0.704548897010602,0.704548897010602,0.691328267815897,0.698393602836121,0.477404937302019,0.328955760250981,-0.364055755868412,-0.467883157061591,-0.403267493354281,-0.474441328945513,-0.57294118669933,-0.574132945765396,-0.756314356763745,-0.638087455782844,-0.77046402856652
"miR34a",0.72043323172682,0.72043323172682,0.709613640578301,0.715716680359021,0.550862511486931,0.412185408078865,-0.447394668639496,-0.520780828498104,-0.528279915530388,-0.727199162663387,-0.716511708952187,-0.587616145525138,-0.775199322110418,-0.653444251538472,-0.686372786961709
"SNAI1",-0.519970898468679,-0.519970898468679,-0.507758224576935,-0.518823008133902,-0.411979966370382,-0.254094887246251,0.179907453058817,0.396669247535927,0.318919160577558,0.41855735114449,0.496177444767701,0.427818904192788,0.559617899279382,0.472814768102061,0.560687715837901
"TGFbeta",-0.586694327039795,-0.586694327039795,-0.6754814897892,-0.582815621634411,-0.508763446896703,-0.380740460502143,0.412539883459668,0.486989323985271,0.491857577249881,0.593060249881028,0.678232965507723,0.663170088297427,0.637976378502781,0.624298653439623,0.647191306446227
"FOXC2",-0.858834082583387,-0.858834082583387,-0.853356776356404,-0.856681692392077,-0.440744171747276,-0.351593155598088,0.403485824500819,0.434663522298074,0.43413328721914,0.507692136071505,0.598019156176797,0.686953346855984,0.935213973564614,0.773329144345179,0.74101587503431
"SNAI2",-0.684065004558693,-0.684065004558693,-0.874525780313944,-0.679681302770208,-0.729161267733768,-0.417940210419743,0.456472939110727,0.504052051272609,0.618982423402765,0.798803952418098,0.790007171681905,0.736348069942486,0.746391958669361,0.810325162067219,0.757074984049977
"GSC",-0.726678867617791,-0.726678867617791,-0.714237279303772,-0.722152446615931,-0.535108921237185,-0.412892070864124,0.44897539018479,0.59927031656328,0.599382406382651,0.51476292099033,0.60727788054007,0.590845081378409,0.78286747762292,0.658025535155184,0.793476497157876
"TWIST1",-0.734339101296663,-0.734339101296663,-0.722832749235552,-0.72903657570777,-0.541623473547286,-0.344348560324896,0.381365146968283,0.598269413554784,0.52231811394939,0.623626680058809,0.721628941867154,0.596752403996452,0.790585150470094,0.664780757604338,0.802943909527001
"TWIST2",-0.735057638077367,-0.735057638077367,-0.723866728110256,-0.729905215855738,-0.56071708940484,-0.424031941459809,0.461141837250629,0.516792777986981,0.642079154941878,0.635463327059294,0.7274709293673,0.597872991978811,0.791349496356384,0.665776226412193,0.803411323930136
"ZEB1",-0.937993866290083,-0.937993866290083,-0.931124294063213,-0.935213973564614,-0.502523605775458,-0.403485824500819,0.444690996493988,0.494973818489894,0.497734876155436,0.573209377450815,0.66580362163968,0.773329144345179,0.910236206360395,0.856758118471827,0.817853346594307
"ZEB2",-0.938002303840581,-0.938002303840581,-0.93113256714576,-0.735164900537181,-0.502523605775458,-0.403485824500819,0.444690996493988,0.494973818489894,0.497734876155436,0.573209377450815,0.66580362163968,0.773329144345179,0.810186991847932,0.856758118471827,0.917923254704323
