"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","TWIST2","TWIST1","SNAI1","FOXC2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.72662745889052,0.72662745889052,0.71324530593166,0.727876671551127,0.658474219687128,0.470950773612661,0.0558283581638753,-0.331439747660459,-0.405733975098104,-0.440693211501504,-0.601846625648408,-0.77743143310326,-0.708345176844805,-0.76755537310124,-0.774512695469203
"miR200b",0.72662745889052,0.72662745889052,0.71324530593166,0.727876671551127,0.658474219687128,0.470950773612661,0.0558283581638753,-0.331439747660459,-0.405733975098104,-0.440693211501504,-0.601846625648408,-0.77743143310326,-0.708345176844805,-0.76755537310124,-0.774512695469203
"miR200a",0.72662745889052,0.72662745889052,0.71324530593166,0.727876671551127,0.658474219687128,0.470950773612661,0.0558283581638753,-0.331439747660459,-0.405733975098104,-0.440693211501504,-0.601846625648408,-0.77743143310326,-0.708345176844805,-0.76755537310124,-0.774512695469203
"miR141",0.72662745889052,0.72662745889052,0.71324530593166,0.727876671551127,0.658474219687128,0.470950773612661,0.0558283581638753,-0.331439747660459,-0.405733975098104,-0.440693211501504,-0.601846625648408,-0.77743143310326,-0.708345176844805,-0.76755537310124,-0.774512695469203
"miR101",0.654412128778449,0.654412128778449,0.638720102508781,0.653785432690227,0.536180388160366,0.433124799204097,0.0160738573240929,-0.246611421265581,-0.312482520356931,-0.407366305572368,-0.506979884687871,-0.696623091286026,-0.550436237884879,-0.601879788967763,-0.697938535619088
"miR34a",0.575776795930246,0.575776795930246,0.55898067546464,0.578996004852996,0.485444841354422,0.413952875074334,0.0559168086325482,-0.227777640442982,-0.324221662818219,-0.365848784329499,-0.52640204081895,-0.613612387559667,-0.490957888875284,-0.532688414245847,-0.506265313152366
"SNAI2",-0.109543646618949,-0.109543646618949,-0.290514826289697,-0.107874972745832,-0.083189131564506,-0.23541326991822,-0.186669972439069,-0.079856084794963,0.0438518847226108,0.0180810382522556,0.137976609856418,0.115495452555061,0.285235038817341,0.294626264321374,0.119149105479755
"TGFbeta",-0.427991495614847,-0.427991495614847,-0.510650187391038,-0.4323945858234,-0.432247842312476,-0.360916634417844,-0.157198549314581,0.199419410796999,0.285028724752425,0.32478844808768,0.472964185997584,0.462535247053551,0.553441556586181,0.489943782823518,0.452433023359472
"SNAI1",-0.440588409149455,-0.440588409149455,-0.424941053554906,-0.445099380152768,-0.405968822862414,-0.338431694728265,-0.040646339095146,0.152880280612846,0.114725923611207,0.308233814083445,0.39034181720941,0.471125113128321,0.376356623048118,0.407678613666786,0.45927609112447
"TWIST2",-0.600821716384837,-0.600821716384837,-0.582990508761524,-0.602504612259741,-0.508021998845745,-0.428368132344754,-0.151330574782252,0.344244474345572,0.340768631792213,0.3658800484295,0.543564285925526,0.639844430551898,0.509199631355424,0.554133335170213,0.636023857120753
"TWIST1",-0.601196746327451,-0.601196746327451,-0.583056183113549,-0.603017914684515,-0.503300902290139,-0.40899073684376,-0.126975365783342,0.20221940201543,0.259808836729264,0.44480965264168,0.53886713879152,0.640713379612966,0.508634639823232,0.554000108757035,0.636525670739956
"FOXC2",-0.785866767377374,-0.785866767377374,-0.774601704062759,-0.787108735020594,-0.7250738048109,-0.45957711406216,0.0536865719899084,0.344619607139609,0.41529888772181,0.432238385661628,0.576961588418365,0.843275371429859,0.652906343443499,0.720194769856295,0.640432768045067
"ZEB1",-0.841973701669157,-0.841973701669157,-0.828888156437561,-0.843275371429859,-0.774149764849995,-0.499774063829304,0.0488932272124093,0.373133855302582,0.442921261232927,0.469870837269556,0.619492132910655,0.794595467874346,0.720194769856295,0.782324144736326,0.691778964606647
"GSC",-0.66363674841363,-0.66363674841363,-0.647771313776113,-0.664691238336405,-0.574687512052267,-0.478434051775104,-0.0317020165244374,0.420807147305586,0.393405071708255,0.52573252380293,0.518907448968514,0.708449867667039,0.557915304073593,0.610641429574429,0.70587916724996
"ZEB2",-0.884022077187469,-0.884022077187469,-0.872750357686783,-0.684954833954072,-0.624085083885944,-0.451751204546793,-0.0483405470113199,0.335672187027813,0.40198720494485,0.427072806225,0.575026244533634,0.741981873086909,0.74970674293578,0.818849687067306,0.840048816847343
