"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR101",0.655736921629077,0.655736921629077,0.640955209590445,0.651526963248291,0.484341691587618,0.3581653166554,-0.129023934460037,-0.312629792934056,-0.272813147033063,-0.466904499507901,-0.511252838617324,-0.692131238387494,-0.554051902961988,-0.60485152997865,-0.702742143379379
"miR200c",0.609952036023515,0.609952036023515,0.593416380039858,0.603395071138441,0.409315572148073,0.218430625913834,-0.0223115318293081,-0.187442661478094,-0.250911170979511,-0.396777664452676,-0.439588399859113,-0.63904747042754,-0.619033072689464,-0.663701419620195,-0.654783237414012
"miR200b",0.609952036023515,0.609952036023515,0.593416380039858,0.603395071138441,0.409315572148073,0.218430625913834,-0.0223115318293081,-0.187442661478094,-0.250911170979511,-0.396777664452676,-0.439588399859113,-0.63904747042754,-0.619033072689464,-0.663701419620195,-0.654783237414012
"miR200a",0.609952036023515,0.609952036023515,0.593416380039858,0.603395071138441,0.409315572148073,0.218430625913834,-0.0223115318293081,-0.187442661478094,-0.250911170979511,-0.396777664452676,-0.439588399859113,-0.63904747042754,-0.619033072689464,-0.663701419620195,-0.654783237414012
"miR141",0.609952036023515,0.609952036023515,0.593416380039858,0.603395071138441,0.409315572148073,0.218430625913834,-0.0223115318293081,-0.187442661478094,-0.250911170979511,-0.396777664452676,-0.439588399859113,-0.63904747042754,-0.619033072689464,-0.663701419620195,-0.654783237414012
"miR34a",0.684610691766434,0.684610691766434,0.672507862282409,0.681787105255281,0.540011437864601,0.45435959955193,-0.253369712695157,-0.389919991251586,-0.425510220859674,-0.718356907260258,-0.664613983109427,-0.726125913331037,-0.575362688663793,-0.630642787197319,-0.633637586895489
"TGFbeta",-0.120472279872948,-0.120472279872948,-0.216917191353977,-0.113141525193852,-0.0292404590187185,-0.109202635601893,0.0144035586850313,0.102747405618013,0.138603497560763,0.175240558737214,0.213013509426444,0.123508035082183,0.293776105936419,0.206623753868277,0.140628531261379
"SNAI1",-0.494246556019326,-0.494246556019326,-0.481368353121705,-0.494952941837158,-0.421755288725631,-0.343096387913377,0.0412521873529037,0.298865361693078,0.250166801584066,0.424198586938464,0.460896343933059,0.524863352501319,0.419464373235251,0.456711749356867,0.522442660346702
"FOXC2",-0.753912082757902,-0.753912082757902,-0.742376880404747,-0.750917464981807,-0.620771346053922,-0.329139220867683,0.150053722088565,0.284044096802335,0.329000822423077,0.587894962611601,0.537664646302961,0.800663836763398,0.631781619948079,0.694110728267114,0.609061290667059
"ZEB1",-0.804495197604035,-0.804495197604035,-0.791360162686918,-0.800663836763398,-0.656992071110065,-0.353729501361124,0.158743035056688,0.30450064033592,0.353007632865756,0.630910940427526,0.57554736191986,0.745403752449663,0.694110728267114,0.749693299128973,0.655003154403713
"SNAI2",-0.627330442761787,-0.627330442761787,-0.815161035850523,-0.623860769349664,-0.489029835252322,-0.597428762423544,0.218270853284346,0.337013888503212,0.479590940337193,0.760064381779519,0.706823795672705,0.671702029728059,0.709997045469143,0.769421203132927,0.680598473997355
"GSC",-0.679969517586457,-0.679969517586457,-0.665898971227479,-0.677191051813439,-0.539122151076575,-0.420272208746064,0.225982397926303,0.446376420860973,0.47780421880038,0.505602564409044,0.544726759970905,0.720520732780022,0.572488470125964,0.626544689957494,0.727757111477927
"TWIST1",-0.684708996124176,-0.684708996124176,-0.6712006095726,-0.681018914179793,-0.52759014243365,-0.420043278047444,0.148054376846477,0.43992567261905,0.392702472983995,0.606204731103517,0.652511396689833,0.72479450190339,0.576080599624062,0.630792662505038,0.734279392981841
"ZEB2",-0.784876903086156,-0.784876903086156,-0.769501645908492,-0.578893722755567,-0.417171738217896,-0.184206342979678,-0.0282596587315235,0.156861268885655,0.20709812500258,0.391591326200389,0.43224219738117,0.62039602951759,0.680957325938154,0.73266991537338,0.734498888344243
"TWIST2",-0.688583004368082,-0.688583004368082,-0.675429033163721,-0.684967623262395,-0.539143618011622,-0.445521957859892,0.240381923743752,0.365763112088132,0.520763839502537,0.615199785845734,0.6607299147527,0.729213834750623,0.579034066221442,0.634267305425322,0.738525711797746
