"","miR200c","miR200b","miR200a","miR34a","miR141","miR101","TWIST2","TWIST1","FOXC2","SNAI2","SNAI1","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.9,0.9,0.9,0.9,0.9,0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.8,-1,-0.9,-1
"miR200b",0.9,0.9,0.9,0.9,0.9,0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.8,-1,-0.9,-1
"miR200a",0.9,0.9,0.9,0.9,0.9,0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.8,-1,-0.9,-1
"miR141",0.9,0.9,0.9,0.9,0.9,0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.8,-1,-0.9,-1
"miR101",0.9,0.9,0.9,0.9,0.9,0.9,-0.8,-0.8,-0.9,-0.9,-0.9,-0.7,-1,-0.8,-1
"miR34a",0.9,0.9,0.9,0.9,0.9,0.9,-1,-0.9,-0.9,-1,-1,-0.7,-1,-0.8,-0.9
"FOXC2",-0.9,-0.9,-0.9,-0.9,-0.9,-0.7,0.8,0.7,0.7,0.8,0.8,0.7,1,0.8,0.8
"ZEB1",-1,-1,-1,-1,-1,-0.8,0.9,0.8,0.8,0.9,0.9,0.8,1,0.9,0.9
"TGFbeta",-0.8,-0.9,-0.8,-0.9,-0.8,-0.9,0.9,0.9,0.9,1,1,0.8,0.9,0.8,0.9
"SNAI2",-0.8,-1,-0.8,-0.8,-0.8,-1,1,0.9,0.8,1,0.9,0.8,0.9,0.9,0.9
"ZEB2",-1,-1,-1,-0.8,-0.8,-0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1
"TWIST2",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.9,1,0.9,1,1,0.7,1,0.8,1
"TWIST1",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.9,0.9,1,1,0.9,0.7,1,0.8,1
"SNAI1",-0.9,-0.9,-0.9,-1,-0.9,-1,0.9,0.9,1,1,0.9,0.7,1,0.8,1
"GSC",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,0.8,1,1,0.9,1,0.7,1,0.8,1
