"","miR200b","miR200c","miR200a","miR101","miR34a","miR141","ZEB1","SNAI1","TWIST1","FOXC2","TWIST2","SNAI2","GSC","TGFbeta","ZEB2"
"miR200c",0.655772525515897,0.643667918734427,0.643667918734427,0.511123615589867,0.553082080473832,0.567556753924429,-0.601779021400732,-0.437393340489554,-0.499553102045719,-0.486095802239883,-0.571049503235539,-0.65589198463862,-0.642078105042091,-0.692207708348468,-0.781199012764284
"miR200b",0.655772525515897,0.643667918734427,0.643667918734427,0.511123615589867,0.553082080473832,0.567556753924429,-0.601779021400732,-0.437393340489554,-0.499553102045719,-0.486095802239883,-0.571049503235539,-0.65589198463862,-0.642078105042091,-0.692207708348468,-0.781199012764284
"miR141",0.655772525515897,0.643667918734427,0.643667918734427,0.511123615589867,0.553082080473832,0.567556753924429,-0.601779021400732,-0.437393340489554,-0.499553102045719,-0.486095802239883,-0.571049503235539,-0.65589198463862,-0.642078105042091,-0.692207708348468,-0.781199012764284
"miR101",0.582398673813966,0.575679713163642,0.575679713163642,0.461906164914231,0.44057356635751,0.509737735496269,-0.53855588352697,-0.335426126809503,-0.374990775679912,-0.441196320805103,-0.467001008811409,-0.545186011226558,-0.488410558638739,-0.530687868232504,-0.696173136537882
"miR34a",0.63027340596228,0.623362535655209,0.623362535655209,0.54801142261102,0.510216727827282,0.567854276480836,-0.600046894307327,-0.438699897592339,-0.520832276676239,-0.507798792403086,-0.724913517798738,-0.700735421621387,-0.528405296655381,-0.575452021204426,-0.636237347965199
"miR200a",0.0780932363232964,0.0441336553863657,0.0441336553863657,0.127149491095106,-0.0834547301103212,-0.178206921129259,0.17539664269324,-0.0964306845080925,-0.1041537684493,-0.139688894647391,-0.0413554592133409,-0.163908676331483,-0.119057136465997,-0.123212803773712,-0.273425094497087
"SNAI1",-0.446101697136013,-0.444399830241167,-0.444399830241167,-0.412818537646908,-0.395099601322715,-0.404604650161886,0.426128039841491,0.178282327953999,0.320221994489707,0.387296682315916,0.426552388047769,0.485932954402482,0.379632644384268,0.411052175476285,0.521590971730387
"FOXC2",-0.675987248274442,-0.661181249575657,-0.661181249575657,-0.468813779276154,-0.581539248279592,-0.585702548899023,0.621942016653532,0.420920565910834,0.459498748809254,0.449217562841001,0.599922687408217,0.590832294801247,0.554611198404322,0.607868518379968,0.608209950684104
"TGFbeta",-0.611860085951991,-0.508371947689292,-0.508371947689292,-0.510485201731497,-0.487627654917707,-0.461121876708122,0.491699927531914,0.410832482248057,0.491801187114022,0.479534723054626,0.599470173011362,0.669078398118893,0.617871527367304,0.562509199174751,0.608909078389354
"ZEB1",-0.720477413237353,-0.704646601267703,-0.704646601267703,-0.509700408733298,-0.616675149675538,-0.621942016653532,0.554310570938645,0.44889803719142,0.50003283089301,0.487815542327389,0.644008254554658,0.634698335577538,0.607868518379968,0.654996293669494,0.654837129313178
"ZEB2",-0.643302445537655,-0.628363666520765,-0.628363666520765,-0.376258507664552,-0.310696985355696,-0.293386220940722,0.320453721724574,0.330846949879071,0.366188289708831,0.367912816479666,0.368367076917894,0.478300340323578,0.540024927573356,0.579482988160964,0.695791750380069
"SNAI2",-0.790068834974185,-0.582410703683945,-0.582410703683945,-0.723145270067014,-0.484108519004396,-0.523502260196532,0.559600486114804,0.446028145748447,0.608688391679965,0.488735092334166,0.789182886310187,0.769187561991184,0.676374851288192,0.728925169062149,0.703845131388349
"GSC",-0.608652083172958,-0.601296332927644,-0.601296332927644,-0.52391659114461,-0.494715510958965,-0.53793699388256,0.568743151478091,0.431154087632697,0.580823548473206,0.576514301548368,0.50525334824382,0.57894076840443,0.509018074951448,0.554104360719817,0.722630034901345
"TWIST1",-0.618697255538587,-0.610923698695797,-0.610923698695797,-0.526192366627461,-0.490060334664805,-0.546773168646683,0.578316949420013,0.357286838173984,0.49869688994491,0.571696260649856,0.610913548502051,0.690734894023563,0.516756346060998,0.562971991446518,0.732975320118011
"TWIST2",-0.624195376875359,-0.616448853200516,-0.616448853200516,-0.547671184029886,-0.501205721629802,-0.553430386174835,0.585262680214361,0.441971904337592,0.623211728323205,0.493601623632371,0.619022653570251,0.697465714713872,0.521690851815582,0.56826342675602,0.737203305753688
