"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR141",0.8496435519991,0.8496435519991,0.844511103982029,0.84853257236111,0.792509071490036,0.541253590803975,-0.502182427371436,-0.516404358311765,-0.53725404430883,-0.721823469672649,-0.695092507154902,-0.680993591049203,-0.926088486587534,-0.765960193666094,-0.929291638946694
"miR200c",0.808261254192658,0.808261254192658,0.801332580222951,0.806645305263601,0.738172173262066,0.566106477170211,-0.497720974618706,-0.534133389173362,-0.55912490448558,-0.672643854745935,-0.739403677670709,-0.752596530624574,-0.87788151487747,-0.830581420213559,-0.882089412714795
"miR200b",0.808261254192658,0.808261254192658,0.801332580222951,0.806645305263601,0.738172173262066,0.566106477170211,-0.497720974618706,-0.534133389173362,-0.55912490448558,-0.672643854745935,-0.739403677670709,-0.752596530624574,-0.87788151487747,-0.830581420213559,-0.882089412714795
"miR200a",0.808261254192658,0.808261254192658,0.801332580222951,0.806645305263601,0.738172173262066,0.566106477170211,-0.497720974618706,-0.534133389173362,-0.55912490448558,-0.672643854745935,-0.739403677670709,-0.752596530624574,-0.87788151487747,-0.830581420213559,-0.882089412714795
"miR101",0.716576802131532,0.716576802131532,0.705924806923607,0.713629645490754,0.596953374581612,0.505609805490106,-0.382766261987819,-0.479219734768934,-0.421754678755504,-0.552164582416644,-0.613465294089512,-0.582972369526184,-0.773878627667538,-0.649132773964726,-0.781005991205585
"miR34a",0.730197215030052,0.730197215030052,0.721471574072839,0.728235980738083,0.629942978294699,0.5746199720395,-0.470042563462136,-0.529619461240314,-0.549698699898206,-0.783288770332108,-0.74555345989581,-0.594369218317917,-0.789864648637232,-0.662135829436778,-0.694814864352308
"SNAI1",-0.531311437989604,-0.531311437989604,-0.520963682693603,-0.532734852151198,-0.491839424961379,-0.436693750115287,0.205823616867511,0.407419861173946,0.346291169157648,0.475855217632745,0.524224502088649,0.435429187377884,0.575542350233686,0.482338177229443,0.571083732449284
"TGFbeta",-0.594345911337988,-0.594345911337988,-0.684900658496707,-0.592786723722386,-0.585835644477336,-0.529598776687526,0.435139478622218,0.495006706177061,0.513095780893934,0.644647208083992,0.702742001534704,0.66792729204357,0.649892548469378,0.630793754128375,0.653900834734961
"FOXC2",-0.844110857563492,-0.844110857563492,-0.838702234376285,-0.842968068817435,-0.784314773914445,-0.532571063484145,0.488750352038133,0.504817694344439,0.527746705825063,0.714788299546918,0.687301349837251,0.677547236661112,0.919493990028271,0.761443431646207,0.72278728802124
"SNAI2",-0.690121989127959,-0.690121989127959,-0.882332596270516,-0.687984064749509,-0.607290631382534,-0.74922828413756,0.478083473116475,0.510435662333898,0.637403891838334,0.84790199455761,0.8139475185973,0.740159448497838,0.756476347895592,0.815523594586791,0.761947178644395
"ZEB1",-0.9210032318682,-0.9210032318682,-0.914508263882378,-0.919493990028271,-0.852605116146422,-0.592932948232313,0.533035528218662,0.561510621860905,0.588300888974993,0.786072708694825,0.755338616141259,0.761443431646207,0.892679975209735,0.842041641264608,0.796866195496754
"GSC",-0.736796521132112,-0.736796521132112,-0.726754410594653,-0.735165197271424,-0.645958133191138,-0.563889260729983,0.475813360810038,0.61083090516019,0.624048590559636,0.585161964793488,0.642034781640708,0.598008314860776,0.797991060664595,0.667067054478382,0.802084957671263
"TWIST1",-0.743107489106884,-0.743107489106884,-0.733734519196117,-0.740597421763382,-0.637437490513289,-0.565005016613396,0.400419161435586,0.604990691264903,0.540419867384313,0.688517676085188,0.752498459283268,0.603005736935177,0.804101351750625,0.672779065292659,0.810262863471036
"TWIST2",-0.743289796437213,-0.743289796437213,-0.73410411020287,-0.740770675931407,-0.643158770216535,-0.58400767528288,0.483076049884333,0.524673434054215,0.662521177053333,0.692534020093824,0.75558215054459,0.603602552677154,0.804134664460629,0.673201665619571,0.810327086939298
"ZEB2",-0.939709969643847,-0.939709969643847,-0.934058912272539,-0.738476168933488,-0.67991960885631,-0.521958782789014,0.473354035424433,0.496903035830023,0.518125743721163,0.609804726285137,0.68136593544623,0.774330524268557,0.814513540976566,0.858151222774378,0.918183433702416
