"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","GSC","TGFbeta","SNAI2","TWIST2","ZEB1","ZEB2"
"miR200b",0.757698580232551,0.757698580232551,0.733923297745519,0.756157297707865,0.671124677045437,0.452845333071504,-0.405858402532161,-0.383960749149262,-0.437031582268984,-0.389648379878922,-0.419555089388341,-0.58501336170575,-0.575911584050265,-0.810982719805022,-0.815132557203791
"miR200a",0.757698580232551,0.757698580232551,0.733923297745519,0.756157297707865,0.671124677045437,0.452845333071504,-0.405858402532161,-0.383960749149262,-0.437031582268984,-0.389648379878922,-0.419555089388341,-0.58501336170575,-0.575911584050265,-0.810982719805022,-0.815132557203791
"miR141",0.757698580232551,0.757698580232551,0.733923297745519,0.756157297707865,0.671124677045437,0.452845333071504,-0.405858402532161,-0.383960749149262,-0.437031582268984,-0.389648379878922,-0.419555089388341,-0.58501336170575,-0.575911584050265,-0.810982719805022,-0.815132557203791
"miR101",0.674801410924115,0.674801410924115,0.650099066593726,0.671920414181445,0.541398406917216,0.409501304062051,-0.369099466661274,-0.286225688162269,-0.317991521421737,-0.256390298478529,-0.281765481011649,-0.483030081937445,-0.471209138416024,-0.718319893172296,-0.725358938542303
"miR34a",0.703879288888029,0.703879288888029,0.684436115600314,0.702058405030515,0.592335576733845,0.505578355649892,-0.448388324622234,-0.397255549511325,-0.473442652323685,-0.292519015794538,-0.320183031035684,-0.648544173095662,-0.726753434452685,-0.752611147984988,-0.657306896594005
"miR200c",0.421970155267882,0.421970155267882,0.327738380973561,0.417592729158308,0.278834964173004,-0.0305260508153669,0.0471884969176208,0.00493800392187621,0.00235168386407036,-0.0427973192694505,-0.0526746440660868,0.034391532425467,-0.0970252558856862,-0.43600301499954,-0.446017065144749
"SNAI1",-0.50812751529026,-0.50812751529026,-0.489323829727132,-0.509641413071922,-0.460126172388973,-0.379771847257741,0.340664467056743,0.146860377044096,0.283680581685208,0.203353577240981,0.222024647767502,0.446021012805435,0.428724918629728,0.543840859089556,0.539226229633846
"TGFbeta",-0.575501696737082,-0.575501696737082,-0.657093441119819,-0.574067555933299,-0.557231199324851,-0.473616943589668,0.428172488028151,0.374432703192208,0.45075096500154,0.420281217636609,0.34642821382942,0.623081330546869,0.600205551404184,0.62179542053706,0.625577480736869
"FOXC2",-0.785384923486886,-0.785384923486886,-0.760783326296319,-0.784303911453113,-0.706246474774402,-0.404407685533105,0.3632282271838,0.360638667082482,0.392499331271516,0.307465839762541,0.339186656721638,0.513797910589746,0.605332828447854,0.8424055976803,0.645670594098748
"ZEB1",-0.843896085144264,-0.843896085144264,-0.816338369290008,-0.8424055976803,-0.755307512892449,-0.440769921422519,0.39493178236233,0.386312706143237,0.427955451708818,0.339186656721638,0.368530824614657,0.554072447235052,0.653585832541344,0.795933791652018,0.69999616309669
"SNAI2",-0.66500874726673,-0.66500874726673,-0.845801857543614,-0.662986328519031,-0.569812271856607,-0.677536527044198,0.425863421628065,0.401689291099808,0.558020529549317,0.450146330162703,0.48120777216361,0.71265935360418,0.79046467444176,0.719735173875505,0.724977892361977
"GSC",-0.698590073757532,-0.698590073757532,-0.67517489408349,-0.697058254485572,-0.594368258813829,-0.47218694883486,0.504646532871968,0.382463138576812,0.52434295866751,0.267137744934275,0.294144086228404,0.517086217562544,0.508938274603059,0.746399600096099,0.750310832324045
"TWIST1",-0.706016379921338,-0.706016379921338,-0.68337974475954,-0.703602414976252,-0.586990971885479,-0.475944619582904,0.502123020992644,0.309409917825364,0.443410936724351,0.278704352744794,0.306173340018883,0.630292960802674,0.614247209310564,0.753809709567925,0.759823572970205
"TWIST2",-0.708638372301228,-0.708638372301228,-0.686750401184056,-0.706222579235227,-0.595631578784669,-0.499070386200282,0.425933633678329,0.395617783004678,0.569538495493255,0.280120498899241,0.307755510528662,0.638629577104512,0.622017328853385,0.756748529331534,0.762774290375797
"ZEB2",-0.81316642703305,-0.81316642703305,-0.775280480657443,-0.610693608240322,-0.522322701582503,-0.262543639047809,0.231567985472884,0.236789323049565,0.261557952057527,0.28432197268645,0.310990161654837,0.344633793672009,0.385316921858813,0.65917542538153,0.765326855443269
