"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB2","TGFbeta","ZEB1"
"miR101",0.703069215346129,0.703069215346129,0.693777268092836,0.704830865690233,0.587607812502881,0.504658179846312,-0.382090310441749,-0.47855367861974,-0.42111781030768,-0.548182007467491,-0.575257432207192,-0.610701065991585,-0.758673158135198,-0.639057512487522,-0.762863195744903
"miR200c",0.796224919127286,0.796224919127286,0.790684999501116,0.79936937203689,0.729500952359226,0.56301240785041,-0.493296584412404,-0.5313853295436,-0.554913783008607,-0.668854454892759,-0.746708453505092,-0.736194815436261,-0.757440266531158,-0.8218566652575,-0.868186553129055
"miR200b",0.796224919127286,0.796224919127286,0.790684999501116,0.79936937203689,0.729500952359226,0.56301240785041,-0.493296584412404,-0.5313853295436,-0.554913783008607,-0.668854454892759,-0.746708453505092,-0.736194815436261,-0.757440266531158,-0.8218566652575,-0.868186553129055
"miR200a",0.796224919127286,0.796224919127286,0.790684999501116,0.79936937203689,0.729500952359226,0.56301240785041,-0.493296584412404,-0.5313853295436,-0.554913783008607,-0.668854454892759,-0.746708453505092,-0.736194815436261,-0.757440266531158,-0.8218566652575,-0.868186553129055
"miR141",0.796224919127286,0.796224919127286,0.790684999501116,0.79936937203689,0.729500952359226,0.56301240785041,-0.493296584412404,-0.5313853295436,-0.554913783008607,-0.668854454892759,-0.746708453505092,-0.736194815436261,-0.757440266531158,-0.8218566652575,-0.868186553129055
"miR34a",0.722979821440449,0.722979821440449,0.715306314887162,0.725062514873457,0.626279437479362,0.576777812111388,-0.472026075289742,-0.533113806787628,-0.552238619899763,-0.783522914525371,-0.591045655341288,-0.747074380083147,-0.679900779713331,-0.657574442213417,-0.785342711471443
"SNAI1",-0.519591393390483,-0.519591393390483,-0.511187583170939,-0.527636873596291,-0.486818346457577,-0.436544707648987,0.205035087951541,0.407955017421908,0.345802589407226,0.474375727098776,0.429131565358598,0.523630578120285,0.542942454595386,0.474397128002565,0.569025351148947
"TGFbeta",-0.585230135899541,-0.585230135899541,-0.676941061802165,-0.588533047072902,-0.581398523343698,-0.530115325286546,0.434889285774303,0.496264715509842,0.51348785022658,0.643733147705188,0.663107627605291,0.702620738092987,0.635449399325129,0.624776796822024,0.644258881919808
"ZEB2",-0.822774733633442,-0.822774733633442,-0.818345396171508,-0.726113892418196,-0.665849692504534,-0.507476990979635,0.447999219050142,0.479278271704059,0.50048458483816,0.600214175751989,0.664972013965184,0.671060881422452,0.689731443931091,0.746708453505092,0.79936937203689
"FOXC2",-0.836779472295708,-0.836779472295708,-0.831937365230965,-0.838388659847397,-0.777591773664798,-0.531760731588599,0.488791385470661,0.505781553252338,0.526924618852499,0.712332642881787,0.675115025927603,0.685310943216993,0.707616647666329,0.756731300045597,0.912779809851524
"SNAI2",-0.681132364773193,-0.681132364773193,-0.874284945253247,-0.682964660283058,-0.601661116012635,-0.749365898422879,0.477267893544308,0.511237364235936,0.637593673823708,0.846200550178262,0.735783673162201,0.813030447524216,0.745001744499519,0.809634700075811,0.749757896733656
"ZEB1",-0.910794645178338,-0.910794645178338,-0.905102218135304,-0.912779809851524,-0.843902980434842,-0.591520445870708,0.531454721366126,0.561988033462722,0.587017990131238,0.782145450763561,0.756731300045597,0.751990286750329,0.778551773834145,0.83542971155185,0.883817743488625
"GSC",-0.725648410757605,-0.725648410757605,-0.71661277934171,-0.728432636934353,-0.638531460672437,-0.563627013233103,0.474958061092142,0.611378804411065,0.623717670161816,0.582595299359268,0.592118006113982,0.640642701955755,0.781470988701385,0.659294074673004,0.789337863339031
"TWIST2",-0.732287913468995,-0.732287913468995,-0.724179310429005,-0.734171321668863,-0.63584906162247,-0.583325249063675,0.482016023955419,0.524680232287021,0.661862116852939,0.68978586311632,0.597725434242885,0.753723560852987,0.790499526869216,0.665320555056266,0.795579240586834
"TWIST1",-0.732673698488057,-0.732673698488057,-0.724349450754418,-0.734088567832892,-0.630038345463288,-0.564740471350172,0.400256167327641,0.605416056149936,0.540455471563648,0.685842040974635,0.597556738874318,0.750878581399071,0.792166994413501,0.665339451549412,0.7956538273984
