"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","TWIST2","TWIST1","SNAI1","FOXC2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.738425689325904,0.738425689325904,0.726172895253881,0.739254764812852,0.67002014456648,0.485870147148713,-0.0623253312254382,-0.364977837602337,-0.420519948812188,-0.455865056543022,-0.623217797772269,-0.792175195796264,-0.71434387546163,-0.776535545015006,-0.790292114749853
"miR200b",0.738425689325904,0.738425689325904,0.726172895253881,0.739254764812852,0.67002014456648,0.485870147148713,-0.0623253312254382,-0.364977837602337,-0.420519948812188,-0.455865056543022,-0.623217797772269,-0.792175195796264,-0.71434387546163,-0.776535545015006,-0.790292114749853
"miR200a",0.738425689325904,0.738425689325904,0.726172895253881,0.739254764812852,0.67002014456648,0.485870147148713,-0.0623253312254382,-0.364977837602337,-0.420519948812188,-0.455865056543022,-0.623217797772269,-0.792175195796264,-0.71434387546163,-0.776535545015006,-0.790292114749853
"miR141",0.738425689325904,0.738425689325904,0.726172895253881,0.739254764812852,0.67002014456648,0.485870147148713,-0.0623253312254382,-0.364977837602337,-0.420519948812188,-0.455865056543022,-0.623217797772269,-0.792175195796264,-0.71434387546163,-0.776535545015006,-0.790292114749853
"miR101",0.644325771635346,0.644325771635346,0.628584647480976,0.643882557999373,0.527222593670154,0.424944786498654,-0.014442752299134,-0.237320642647163,-0.306622089105694,-0.400652560167386,-0.498069570944911,-0.686825236763818,-0.541003885907497,-0.591427010874509,-0.687864151744681
"miR34a",0.32551587779254,0.32551587779254,0.319969464586374,0.343469568008821,0.270972493375207,0.232588145537788,-0.00817109217110711,-0.0866615731583485,-0.156111755064456,-0.200926572871042,-0.307876642457901,-0.362293497084091,-0.283049517909746,-0.304719005887322,-0.218450950441021
"SNAI1",-0.457060566304308,-0.457060566304308,-0.442430097606232,-0.46104907708935,-0.421390290917715,-0.356356836715092,0.0474727665863747,0.190471097059385,0.131228169451929,0.326566805732584,0.414639442140529,0.490092653738004,0.387401228382851,0.421926987394441,0.479429220255363
"FOXC2",-0.726826871534633,-0.726826871534633,-0.714043679992383,-0.730088348840032,-0.671459079224215,-0.404578136508868,-0.0711056105268223,0.23225056151385,0.370015492015701,0.383965481167444,0.507901311835115,0.781312705692266,0.606221063403263,0.666136932114173,0.573955626408937
"TGFbeta",-0.542775633123264,-0.542775633123264,-0.62916245662451,-0.543253211515674,-0.535652883656772,-0.469102186566715,0.196092801207805,0.371213149853109,0.3755236024273,0.433495478189278,0.614982304188279,0.586052442161812,0.640793960845933,0.591408595936596,0.585002404838324
"ZEB1",-0.778045480277593,-0.778045480277593,-0.763861002943263,-0.781312705692266,-0.716397190556668,-0.442215450313127,-0.0661432442254886,0.261191955862378,0.396205716244657,0.419262774296155,0.548111175536887,0.728923900070013,0.666136932114173,0.723065718344898,0.621693406095303
"SNAI2",-0.643666320436272,-0.643666320436272,-0.83163063747119,-0.643383926457129,-0.561245238986947,-0.692861747849053,0.371734337267412,0.492990606623005,0.421531420726606,0.453956162548036,0.729173945185455,0.697063546789573,0.71830341305694,0.782192658354485,0.697765249901705
"GSC",-0.669158000552933,-0.669158000552933,-0.653908060343199,-0.669979425642948,-0.580257217386138,-0.485906792757352,0.0351451349056138,0.440028356723824,0.401247696428895,0.533577740921571,0.530190710056921,0.71573490050795,0.560278679058975,0.614367709566594,0.713787692746124
"TWIST1",-0.677138646911937,-0.677138646911937,-0.662791101677807,-0.676950058261303,-0.573340139898051,-0.489866562404119,0.158123686682272,0.366090505281269,0.328404179717403,0.5311908310161,0.643905760843908,0.723463127284309,0.566299296705566,0.621064829803631,0.723914138618956
"TWIST2",-0.681732216915275,-0.681732216915275,-0.667757377102381,-0.681395766903122,-0.583212100233392,-0.513127494984209,0.182812210268141,0.49599279139795,0.414667447055774,0.454498294136323,0.652748043173839,0.728454228279211,0.569970859018917,0.625466679784365,0.729232824661165
"ZEB2",-0.891883081639298,-0.891883081639298,-0.881571980238714,-0.692477693779038,-0.632029346020457,-0.462663379996205,0.0534640232307811,0.363125645926726,0.413285328283917,0.438399371653204,0.591370035106451,0.752472916019508,0.752624857060016,0.824142591875057,0.851405735681631
