"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","TWIST1","FOXC2","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.810970633065705,0.810970633065705,0.803993491409471,0.811128478340654,0.739561105291269,0.569681437366558,-0.502062147323068,-0.562815977106148,-0.673934959503584,-0.675346429630487,-0.744143798834566,-0.754361829199103,-0.883269154426309,-0.832787694404067,-0.882961905142593
"miR200b",0.810970633065705,0.810970633065705,0.803993491409471,0.811128478340654,0.739561105291269,0.569681437366558,-0.502062147323068,-0.562815977106148,-0.673934959503584,-0.675346429630487,-0.744143798834566,-0.754361829199103,-0.883269154426309,-0.832787694404067,-0.882961905142593
"miR200a",0.810970633065705,0.810970633065705,0.803993491409471,0.811128478340654,0.739561105291269,0.569681437366558,-0.502062147323068,-0.562815977106148,-0.673934959503584,-0.675346429630487,-0.744143798834566,-0.754361829199103,-0.883269154426309,-0.832787694404067,-0.882961905142593
"miR141",0.810970633065705,0.810970633065705,0.803993491409471,0.811128478340654,0.739561105291269,0.569681437366558,-0.502062147323068,-0.562815977106148,-0.673934959503584,-0.675346429630487,-0.744143798834566,-0.754361829199103,-0.883269154426309,-0.832787694404067,-0.882961905142593
"miR101",0.7217791819397,0.7217791819397,0.710733675542269,0.721530326358116,0.601345740579136,0.511584221429622,-0.390149435547315,-0.428700643483622,-0.423487985859317,-0.556854427543544,-0.620336874143805,-0.586515124946403,-0.783155155404747,-0.653898727014878,-0.783768782626002
"miR34a",0.734674488105782,0.734674488105782,0.725681102381473,0.735132056539148,0.633177277672725,0.579575594540944,-0.476143863507277,-0.555516294786687,-0.553724820709914,-0.7872312949947,-0.751478821662843,-0.597365861313807,-0.798078122632036,-0.666217266425038,-0.697128147040935
"SNAI1",-0.529349046810665,-0.529349046810665,-0.519518445692377,-0.53200168533464,-0.491207972776606,-0.437683855161868,0.207488314223585,0.347576997071832,0.37095107657103,0.475479220247874,0.525711974144329,0.434137441528069,0.575127998810733,0.480881176502544,0.569049143415136
"TGFbeta",-0.597804936845627,-0.597804936845627,-0.688007088706825,-0.598556052030293,-0.588077871407018,-0.532841950199045,0.438998523790018,0.516738748951119,0.619853933517979,0.647276636685861,0.706980177233435,0.670159250985482,0.65690311902906,0.634094961803406,0.655330642275242
"FOXC2",-0.844146045939518,-0.844146045939518,-0.838600286152704,-0.844340867078266,-0.782291763788857,-0.534042383418069,0.49230536877259,0.529666786390277,0.510138824404046,0.714646796341487,0.688480490834864,0.67771807978927,0.921290850769823,0.761573535757402,0.72092944010621
"SNAI2",-0.693556264179242,-0.693556264179242,-0.885538619973222,-0.693415699025676,-0.609651791158279,-0.75313303922689,0.482956578663503,0.641854975533461,0.636252964062204,0.850805352945249,0.818741655613201,0.742255291151736,0.763077939683661,0.818353272376146,0.763489605452438
"ZEB1",-0.921124264522165,-0.921124264522165,-0.914468040570103,-0.921290850769823,-0.850584351918983,-0.594785319025498,0.536769374444678,0.590752222693104,0.581410736009928,0.785961752924386,0.756834468066911,0.761573535757402,0.895088600243763,0.842335201654042,0.794863418474984
"GSC",-0.741522779529247,-0.741522779529247,-0.731229100654018,-0.742341491592849,-0.649429686813928,-0.569314401121961,0.482087976789583,0.630048927995058,0.732237973519386,0.589473174733724,0.648651058533867,0.601352184672019,0.806472075495169,0.671461519803367,0.804627344915093
"TWIST2",-0.747811174670415,-0.747811174670415,-0.73830459846434,-0.747736619372609,-0.646434478962535,-0.588753253987054,0.488840337110529,0.667933680707985,0.66683620981069,0.696388497105853,0.761368460546775,0.606613742104032,0.812373473087825,0.67722278082873,0.812593080522891
"TWIST1",-0.747871898847696,-0.747871898847696,-0.738148238749178,-0.747920677250929,-0.641303010369041,-0.570215820171573,0.406955889348696,0.546508905255744,0.639485209516478,0.692730922036052,0.758578853295571,0.606208438932497,0.812767236979012,0.677122488866059,0.812713296840936
"ZEB2",-0.941491412796527,-0.941491412796527,-0.935808290521671,-0.741598413736221,-0.68073069455248,-0.524988069868211,0.477239009257593,0.52143644226775,0.608931004032468,0.61172060064253,0.68496028979655,0.775197585058915,0.818756619315512,0.859727065730528,0.918694629437478
