"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.743016571382745,0.743016571382745,0.732589563204288,0.740369265071421,0.631376637282733,0.418435690654921,-0.255706045281442,-0.371967676687084,-0.408187992170855,-0.588652698187748,-0.640060667260978,-0.794557838827345,-0.716131371674428,-0.779842445888745,-0.8013670948243
"miR200b",0.743016571382745,0.743016571382745,0.732589563204288,0.740369265071421,0.631376637282733,0.418435690654921,-0.255706045281442,-0.371967676687084,-0.408187992170855,-0.588652698187748,-0.640060667260978,-0.794557838827345,-0.716131371674428,-0.779842445888745,-0.8013670948243
"miR200a",0.743016571382745,0.743016571382745,0.732589563204288,0.740369265071421,0.631376637282733,0.418435690654921,-0.255706045281442,-0.371967676687084,-0.408187992170855,-0.588652698187748,-0.640060667260978,-0.794557838827345,-0.716131371674428,-0.779842445888745,-0.8013670948243
"miR141",0.743016571382745,0.743016571382745,0.732589563204288,0.740369265071421,0.631376637282733,0.418435690654921,-0.255706045281442,-0.371967676687084,-0.408187992170855,-0.588652698187748,-0.640060667260978,-0.794557838827345,-0.716131371674428,-0.779842445888745,-0.8013670948243
"miR101",0.649329677639179,0.649329677639179,0.63540869708641,0.645427896220337,0.493383882421134,0.366056271564247,-0.164856356146787,-0.308801120010431,-0.280377779926546,-0.468241654215243,-0.514984817683966,-0.689905642514796,-0.543109810046091,-0.595380258153904,-0.69924484017819
"miR34a",0.357814352857816,0.357814352857816,0.357753080926828,0.36406309883183,0.23951039008422,0.203341240884079,-0.0742151156891708,-0.0759535318383213,-0.23149101186631,-0.434273298819771,-0.367763685515606,-0.387316048917466,-0.306137676002887,-0.333463133935018,-0.270472756827903
"SNAI1",-0.462887376998637,-0.462887376998637,-0.449860225943512,-0.463731527110061,-0.39303929711477,-0.322329298762438,0.0414361593427653,0.274570686275553,0.232532964637797,0.39307226582916,0.430311722434624,0.493605768166585,0.390867477075294,0.426245723963713,0.49062202119569
"FOXC2",-0.734866934531231,-0.734866934531231,-0.724716151708252,-0.733102021967712,-0.627882986094542,-0.283339856268263,0.0931803417758361,0.154999638102953,0.291091722639205,0.583562779300019,0.533137512165199,0.786517726626996,0.609847384953899,0.672475380747334,0.591101348417284
"TGFbeta",-0.54612720188399,-0.54612720188399,-0.633957522269968,-0.543849097701208,-0.504973134459221,-0.427442797104031,0.269959791491153,0.376764522213778,0.406832774886197,0.581764425176791,0.627795208121247,0.587744626224093,0.641995537506315,0.593829763485536,0.593532509559142
"ZEB1",-0.788735170833097,-0.788735170833097,-0.777340058413792,-0.786517726626996,-0.671385608622166,-0.318050178948297,0.10920089511693,0.185580342969152,0.326485115314992,0.630637914649286,0.576813845640454,0.73589189013148,0.672475380747334,0.731248174912028,0.641671605040168
"SNAI2",-0.646513360067453,-0.646513360067453,-0.83586186182744,-0.643581720188466,-0.528391608394025,-0.643689139354116,0.295611057235906,0.387317754265496,0.528366080272004,0.788469652436155,0.741632783911229,0.697945251203916,0.719189675981608,0.78375296132808,0.705620619483082
"GSC",-0.673796368064276,-0.673796368064276,-0.660347843774529,-0.671177587761139,-0.543042838522618,-0.426787958561972,0.251063663694806,0.447017731934991,0.483317245198941,0.503434853194541,0.546456099610109,0.718222364467228,0.56216205219595,0.617765421599995,0.724713485340006
"TWIST1",-0.681556136537139,-0.681556136537139,-0.668945187606433,-0.678057212302639,-0.538669236711321,-0.434550677226623,0.192802787631523,0.451799260582392,0.407703536507798,0.610054479788921,0.659737969843499,0.725962616481719,0.568030239705056,0.624426614424337,0.734488839490146
"TWIST2",-0.685825079265798,-0.685825079265798,-0.673506774997573,-0.68232636523267,-0.548361964336974,-0.460644293759524,0.281275317791255,0.380560230336211,0.535934475620657,0.618158964261001,0.667746450111341,0.730616147904462,0.57154659767446,0.628479826126078,0.739209411118179
"ZEB2",-0.894677222111776,-0.894677222111776,-0.885809974983847,-0.692501201304557,-0.596185435263234,-0.404195911594616,0.269843788285483,0.367621847398199,0.399559823143534,0.547195321579835,0.604348267408661,0.753275795568259,0.753418639100698,0.825682301758637,0.859490401621181
