"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI2","SNAI1","TWIST2","TWIST1","FOXC2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.772110971310578,0.772110971310578,0.715175055185661,0.772201558826963,0.703834964153109,0.394659322333925,-0.395783935759141,-0.460437392223749,-0.48421879461893,-0.500267366955458,-0.504645705737997,-0.724144838417813,-0.831750581338812,-0.790947279976875,-0.831494231397489
"miR200b",0.772110971310578,0.772110971310578,0.715175055185661,0.772201558826963,0.703834964153109,0.394659322333925,-0.395783935759141,-0.460437392223749,-0.48421879461893,-0.500267366955458,-0.504645705737997,-0.724144838417813,-0.831750581338812,-0.790947279976875,-0.831494231397489
"miR200a",0.772110971310578,0.772110971310578,0.715175055185661,0.772201558826963,0.703834964153109,0.394659322333925,-0.395783935759141,-0.460437392223749,-0.48421879461893,-0.500267366955458,-0.504645705737997,-0.724144838417813,-0.831750581338812,-0.790947279976875,-0.831494231397489
"miR141",0.772110971310578,0.772110971310578,0.715175055185661,0.772201558826963,0.703834964153109,0.394659322333925,-0.395783935759141,-0.460437392223749,-0.48421879461893,-0.500267366955458,-0.504645705737997,-0.724144838417813,-0.831750581338812,-0.790947279976875,-0.831494231397489
"miR101",0.678543332724594,0.678543332724594,0.620641451343119,0.677327264054076,0.561596196015829,0.342783179672875,-0.291243455680864,-0.347542287619794,-0.370321011986307,-0.363896703196934,-0.44947749223725,-0.552326303916,-0.72671504420731,-0.608148890520268,-0.729426507254954
"miR34a",0.49568642923488,0.49568642923488,0.328005383901239,0.502803182388789,0.42149985343136,0.152066396183153,-0.0458892758229983,-0.286874802218384,-0.234638574484691,-0.271829545301446,-0.337051917846024,-0.367367030648315,-0.533036311107359,-0.401705114705178,-0.41695535303566
"SNAI1",-0.489652501711068,-0.489652501711068,-0.436344581246921,-0.49286462501288,-0.453731606908587,-0.301852789868652,0.268960263146913,0.168312808367087,0.324786378203691,0.286275307698915,0.37398261966233,0.400015949116702,0.526107894992724,0.437128513201982,0.517281099710846
"TGFbeta",-0.567807144507836,-0.567807144507836,-0.618971812801323,-0.567609128416578,-0.56106754175703,-0.408701984477906,0.459668100164935,0.408351774827994,0.51217447367732,0.468682668791662,0.473799050303015,0.646737728310818,0.615926872816642,0.601417666363344,0.616365485821021
"FOXC2",-0.781078172750789,-0.781078172750789,-0.706888118376111,-0.7825573672438,-0.724419403392947,-0.249977548614754,0.141071234840803,0.427531252121625,0.421203831818668,0.434132536122037,0.451673893783132,0.627509931254427,0.842318582950596,0.694787287760765,0.639053997610774
"ZEB1",-0.840822123115127,-0.840822123115127,-0.760163388701239,-0.842318582950596,-0.77736163317561,-0.282282287496336,0.167154371909717,0.459716984716543,0.460923889919817,0.477770148882656,0.495380225239907,0.694787287760765,0.797680926491472,0.757237860414165,0.694579015750591
"SNAI2",-0.667849845434765,-0.667849845434765,-0.819709649700852,-0.666961117204521,-0.586196082603349,-0.624264369034859,0.554808053540071,0.453920033473455,0.711094457990722,0.597152320867418,0.492933137156671,0.723476934856769,0.72613881675941,0.790088001773206,0.728227251516533
"GSC",-0.701166406291905,-0.701166406291905,-0.643128887543491,-0.701236436503555,-0.612628785145765,-0.403349796072312,0.326960256105269,0.441498936406232,0.415166466795429,0.568046782591326,0.583300109170558,0.569504950816076,0.753166704141784,0.628116806827686,0.752907206249768
"TWIST1",-0.708734197540187,-0.708734197540187,-0.653038810441427,-0.707847334885397,-0.605270490690658,-0.412165565372126,0.447069644441765,0.367532757352433,0.518623957301415,0.486252633905465,0.5781200500651,0.57552377987609,0.760770331232137,0.635322197157664,0.762725346109101
"TWIST2",-0.711364821286646,-0.711364821286646,-0.657389647077978,-0.710381970386259,-0.613235037652077,-0.439163045343763,0.467251066961983,0.451795380150994,0.533446399045506,0.611266819634066,0.499694055010041,0.578076658067672,0.763549984177058,0.638054474452988,0.765738329030909
"ZEB2",-0.916763365623576,-0.916763365623576,-0.868299168349496,-0.716792383685112,-0.657784521624358,-0.383865818354947,0.39132019782231,0.447360286705316,0.459123838774437,0.475522444346481,0.478230715326226,0.757438187720634,0.782938971319673,0.832160367656698,0.883137315105052
