"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80694502259862,0.80694502259862,0.800333059398585,0.805344204058686,0.736523339622997,0.567630668107185,-0.500405330250946,-0.521708950149567,-0.536953826948853,-0.67268104283901,-0.740495412701295,-0.752123195007526,-0.87614279586895,-0.82980261486249,-0.880316844278328
"miR200b",0.80694502259862,0.80694502259862,0.800333059398585,0.805344204058686,0.736523339622997,0.567630668107185,-0.500405330250946,-0.521708950149567,-0.536953826948853,-0.67268104283901,-0.740495412701295,-0.752123195007526,-0.87614279586895,-0.82980261486249,-0.880316844278328
"miR200a",0.80694502259862,0.80694502259862,0.800333059398585,0.805344204058686,0.736523339622997,0.567630668107185,-0.500405330250946,-0.521708950149567,-0.536953826948853,-0.67268104283901,-0.740495412701295,-0.752123195007526,-0.87614279586895,-0.82980261486249,-0.880316844278328
"miR141",0.80694502259862,0.80694502259862,0.800333059398585,0.805344204058686,0.736523339622997,0.567630668107185,-0.500405330250946,-0.521708950149567,-0.536953826948853,-0.67268104283901,-0.740495412701295,-0.752123195007526,-0.87614279586895,-0.82980261486249,-0.880316844278328
"miR101",0.716756603500336,0.716756603500336,0.706633579680621,0.713822678820376,0.597049571742204,0.509718158139353,-0.388054586179955,-0.47954452401551,-0.39484565717755,-0.5542957096134,-0.617368436133244,-0.583624789864836,-0.773895031543399,-0.649720747742229,-0.780998288851018
"miR34a",0.730487808404011,0.730487808404011,0.722232426069629,0.728544822158682,0.630087687956334,0.578265726976645,-0.474656409608446,-0.530827754221161,-0.530168873787509,-0.785378086088206,-0.749197112957255,-0.595031052159145,-0.790059099819617,-0.662809137128272,-0.694975233483691
"SNAI1",-0.531784293905544,-0.531784293905544,-0.521863011140686,-0.533221906517138,-0.492291425620257,-0.439715986069147,0.209023163458156,0.407957958977968,0.332066479035896,0.477898901490919,0.527555364186746,0.436800523251371,0.575968645053437,0.483759025824621,0.571488144439699
"TGFbeta",-0.586297652276176,-0.586297652276176,-0.676769251020122,-0.584877575740288,-0.579060217836644,-0.524684329584291,0.434442972007138,0.472935144891273,0.490856836020025,0.63671728495595,0.694330114247679,0.662129895639134,0.640994854848534,0.624056329173864,0.644561024937884
"FOXC2",-0.841705068892586,-0.841705068892586,-0.83646278414582,-0.840560234758999,-0.780533102623946,-0.532742508845452,0.490558261208625,0.500840922363067,0.501804099647451,0.71326469202464,0.686427674707063,0.67676104796759,0.916254143354867,0.759930769354414,0.719555206126761
"SNAI2",-0.689859663929432,-0.689859663929432,-0.882416741257434,-0.687728846963469,-0.606862719616768,-0.751598098782532,0.48121291814951,0.508964783701652,0.611525193862169,0.849071672393423,0.816295174496578,0.740279880212047,0.756038450259396,0.815620207967185,0.761504908964162
"GSC",-0.726794557751141,-0.726794557751141,-0.716677455017514,-0.724778297916187,-0.624617994383822,-0.518358383199435,0.397014064628853,0.587314612834562,0.404955437519415,0.569199710349873,0.627847095494722,0.590837938887159,0.786252420798769,0.658545960810427,0.791256499412053
"ZEB1",-0.917765908483723,-0.917765908483723,-0.911504135611831,-0.916254143354867,-0.847964631396901,-0.592826609618835,0.534758819129636,0.55674594351685,0.558029936558852,0.784012295684257,0.754045374140263,0.759930769354414,0.888611508614393,0.839813077581042,0.792815492516511
"TWIST1",-0.743082024853684,-0.743082024853684,-0.734150924930547,-0.740583861978937,-0.637213834414693,-0.568384595896526,0.404887860814117,0.605079355171646,0.515254177218179,0.690211385543869,0.755680688120681,0.603471183195966,0.803883366909699,0.673161605026799,0.810025588896665
"TWIST2",-0.743262831545765,-0.743262831545765,-0.73449791181923,-0.740757774463596,-0.642935430099439,-0.587112552405834,0.486986048249284,0.524551023074544,0.639723394963858,0.694173440210464,0.758648912928338,0.604018330175249,0.803929672254099,0.673552547157628,0.810097113602759
"ZEB2",-0.938870510548679,-0.938870510548679,-0.933441388813556,-0.737627017109526,-0.678688159529871,-0.523112741469,0.47557563237881,0.490122547664955,0.493164965961262,0.61000360811373,0.682364150125817,0.774122694975777,0.813355581187302,0.857780435528645,0.917049056791075
