"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.742201498913686,0.741177501597597,0.741177501597597,0.742336415914569,0.672529988619779,-0.141327862636916,-0.422133727535385,-0.48618733337195,-0.51275371133071,-0.635043025759518,-0.700367127819458,-0.718265404197519,-0.796541651400351,-0.781935865394169,-0.793821017916711
"miR200b",0.742201498913686,0.741177501597597,0.741177501597597,0.742336415914569,0.672529988619779,-0.141327862636916,-0.422133727535385,-0.48618733337195,-0.51275371133071,-0.635043025759518,-0.700367127819458,-0.718265404197519,-0.796541651400351,-0.781935865394169,-0.793821017916711
"miR200a",0.742201498913686,0.741177501597597,0.741177501597597,0.742336415914569,0.672529988619779,-0.141327862636916,-0.422133727535385,-0.48618733337195,-0.51275371133071,-0.635043025759518,-0.700367127819458,-0.718265404197519,-0.796541651400351,-0.781935865394169,-0.793821017916711
"miR141",0.742201498913686,0.741177501597597,0.741177501597597,0.742336415914569,0.672529988619779,-0.141327862636916,-0.422133727535385,-0.48618733337195,-0.51275371133071,-0.635043025759518,-0.700367127819458,-0.718265404197519,-0.796541651400351,-0.781935865394169,-0.793821017916711
"miR101",0.661413711640698,0.665635795211052,0.665635795211052,0.664929437158111,0.547050664823888,-0.0830325150359496,-0.3253332454169,-0.4441470304366,-0.388788395564249,-0.525257340456149,-0.586343541849438,-0.557900392222527,-0.711543048181137,-0.612890803735748,-0.713030448876721
"miR34a",0.609892215837993,0.605986135171988,0.605986135171988,0.609015082437871,0.513626395865061,-0.173938869447117,-0.351709408798253,-0.438438950971746,-0.463346064863739,-0.705169139664097,-0.665152904702035,-0.515403956318409,-0.649581649864018,-0.563439656519238,-0.542662269052479
"SNAI2",-0.464038883303916,-0.231035427988148,-0.231035427988148,-0.230692443526558,-0.194591399727295,0.33270035927067,0.131235007868777,0.198123505971138,0.324862535915271,0.527806209310043,0.485552146244051,0.395956090526396,0.25116655908134,0.420244627568661,0.251916590854484
"SNAI1",-0.455404036747189,-0.458311832192093,-0.458311832192093,-0.462713753423434,-0.42254355057877,0.077003557602871,0.131269955862148,0.353416825499861,0.293580252928693,0.430833399320113,0.478343189392585,0.390501231433439,0.492456918295017,0.425658227979871,0.480847954427333
"TGFbeta",-0.564579162562247,-0.460671781491812,-0.460671781491812,-0.464802219847145,-0.462638192228983,0.15271582247962,0.314500034156714,0.398062948895117,0.419278080382204,0.558910550345746,0.613954755901635,0.580482935526388,0.500892509107882,0.523383174282276,0.49141005797454
"FOXC2",-0.795849857465313,-0.795251795004613,-0.795251795004613,-0.796373788310896,-0.734395176783674,0.121169251778055,0.427565745329555,0.469243842989715,0.493320993115701,0.689178064073524,0.659534139707785,0.657925940279631,0.856771477357361,0.729050089280572,0.654175450866133
"TWIST2",-0.630406134867975,-0.628746478189353,-0.628746478189353,-0.630317654960484,-0.534223082184099,0.17365025913974,0.366647735314959,0.43680370176966,0.579637313051245,0.619580157632629,0.680455214995077,0.531558771638728,0.673351454730051,0.582423196930313,0.669775244858472
"TWIST1",-0.63028860121714,-0.629251167615474,-0.629251167615474,-0.630938212208489,-0.529639077681829,0.198897072989035,0.285761712448203,0.516435227229609,0.457999956516884,0.615707976172189,0.67739224010969,0.531137189360831,0.674268874954838,0.582364330843025,0.670370734564119
"ZEB1",-0.856456197650573,-0.855582622246349,-0.855582622246349,-0.856771477357361,-0.787285179842668,0.136348130041294,0.458508635731333,0.514544992060433,0.54241890816439,0.749069784659817,0.716071765887393,0.729050089280572,0.812759406758393,0.795613529039994,0.710177879380445
"GSC",-0.673997588303079,-0.677073843028583,-0.677073843028583,-0.678038952166712,-0.587613551560811,0.057959905441215,0.408198964782142,0.567955526676062,0.58324465411495,0.552133963782597,0.608270205153578,0.567211467565059,0.725945556399199,0.623881183942003,0.723570580758671
"ZEB2",-0.893541252100502,-0.893239019264409,-0.893239019264409,-0.694072930620961,-0.633190520817783,0.118159221548725,0.414250298496174,0.462892198518737,0.485552116134209,0.586425223494945,0.656101151745208,0.754840211585301,0.755202870749662,0.827613845319507,0.853466590908814
