"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.709819140566511,0.703650384119245,0.703650384119245,0.652750481422431,0.620151858395948,0.534489571398508,-0.462476698461002,-0.507537317629567,-0.524652400671361,-0.610594560615943,-0.690143595306066,-0.698046319692573,-0.684456250166207,-0.743446658327034,-0.819912993943837
"miR200b",0.709819140566511,0.703650384119245,0.703650384119245,0.652750481422431,0.620151858395948,0.534489571398508,-0.462476698461002,-0.507537317629567,-0.524652400671361,-0.610594560615943,-0.690143595306066,-0.698046319692573,-0.684456250166207,-0.743446658327034,-0.819912993943837
"miR200a",0.709819140566511,0.703650384119245,0.703650384119245,0.652750481422431,0.620151858395948,0.534489571398508,-0.462476698461002,-0.507537317629567,-0.524652400671361,-0.610594560615943,-0.690143595306066,-0.698046319692573,-0.684456250166207,-0.743446658327034,-0.819912993943837
"miR141",0.709819140566511,0.703650384119245,0.703650384119245,0.652750481422431,0.620151858395948,0.534489571398508,-0.462476698461002,-0.507537317629567,-0.524652400671361,-0.610594560615943,-0.690143595306066,-0.698046319692573,-0.684456250166207,-0.743446658327034,-0.819912993943837
"miR101",0.614719840100892,0.613028246301114,0.613028246301114,0.565259279859981,0.482322213656398,0.473502471511408,-0.348758772832787,-0.451866023261541,-0.387662009640013,-0.489108824857593,-0.563197312014366,-0.602759322481802,-0.512716483564423,-0.56206816110977,-0.717465498230526
"miR34a",0.29079521638766,0.168502125783447,0.168502125783447,0.121123510933264,0.199376691297546,0.361408887036608,-0.272161867487587,-0.32593872011934,-0.324104181651913,-0.478076634576597,-0.462257047185871,-0.140547129547702,-0.161432354648004,-0.187174238070224,-0.357855308709379
"SNAI1",-0.429752366164432,-0.425798550069574,-0.425798550069574,-0.387736898698283,-0.383515924708104,-0.399506203015848,0.168268621717304,0.374363740016159,0.306584237400146,0.411191560677151,0.470779909027301,0.412480620025368,0.359288324971283,0.391225692885226,0.504965064598355
"TGFbeta",-0.614965823066977,-0.512726762281918,-0.512726762281918,-0.472919724459676,-0.496478855858754,-0.507236405317003,0.40976751985552,0.476244697839027,0.488755259981685,0.598779501212713,0.666869673547846,0.509953193862799,0.615081886454194,0.563786474438966,0.607508152379763
"FOXC2",-0.697638499521221,-0.686578026625821,-0.686578026625821,-0.625427888687889,-0.611046814872826,-0.474679405702393,0.429051394506214,0.454438111994965,0.466114653208373,0.613079376237831,0.601331906360244,0.670193536214079,0.568567213137781,0.62724325232525,0.620903420655242
"ZEB1",-0.748169001052756,-0.73659857310427,-0.73659857310427,-0.670193536214079,-0.653024417069332,-0.519066574342113,0.460142438282009,0.496392303403926,0.510346686185253,0.662467993694586,0.649709962830503,0.611492228398767,0.62724325232525,0.68120703759622,0.672709850294963
"SNAI2",-0.816498972681941,-0.613281374853807,-0.613281374853807,-0.571082829966967,-0.519539749370385,-0.73112690930885,0.456314861341096,0.49596374778543,0.617570765317281,0.806131465423778,0.78270122743369,0.616585665081527,0.694256004270421,0.753567251672202,0.720130826009472
"GSC",-0.637680983915661,-0.634821095462977,-0.634821095462977,-0.588146845022934,-0.532570208033166,-0.533842735013024,0.442970575629553,0.585596137375128,0.591725190183129,0.524722744581061,0.59476450214463,0.627638101453475,0.529962070394916,0.581736686289165,0.741411045375553
"TWIST1",-0.647791483107345,-0.644708536588257,-0.644708536588257,-0.59771876971561,-0.528176668050698,-0.53603292541377,0.368999838454391,0.580711480505048,0.509508532046936,0.630338536163944,0.706421059045301,0.638080673144074,0.537805574804812,0.590861397711453,0.751678989018308
"TWIST2",-0.652542344043781,-0.649359397815816,-0.649359397815816,-0.603195986872151,-0.538439249002435,-0.55710980196935,0.453371116815212,0.502223898906357,0.633604542101261,0.63782265023373,0.712674896056362,0.643786493384961,0.541997061340574,0.595204347978907,0.755317602961166
"ZEB2",-0.865082430549369,-0.859748400319681,-0.859748400319681,-0.615348335282625,-0.586904924961897,-0.502854263569791,0.450000416852936,0.481615783953543,0.497001974809021,0.566017390027342,0.648387065337557,0.666436022100488,0.727445151669943,0.794327477746971,0.874868974723415
