"","miR200b","miR200c","miR200a","miR101","miR34a","miR141","ZEB1","SNAI1","TWIST2","TWIST1","FOXC2","SNAI2","GSC","TGFbeta","ZEB2"
"miR200c",0.63419021277527,0.618461053958737,0.618461053958737,0.504113921073938,0.524705772694627,0.529193311598151,-0.556861965330378,-0.428827237124286,-0.55682128219199,-0.491814305152496,-0.479695916277363,-0.644484624213084,-0.626622872669952,-0.671537286707722,-0.767531188366904
"miR200a",0.63419021277527,0.618461053958737,0.618461053958737,0.504113921073938,0.524705772694627,0.529193311598151,-0.556861965330378,-0.428827237124286,-0.55682128219199,-0.491814305152496,-0.479695916277363,-0.644484624213084,-0.626622872669952,-0.671537286707722,-0.767531188366904
"miR141",0.63419021277527,0.618461053958737,0.618461053958737,0.504113921073938,0.524705772694627,0.529193311598151,-0.556861965330378,-0.428827237124286,-0.55682128219199,-0.491814305152496,-0.479695916277363,-0.644484624213084,-0.626622872669952,-0.671537286707722,-0.767531188366904
"miR101",0.565581707952458,0.556055543027056,0.556055543027056,0.456615982203222,0.418227940302228,0.479750455825394,-0.50314506228959,-0.32883848307417,-0.456051055955967,-0.369138272578743,-0.436385263395537,-0.536455553960063,-0.476683364755946,-0.51474525887794,-0.685659085676875
"miR34a",0.589699938918996,0.577048373266644,0.577048373266644,0.530712966460644,0.460623890986754,0.502568952264073,-0.527209539591798,-0.420321891701839,-0.695439060983087,-0.502212058694476,-0.491708936363044,-0.675514974103824,-0.495191102846222,-0.535237335941109,-0.607190335397362
"miR200b",0.069440643239945,0.0342599300039187,0.0342599300039187,0.123251562617612,-0.0938299541995931,-0.19208095785979,0.190303706674956,-0.0924742200198776,-0.0348489686588058,-0.0999690824780276,-0.136044899633537,-0.158382407058662,-0.111388098923482,-0.114332542704315,-0.267120427869565
"SNAI1",-0.421967277560573,-0.41698425342358,-0.41698425342358,-0.402736989392272,-0.365305680604828,-0.365815510563807,0.382569149164506,0.167474491785693,0.409133589859095,0.309383114836099,0.377961776561546,0.471142370729592,0.36019375943512,0.387373848490365,0.504521884800629
"TGFbeta",-0.56830693541869,-0.45867560479496,-0.45867560479496,-0.491215317245032,-0.435577065139751,-0.392109726927052,0.415227680922703,0.390716502333202,0.567428811356483,0.471147375688564,0.461546301813496,0.641392248953634,0.581498090613708,0.519077944779031,0.577176313854751
"SNAI2",-0.64547249847437,-0.420108791200341,-0.420108791200341,-0.645060269069367,-0.319527999218992,-0.300581556073073,0.323095346485596,0.372170746419803,0.674067480502,0.526065470233311,0.415088369814359,0.664763346679315,0.543636486739673,0.580088538370456,0.587964307390377
"FOXC2",-0.661075627085524,-0.643458427316065,-0.643458427316065,-0.465231061384127,-0.5608129631753,-0.557398354551489,0.58726881727615,0.41561472695309,0.591042269068088,0.455401797390114,0.446039383781753,0.584063560842998,0.54560708761515,0.594226116784353,0.59972096228326
"ZEB1",-0.701031157218011,-0.681963685478226,-0.681963685478226,-0.503631525910654,-0.590873919222781,-0.58726881727615,0.513489286164783,0.441197052020405,0.631396157883617,0.493286378308926,0.482308374296135,0.624540739378048,0.594226116784353,0.636693325179004,0.642676345736785
"ZEB2",-0.630739532039767,-0.613533663962539,-0.613533663962539,-0.372961347046244,-0.293506346787708,-0.269958922915435,0.292217807806268,0.326205565897041,0.360660311911227,0.362466438016951,0.364974076039319,0.472309316490668,0.531838545915042,0.567937394040074,0.688453000028118
"TWIST1",-0.581446852413661,-0.569033847068513,-0.569033847068513,-0.510128518193591,-0.444504467366008,-0.487838184696414,0.512207161291182,0.340285765412547,0.583547158029776,0.48148388937658,0.556838921488383,0.667366292405951,0.486912470573144,0.526572667343543,0.706206970587392
"GSC",-0.588900809703685,-0.578434473547748,-0.578434473547748,-0.517329388762744,-0.468829428240707,-0.503528946137364,0.528422200396138,0.42319581859524,0.492134836059255,0.573576787693447,0.570507679775642,0.568319010569211,0.494937053526004,0.535381890576829,0.709980050323019
"TWIST2",-0.58670055082716,-0.574062016859844,-0.574062016859844,-0.531712001330655,-0.454967711225346,-0.493349804903567,0.517921261116902,0.424983445189148,0.591609475677094,0.606065827345108,0.478827874395771,0.6741498096692,0.491543882363267,0.531488536508264,0.710439225050603
