"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.766324531790056,0.764538079131264,0.764538079131264,0.796296669025354,0.729289268435492,0.565494136711289,-0.496156968829313,-0.534817509030843,-0.557901837446182,-0.669917303970421,-0.736445516087636,-0.731527619286001,-0.863063923172273,-0.802130961498455,-0.783830967320407
"miR200b",0.766324531790056,0.764538079131264,0.764538079131264,0.796296669025354,0.729289268435492,0.565494136711289,-0.496156968829313,-0.534817509030843,-0.557901837446182,-0.669917303970421,-0.736445516087636,-0.731527619286001,-0.863063923172273,-0.802130961498455,-0.783830967320407
"miR200a",0.766324531790056,0.764538079131264,0.764538079131264,0.796296669025354,0.729289268435492,0.565494136711289,-0.496156968829313,-0.534817509030843,-0.557901837446182,-0.669917303970421,-0.736445516087636,-0.731527619286001,-0.863063923172273,-0.802130961498455,-0.783830967320407
"miR141",0.766324531790056,0.764538079131264,0.764538079131264,0.796296669025354,0.729289268435492,0.565494136711289,-0.496156968829313,-0.534817509030843,-0.557901837446182,-0.669917303970421,-0.736445516087636,-0.731527619286001,-0.863063923172273,-0.802130961498455,-0.783830967320407
"miR101",0.676169150681551,0.679006983546667,0.679006983546667,0.705348815009794,0.590409726830339,0.507600785510323,-0.384925358601757,-0.482114558398788,-0.423941036229337,-0.551205987034242,-0.613150872368055,-0.564782365162169,-0.761841823326163,-0.624556463932379,-0.695770460942147
"miR34a",0.611717139509033,0.58961325307598,0.58961325307598,0.678602104610804,0.588338483572153,0.552049376169937,-0.44703861989084,-0.506383535996873,-0.525172666167715,-0.754162238528874,-0.712091329386814,-0.503129403521865,-0.730499548734932,-0.557993282854701,-0.413799144123081
"TWIST2",-0.459957601923691,-0.405122698229022,-0.405122698229022,-0.58408619040841,-0.508272548007856,-0.492588068716683,0.394281966910673,0.429475415917527,0.564606330007032,0.582750404280777,0.631981400211439,0.360931663899313,0.626413739463371,0.406012503933947,0.253053022531699
"SNAI1",-0.485996123581964,-0.488237727179445,-0.488237727179445,-0.519816374330037,-0.481379152221752,-0.434264813816641,0.202251693160824,0.40555783236334,0.343301230317285,0.471035364887433,0.518869574877227,0.411192473872882,0.558999806794887,0.452979843571101,0.481518115609616
"SNAI2",-0.751715823894607,-0.532079255301928,-0.532079255301928,-0.623864476855154,-0.552894884814488,-0.71695459537401,0.444911845878502,0.476687862590812,0.602276754170761,0.807864625170883,0.767430495886439,0.634338384612719,0.680532940936447,0.694761627019076,0.482211828113824
"TGFbeta",-0.637009047323915,-0.535310230303011,-0.535310230303011,-0.574799870397652,-0.571036460701024,-0.524415757264699,0.42882820262848,0.49009787176615,0.507084742243412,0.636656469493781,0.69331299024719,0.634182615212031,0.62668324990686,0.58938523507394,0.530940638688674
"FOXC2",-0.797601729210375,-0.793261648328564,-0.793261648328564,-0.829622186057679,-0.771824845895645,-0.529423582614601,0.485923364660565,0.503399560333863,0.524262362984006,0.708948432263545,0.680276791394702,0.65283132913571,0.900666920735865,0.727852085210321,0.609584784171029
"ZEB1",-0.864212424121251,-0.859413784872936,-0.859413784872936,-0.900666920735865,-0.835537718290837,-0.58745029288988,0.527335760159524,0.557822325815471,0.582405023835908,0.776800010237928,0.744565469856995,0.727852085210321,0.868000110371592,0.799938591064822,0.667230902250133
"TWIST1",-0.687874417781348,-0.687020032519368,-0.687020032519368,-0.724105908504187,-0.623787552670002,-0.561830935173588,0.396910992955187,0.602568834887445,0.536961193337329,0.681928278201015,0.745072228122059,0.572003117951992,0.782361263290371,0.633757208423599,0.692115814427193
"GSC",-0.695225956316687,-0.697398817235146,-0.697398817235146,-0.726070694143457,-0.638543052773129,-0.565058403271674,0.47638865074847,0.613177218463434,0.625031778735795,0.583660594203447,0.640884906026864,0.578957269636018,0.784960440164753,0.641564456436031,0.713159028838636
"ZEB2",-0.908638209413713,-0.907819403322013,-0.907819403322013,-0.732579776219431,-0.674961445232012,-0.523288038059647,0.474057991252614,0.49951851163938,0.519360896511422,0.60930490451681,0.680959920396051,0.761398715548361,0.805182311418082,0.83927206004524,0.841151816021527
