"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI2","SNAI1","TWIST2","FOXC2","TWIST1","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.776452954705874,0.776452954705874,0.727347534764697,0.776305691519315,0.707880676472608,0.417519797551331,-0.442892273516898,-0.465963549126481,-0.508927954054695,-0.508929060624267,-0.508811525084757,-0.727449674830202,-0.837799508166234,-0.796325769291303,-0.838175144127993
"miR200b",0.776452954705874,0.776452954705874,0.727347534764697,0.776305691519315,0.707880676472608,0.417519797551331,-0.442892273516898,-0.465963549126481,-0.508927954054695,-0.508929060624267,-0.508811525084757,-0.727449674830202,-0.837799508166234,-0.796325769291303,-0.838175144127993
"miR200a",0.776452954705874,0.776452954705874,0.727347534764697,0.776305691519315,0.707880676472608,0.417519797551331,-0.442892273516898,-0.465963549126481,-0.508927954054695,-0.508929060624267,-0.508811525084757,-0.727449674830202,-0.837799508166234,-0.796325769291303,-0.838175144127993
"miR141",0.776452954705874,0.776452954705874,0.727347534764697,0.776305691519315,0.707880676472608,0.417519797551331,-0.442892273516898,-0.465963549126481,-0.508927954054695,-0.508929060624267,-0.508811525084757,-0.727449674830202,-0.837799508166234,-0.796325769291303,-0.838175144127993
"miR101",0.693222619588903,0.693222619588903,0.648606352558187,0.691447910013041,0.575134172687648,0.394430377353121,-0.38689525791161,-0.362139191995963,-0.428161677927371,-0.462959174487798,-0.385600164431403,-0.564474916682379,-0.744061309631831,-0.623582219766529,-0.748103308651851
"miR34a",0.664807233755116,0.664807233755116,0.593042657404335,0.665531524273275,0.570216797899312,0.384526941405368,-0.406328089740742,-0.413815192579311,-0.578824659742424,-0.477733395737646,-0.463492736637501,-0.53513667103515,-0.713873767234826,-0.589248200792396,-0.612352140342774
"SNAI2",-0.414569978750756,-0.414569978750756,-0.382789566224541,-0.415616007984713,-0.359987451402561,-0.25701438321596,0.178466014945385,0.272466371159601,0.32997755464913,0.303144974175435,0.352490717443347,0.327495653667565,0.450994821490107,0.367894432183822,0.448960405935372
"SNAI1",-0.493752670586307,-0.493752670586307,-0.446156865274344,-0.496764247188753,-0.457549455249509,-0.320325791850488,0.304829865184482,0.173034316442887,0.344640825200822,0.377954214986546,0.293431085378188,0.403162670622608,0.531434207247614,0.441807333850246,0.523110182281941
"TGFbeta",-0.523306724329083,-0.523306724329083,-0.547944830450639,-0.524720265779405,-0.521002429035071,-0.337330379233651,0.351440347843346,0.37241257036606,0.425016146533613,0.435105906226258,0.419722860715034,0.602620753210085,0.568270024336584,0.55125435971457,0.565157454400188
"FOXC2",-0.821392488719391,-0.821392488719391,-0.777208322165133,-0.821421533300891,-0.761346190243941,-0.414238613622156,0.443624212223308,0.466018730585864,0.586579469042943,0.487906897274313,0.488669683885842,0.660830038785728,0.888863145415242,0.736365545510696,0.688926929879748
"TWIST1",-0.681947128165185,-0.681947128165185,-0.611253366299962,-0.681801079854084,-0.581247754143876,-0.359195141283792,0.395647812033943,0.348006785933937,0.487098127144831,0.557227368725091,0.458000772654145,0.54774689214807,0.732759250164936,0.604754164097594,0.733171098519331
"TWIST2",-0.682624881071907,-0.682624881071907,-0.614680698784274,-0.682436818943792,-0.587402568222964,-0.395569312947597,0.416128000651874,0.430147679769738,0.490673724053251,0.47637237077286,0.579483386395476,0.549434498510709,0.733143949173609,0.606195690766817,0.733670542433686
"ZEB1",-0.888892011230807,-0.888892011230807,-0.838757571159486,-0.888863145415242,-0.821236066466605,-0.454430823322702,0.478524427260845,0.502725492729149,0.635173157145412,0.537699447594356,0.538780204227559,0.736365545510696,0.851583641873765,0.806746248050846,0.751963757410808
"GSC",-0.708345523282709,-0.708345523282709,-0.659995063214666,-0.70807233805728,-0.619324811697643,-0.435414025268996,0.388310989855999,0.449498084838866,0.449048343334998,0.590175796398708,0.580278781192843,0.575111006902201,0.762293769752289,0.636099113032118,0.762889301191576
"ZEB2",-0.919403968215822,-0.919403968215822,-0.877259968176383,-0.719280074019302,-0.660343860346915,-0.402482443501925,0.431067095567015,0.45099256807179,0.478983757208517,0.480981247961279,0.481404966365495,0.759517455251602,0.786644990333858,0.835092124150978,0.887309941563876
