"","miR200c","miR200b","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.734306422296833,0.566887609400332,-0.498141468477725,-0.536193758913515,-0.559556117439991,-0.672323364620834,-0.740631559085751,-0.753116316150255,-0.874766830314492,-0.830836552102511,-0.878860313681087
"miR200b",0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.734306422296833,0.566887609400332,-0.498141468477725,-0.536193758913515,-0.559556117439991,-0.672323364620834,-0.740631559085751,-0.753116316150255,-0.874766830314492,-0.830836552102511,-0.878860313681087
"miR200a",0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.734306422296833,0.566887609400332,-0.498141468477725,-0.536193758913515,-0.559556117439991,-0.672323364620834,-0.740631559085751,-0.753116316150255,-0.874766830314492,-0.830836552102511,-0.878860313681087
"miR141",0.80585615406421,0.80585615406421,0.80585615406421,0.804288430363548,0.734306422296833,0.566887609400332,-0.498141468477725,-0.536193758913515,-0.559556117439991,-0.672323364620834,-0.740631559085751,-0.753116316150255,-0.874766830314492,-0.830836552102511,-0.878860313681087
"miR101",0.716700893176643,0.716700893176643,0.716700893176643,0.713677569722773,0.595922067795385,0.509931413207871,-0.387884273825188,-0.484614693090585,-0.426780879534398,-0.554260903772298,-0.61799767583614,-0.586229690190017,-0.773674265216252,-0.65255904075492,-0.780997378420742
"miR34a",0.72282385885132,0.72282385885132,0.72282385885132,0.721068822474802,0.621795638695291,0.572519080406863,-0.46767227428043,-0.528213606035009,-0.547534944622781,-0.779086742770849,-0.742578017627878,-0.591823623505859,-0.781450937446871,-0.658726617061247,-0.685949483020782
"SNAI1",-0.52661779125927,-0.52661779125927,-0.52661779125927,-0.528061094559883,-0.486434941556567,-0.436341873010333,0.205323656146865,0.407803988203073,0.34600127290037,0.473728632611739,0.523445080165666,0.435847246177578,0.570209492453446,0.482461103460376,0.565775506595646
"TGFbeta",-0.583437494413626,-0.583437494413626,-0.583437494413626,-0.582334220598441,-0.574972749397365,-0.523776515054592,0.428124247586032,0.488624390820729,0.506008101784996,0.637350835348378,0.695866166098375,0.562994007185904,0.637883369578092,0.524645478769955,0.640831965043454
"FOXC2",-0.840714341408661,-0.840714341408661,-0.840714341408661,-0.839606415163914,-0.778681032271921,-0.532323017417886,0.489657534435588,0.50655371640537,0.527667558128179,0.712781648644884,0.686181927566193,0.677370972983327,0.914937179752373,0.760590053697274,0.71815316023329
"SNAI2",-0.672956377654323,-0.672956377654323,-0.672956377654323,-0.670760041685771,-0.583917303600502,-0.732640860087698,0.456154900152885,0.488577174222685,0.614877526125791,0.830987159220107,0.797008337891753,0.530647740630668,0.73646249533612,0.603516452788653,0.742053456964784
"ZEB1",-0.916403205327657,-0.916403205327657,-0.916403205327657,-0.914937179752373,-0.845739439123618,-0.592381278866135,0.533185516664674,0.563114623852354,0.588043956907427,0.783107626016902,0.753571232063442,0.760590053697274,0.886901320829794,0.840544217854233,0.79105706315228
"GSC",-0.735850839813553,-0.735850839813553,-0.735850839813553,-0.734191031958497,-0.643762885501575,-0.5669327377665,0.478946032290443,0.615192316018636,0.627370566221864,0.586302991889239,0.645353730223037,0.600519601984034,0.796601911390081,0.669655269140262,0.800794857904508
"TWIST2",-0.737539388886722,-0.737539388886722,-0.737539388886722,-0.735086794809769,-0.636318755228381,-0.58269467920692,0.481608303883388,0.524149522102967,0.661199154587244,0.689311550239669,0.753676012467069,0.602270419866826,0.797393851594519,0.671223875859545,0.803462167837914
"TWIST1",-0.737746801033917,-0.737746801033917,-0.737746801033917,-0.735327248570441,-0.631180449551531,-0.564156607855403,0.399441781298164,0.605061127735951,0.539593562275945,0.685784568658934,0.751161671236875,0.601988160088648,0.797828435936862,0.671167856985448,0.80380255204635
"ZEB2",-0.938205775306345,-0.938205775306345,-0.938205775306345,-0.737016501366502,-0.677303765644896,-0.523369328319213,0.474493697739204,0.499450625486546,0.519573653708188,0.609847061191458,0.682753509501464,0.774950089203221,0.812449027318059,0.858808018339787,0.916083595900388
