"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","SNAI2","TWIST2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.801937083824272,0.801937083824272,0.79044532984662,0.800606230656779,0.73180054341828,0.525237397752444,-0.49233990717701,-0.532215311279333,-0.539015800328071,-0.58624042367131,-0.647841920323588,-0.74860996320477,-0.869897201401971,-0.82473265427408,-0.873358018451954
"miR200b",0.801937083824272,0.801937083824272,0.79044532984662,0.800606230656779,0.73180054341828,0.525237397752444,-0.49233990717701,-0.532215311279333,-0.539015800328071,-0.58624042367131,-0.647841920323588,-0.74860996320477,-0.869897201401971,-0.82473265427408,-0.873358018451954
"miR200a",0.801937083824272,0.801937083824272,0.79044532984662,0.800606230656779,0.73180054341828,0.525237397752444,-0.49233990717701,-0.532215311279333,-0.539015800328071,-0.58624042367131,-0.647841920323588,-0.74860996320477,-0.869897201401971,-0.82473265427408,-0.873358018451954
"miR141",0.801937083824272,0.801937083824272,0.79044532984662,0.800606230656779,0.73180054341828,0.525237397752444,-0.49233990717701,-0.532215311279333,-0.539015800328071,-0.58624042367131,-0.647841920323588,-0.74860996320477,-0.869897201401971,-0.82473265427408,-0.873358018451954
"miR101",0.713637160620472,0.713637160620472,0.698102869762456,0.710895087852638,0.593977634788885,0.4752709361675,-0.383017085068861,-0.481617840464635,-0.418266423344121,-0.565191893332203,-0.531345391423114,-0.581270334563037,-0.769747229729559,-0.646186831700757,-0.776349801928836
"miR34a",0.728381477067293,0.728381477067293,0.715866375795492,0.726575887475833,0.627974352314788,0.55196468473652,-0.470798097940354,-0.532943539388233,-0.547392428875067,-0.708348477433267,-0.766826507506221,-0.593518481732364,-0.78712078729116,-0.660434086562278,-0.691655782887834
"SNAI1",-0.529433763027499,-0.529433763027499,-0.515384044784312,-0.531023355545717,-0.490024322840938,-0.41792112285728,0.205531373373474,0.409439867925359,0.343060696684876,0.490922102952117,0.460151171295542,0.43495299713219,0.57288060956469,0.481033121499325,0.568003663500242
"TGFbeta",-0.557477404044263,-0.557477404044263,-0.543272337006318,-0.557915173898696,-0.553811524236344,-0.459239759906935,0.403952927082968,0.459588154443952,0.445724525234406,0.524005623999091,0.49282346218835,0.540559323595677,0.610050676037174,0.498418761606503,0.609052999634369
"FOXC2",-0.839631575109098,-0.839631575109098,-0.831155275768857,-0.838597826534784,-0.778318680831791,-0.501450188539929,0.485882058925261,0.504718059560218,0.519526010855717,0.648550872376384,0.696990291999247,0.675699205753058,0.913244815155706,0.757876760191919,0.716205037219016
"SNAI2",-0.687533684156286,-0.687533684156286,-0.875952941031213,-0.685533794407749,-0.604493183714363,-0.72157894044037,0.476769226620662,0.511789154634363,0.63261177584169,0.773483750237386,0.829842714801678,0.738715142164716,0.752841015243907,0.813206968681513,0.757933892629428
"ZEB1",-0.914594818664683,-0.914594818664683,-0.904287716003701,-0.913244815155706,-0.844781322772539,-0.555928428777503,0.528785002478765,0.560617346317974,0.578126024560919,0.70900468112841,0.763504673533392,0.757876760191919,0.88447935990281,0.836787064903792,0.788242392556847
"GSC",-0.734299340814924,-0.734299340814924,-0.719915747066675,-0.73285076842333,-0.643219657088108,-0.53670823251962,0.475615304712717,0.613473472067231,0.620249841481444,0.597383361301942,0.565527350623877,0.59684930791137,0.794403625028484,0.664870166509478,0.798025636929227
"TWIST1",-0.740475289198117,-0.740475289198117,-0.726845340814258,-0.73813650781894,-0.634604825987016,-0.536954452904141,0.400309962862838,0.607322447167704,0.536817014115035,0.709351184630279,0.669671897054142,0.601601121631906,0.800331250457036,0.670261898561701,0.806042454187992
"TWIST2",-0.740816335140866,-0.740816335140866,-0.727442661711627,-0.73846499339829,-0.64048940872822,-0.557529907241927,0.482639142251227,0.526851787099683,0.658584020622335,0.713177443795025,0.673729834098927,0.602268535882839,0.800566822805153,0.670816772099985,0.806314318354022
"ZEB2",-0.935721240530837,-0.935721240530837,-0.926514270465305,-0.734636459391827,-0.675561272312507,-0.483970462287105,0.468914958274085,0.495989496834365,0.505938224562134,0.536717148233867,0.590127701048613,0.772174947789252,0.809267778708108,0.85490391005748,0.912531035792661
