"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","ZEB2","TWIST2","SNAI2","GSC","TGFbeta","ZEB1"
"miR200c",0.670781332223604,0.651983756651225,0.651983756651225,0.757303343227336,0.696753027790062,0.54644568943549,-0.473190041762715,-0.51342491399135,-0.53669489565313,-0.562183986763463,-0.647490365064807,-0.707014446210799,-0.664531649405128,-0.721166502541289,-0.813823633511696
"miR200a",0.670781332223604,0.651983756651225,0.651983756651225,0.757303343227336,0.696753027790062,0.54644568943549,-0.473190041762715,-0.51342491399135,-0.53669489565313,-0.562183986763463,-0.647490365064807,-0.707014446210799,-0.664531649405128,-0.721166502541289,-0.813823633511696
"miR141",0.670781332223604,0.651983756651225,0.651983756651225,0.757303343227336,0.696753027790062,0.54644568943549,-0.473190041762715,-0.51342491399135,-0.53669489565313,-0.562183986763463,-0.647490365064807,-0.707014446210799,-0.664531649405128,-0.721166502541289,-0.813823633511696
"miR101",0.596404829852087,0.584312523327636,0.584312523327636,0.673284802469175,0.563767608777564,0.492110300866929,-0.366067793639854,-0.464675291811101,-0.406637279146426,-0.505810585667446,-0.533011652453105,-0.58909837991164,-0.508796525307434,-0.556895541827781,-0.721220030939188
"miR34a",0.617405399682429,0.602454989784349,0.602454989784349,0.691706457561454,0.599985527770595,0.562645846631936,-0.454608015907005,-0.517189275181506,-0.536200289138051,-0.423686623239294,-0.766584853076867,-0.723698942532814,-0.524609239090396,-0.574394758788001,-0.741361789419548
"miR200b",0.293175156420795,0.24062708384278,0.24062708384278,0.501597298003566,0.471903177353177,0.381688812206827,-0.319943997068569,-0.345051152464344,-0.363657334764259,0.0121934661560628,-0.452456804876576,-0.490846423865817,-0.335032107604042,-0.366274268694382,-0.53271678111968
"SNAI2",-0.704073871009373,-0.474134223282297,-0.474134223282297,-0.609126925058595,-0.540862642922389,-0.71088379038604,0.436444642528265,0.469510748343988,0.595227069333692,0.354467958297531,0.800870811839599,0.756986099640859,0.605724103812461,0.656216375447179,0.65963818346095
"SNAI1",-0.443558815176711,-0.436808837412533,-0.436808837412533,-0.504836987717634,-0.469056438009562,-0.427487864950716,0.193573702191017,0.397741572301353,0.335591229666386,0.372699729866945,0.463149023071163,0.507950632379612,0.383105159319632,0.417353364138766,0.539026232051062
"FOXC2",-0.699630934954926,-0.678822653481705,-0.678822653481705,-0.789085166202405,-0.737973421221442,-0.50958789451276,0.462029988968324,0.481298618895367,0.502245471882168,0.375520396959179,0.685511731242864,0.649608794177008,0.58525351548697,0.646143535966297,0.849685757823597
"ZEB1",-0.750920745635075,-0.727898640725525,-0.727898640725525,-0.849685757823597,-0.79237501488261,-0.560021018098147,0.497590326193623,0.527892279726708,0.552269368172269,0.408151040663552,0.744798671689186,0.705017877491928,0.646143535966297,0.701852794396139,0.805362899377436
"TGFbeta",-0.592264507370264,-0.480617250219237,-0.480617250219237,-0.561071363074745,-0.559917643911737,-0.518993920344233,0.420927371618694,0.483639173714799,0.500764029452005,0.409967163636653,0.63037105795179,0.683703215482052,0.606873395859788,0.553287217889858,0.607354022177563
"ZEB2",-0.710272607611935,-0.686316276380794,-0.686316276380794,-0.63097802195535,-0.587969370389551,-0.465856926336109,0.414235561030907,0.438130849556527,0.45714774433157,0.472320358962321,0.542045692588838,0.600101721167531,0.610778698458175,0.664241934871633,0.684415769241732
"TWIST1",-0.614994088105472,-0.599805823107019,-0.599805823107019,-0.696147518879364,-0.600653950000473,-0.548656926413738,0.380527263873327,0.587636200887642,0.522171005681296,0.513577307845415,0.666481996880814,0.724307031415388,0.521961350942348,0.572366387836798,0.746370888849002
"TWIST2",-0.618692379837658,-0.603399455374478,-0.603399455374478,-0.698312606425431,-0.608082518192208,-0.568522249855487,0.463741333853947,0.508211946405483,0.645034122284253,0.519674780154894,0.671829453293569,0.728874017598254,0.525133179247567,0.575616182184632,0.748657376388228
"GSC",-0.618191459289831,-0.605285420777276,-0.605285420777276,-0.696551197358653,-0.614130635836602,-0.551092573701373,0.459186314880642,0.597310731003248,0.609327251767734,0.523468592153704,0.567315944438242,0.619015322731624,0.525715987329764,0.576253893125265,0.746944522863147
