"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80755367223775,0.80755367223775,0.801207647315956,0.805579620140138,0.736435297427757,0.569266824723506,-0.509258109449002,-0.501579788505666,-0.562344191368432,-0.674068602220191,-0.743199644661579,-0.7525051337785,-0.876504605774081,-0.830290982972166,-0.881619276357232
"miR200b",0.80755367223775,0.80755367223775,0.801207647315956,0.805579620140138,0.736435297427757,0.569266824723506,-0.509258109449002,-0.501579788505666,-0.562344191368432,-0.674068602220191,-0.743199644661579,-0.7525051337785,-0.876504605774081,-0.830290982972166,-0.881619276357232
"miR200a",0.80755367223775,0.80755367223775,0.801207647315956,0.805579620140138,0.736435297427757,0.569266824723506,-0.509258109449002,-0.501579788505666,-0.562344191368432,-0.674068602220191,-0.743199644661579,-0.7525051337785,-0.876504605774081,-0.830290982972166,-0.881619276357232
"miR141",0.80755367223775,0.80755367223775,0.801207647315956,0.805579620140138,0.736435297427757,0.569266824723506,-0.509258109449002,-0.501579788505666,-0.562344191368432,-0.674068602220191,-0.743199644661579,-0.7525051337785,-0.876504605774081,-0.830290982972166,-0.881619276357232
"miR101",0.717524540509041,0.717524540509041,0.707621115132638,0.7142968273694,0.597592347807997,0.511593316158002,-0.45379421176782,-0.390261181764573,-0.428567612484194,-0.555638512800395,-0.619836422424332,-0.583938452209915,-0.774594159516714,-0.650263094766686,-0.782423043122477
"miR34a",0.731011111812645,0.731011111812645,0.722925154185069,0.728846945964466,0.630465955846853,0.579701819808222,-0.509206647142888,-0.476390408617633,-0.555558368296865,-0.786358990193885,-0.751124679908295,-0.595207279748626,-0.790538744244558,-0.663150370963606,-0.6960297051085
"SNAI1",-0.532393690630332,-0.532393690630332,-0.522635435006535,-0.53361283598249,-0.492756707025011,-0.441085400144719,0.391686884368794,0.210507095551227,0.350922668104776,0.478934063774922,0.529422557290052,0.437048251821145,0.576540711457404,0.484196384771493,0.57260799529937
"TGFbeta",-0.591421308129512,-0.591421308129512,-0.68269764035638,-0.588891314246057,-0.582378326151815,-0.53138028981832,0.474637732692441,0.437602804894195,0.51513084401123,0.644177677279454,0.704541848007827,0.665948157492705,0.645653898154873,0.628554543533212,0.652055766505952
"FOXC2",-0.842092170945901,-0.842092170945901,-0.837011581608644,-0.840747609501751,-0.780588028237896,-0.534058085961274,0.478105059133104,0.492327284991519,0.529670312244129,0.714162017366229,0.688244742928051,0.676938237604085,0.916541238834941,0.760199920368866,0.72039081495758
"SNAI2",-0.6903762708661,-0.6903762708661,-0.883113312296441,-0.688015762932651,-0.607233896436588,-0.753212606234952,0.484322809029897,0.483017571652675,0.641887932436667,0.850062134454904,0.818348652525965,0.740465908156301,0.75649442085053,0.815965873794402,0.762566056533595
"ZEB1",-0.918311722330952,-0.918311722330952,-0.912252211129897,-0.916541238834941,-0.848212474223364,-0.594670313856681,0.530412199427327,0.536635259326991,0.590598855805246,0.785104571744366,0.756313436652268,0.760199920368866,0.88903308828121,0.840222332363147,0.793918974050723
"GSC",-0.730529531290968,-0.730529531290968,-0.721115508856003,-0.728098281470427,-0.63194013905046,-0.563056348533158,0.481709968717128,0.475879032662382,0.62348769279545,0.579101453757632,0.640475171463644,0.593947508363094,0.789956312906924,0.662035846445786,0.795996450705752
"TWIST1",-0.743713056459429,-0.743713056459429,-0.734975939330721,-0.740960624974781,-0.637641521250595,-0.570051940081897,0.580305174309341,0.406906146156265,0.546229189193313,0.691366530547839,0.757877795350201,0.603716352613754,0.804452700946906,0.673595595258045,0.811239985161305
"TWIST2",-0.743859015089172,-0.743859015089172,-0.735281780993578,-0.74110936258358,-0.643344203351524,-0.588706111924739,0.501159762148123,0.488887521695671,0.667798061235627,0.695280273581308,0.760776499071383,0.604238063902657,0.804470512204994,0.673955656468906,0.81126567442753
"ZEB2",-0.93922596479244,-0.93922596479244,-0.933991594501844,-0.73773770903693,-0.678599794267955,-0.524806678537372,0.470069751563304,0.477012416345057,0.521222828575944,0.610929204146123,0.684463877607262,0.774327471587383,0.813529526544011,0.858068307575561,0.91788754870282
