"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","TWIST1","FOXC2","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.807382710136681,0.807382710136681,0.800798935908706,0.805724054335657,0.736597089889064,0.566919052743387,-0.498539728434263,-0.496711657062437,-0.528697305717836,-0.673144395610419,-0.741058502353254,-0.752410230905421,-0.876683250900196,-0.830148593407436,-0.880969843623373
"miR200b",0.807382710136681,0.807382710136681,0.800798935908706,0.805724054335657,0.736597089889064,0.566919052743387,-0.498539728434263,-0.496711657062437,-0.528697305717836,-0.673144395610419,-0.741058502353254,-0.752410230905421,-0.876683250900196,-0.830148593407436,-0.880969843623373
"miR200a",0.807382710136681,0.807382710136681,0.800798935908706,0.805724054335657,0.736597089889064,0.566919052743387,-0.498539728434263,-0.496711657062437,-0.528697305717836,-0.673144395610419,-0.741058502353254,-0.752410230905421,-0.876683250900196,-0.830148593407436,-0.880969843623373
"miR141",0.807382710136681,0.807382710136681,0.800798935908706,0.805724054335657,0.736597089889064,0.566919052743387,-0.498539728434263,-0.496711657062437,-0.528697305717836,-0.673144395610419,-0.741058502353254,-0.752410230905421,-0.876683250900196,-0.830148593407436,-0.880969843623373
"miR101",0.717019337348806,0.717019337348806,0.706904288085507,0.714038694410842,0.597314827923721,0.509554029990195,-0.388210344180876,-0.403094136432846,-0.477043998382439,-0.554377007202949,-0.617610655792551,-0.583490668003729,-0.774376128149876,-0.649846304547174,-0.781571089628894
"miR34a",0.724370530820984,0.724370530820984,0.715707718512627,0.72232725215255,0.62473086129554,0.571238945177755,-0.469643034886044,-0.475763713608086,-0.499218347340987,-0.777849007121738,-0.740155696673996,-0.590151252774731,-0.783276821384145,-0.657247799734186,-0.688342734898082
"SNAI1",-0.529716893974704,-0.529716893974704,-0.519679086688994,-0.531113698320209,-0.490498372642216,-0.437403369026371,0.207362228400612,0.310962570449332,0.396395215498108,0.475415826877265,0.524609827128104,0.435037665555253,0.573717640592764,0.481751542167407,0.569321454874084
"TGFbeta",-0.591643995917285,-0.591643995917285,-0.682360700382262,-0.589989229802411,-0.582935849807573,-0.527722496476167,0.433170800130849,0.435122368830585,0.481247759835707,0.642778002729983,0.701078684492522,0.666192074005752,0.646773439221663,0.628774764665564,0.651007365492751
"FOXC2",-0.841529180679157,-0.841529180679157,-0.836248144954671,-0.840340471274515,-0.780204730279471,-0.531541716960924,0.489228399770642,0.488621323682342,0.497749251391075,0.712933236668364,0.685875945672269,0.676641636109852,0.916080149719464,0.759758706052598,0.719456329117291
"SNAI2",-0.687608543145402,-0.687608543145402,-0.879987995097242,-0.685227963354034,-0.601934519270712,-0.745270152769947,0.470494887957058,0.484810286327929,0.49626562671101,0.844832728676249,0.812189695045401,0.73843960293669,0.753360264078601,0.813489165903632,0.75938700102944
"ZEB1",-0.917626532322119,-0.917626532322119,-0.911321409874741,-0.916080149719464,-0.847888227796881,-0.591892223771389,0.533027937576941,0.544722047771826,0.5535555331949,0.783525696779054,0.753597050024164,0.759758706052598,0.888484263958564,0.839619625492236,0.792809016192013
"TWIST2",-0.734611376132972,-0.734611376132972,-0.725617792225499,-0.731269457539911,-0.610910145385999,-0.559566495924701,0.395554701325106,0.408434078918788,0.491398601115077,0.678025247468013,0.745983955435337,0.597135709338959,0.79357485785714,0.665629076244893,0.801563971616621
"GSC",-0.736858656741696,-0.736858656741696,-0.727288335795938,-0.735193571107952,-0.645749889033668,-0.566984100765776,0.479553937298123,0.587671118945104,0.60743946794911,0.586934398861909,0.645577631314012,0.598440981339284,0.798009818891871,0.667593365484864,0.802189981969235
"TWIST1",-0.741985028949551,-0.741985028949551,-0.732967681193316,-0.739385773477563,-0.63594124200055,-0.56616332877014,0.402450744608498,0.414479945761388,0.597364431343357,0.688741760727134,0.753845232661013,0.602403293484414,0.802726739809623,0.672091532724607,0.809091962888214
"ZEB2",-0.93910784046866,-0.93910784046866,-0.933695414394368,-0.737865569184982,-0.678888677610028,-0.523189080975399,0.474747767842635,0.479027794691009,0.492909657004528,0.610197006503245,0.682815861695128,0.774299232354409,0.813660911920305,0.857976853637664,0.917408674309549
