"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.767824318558586,0.767824318558586,0.767330046911442,0.744944150339261,0.692268289074476,0.558439719591423,-0.488592280213855,-0.529487854664956,-0.550432816742683,-0.65195619330758,-0.725664417100977,-0.803917417519356,-0.728426139028219,-0.79763669363481,-0.860338553855363
"miR200b",0.767824318558586,0.767824318558586,0.767330046911442,0.744944150339261,0.692268289074476,0.558439719591423,-0.488592280213855,-0.529487854664956,-0.550432816742683,-0.65195619330758,-0.725664417100977,-0.803917417519356,-0.728426139028219,-0.79763669363481,-0.860338553855363
"miR200a",0.767824318558586,0.767824318558586,0.767330046911442,0.744944150339261,0.692268289074476,0.558439719591423,-0.488592280213855,-0.529487854664956,-0.550432816742683,-0.65195619330758,-0.725664417100977,-0.803917417519356,-0.728426139028219,-0.79763669363481,-0.860338553855363
"miR141",0.767824318558586,0.767824318558586,0.767330046911442,0.744944150339261,0.692268289074476,0.558439719591423,-0.488592280213855,-0.529487854664956,-0.550432816742683,-0.65195619330758,-0.725664417100977,-0.803917417519356,-0.728426139028219,-0.79763669363481,-0.860338553855363
"miR101",0.671638690648991,0.671638690648991,0.666819684974072,0.648712861020328,0.546950577526165,0.495017899574352,-0.372180378126025,-0.471644736860959,-0.410792510208251,-0.526594872402171,-0.59515001955623,-0.698131328885179,-0.553234676975318,-0.611768430208133,-0.754035752972054
"FOXC2",0.818485005283347,0.818485005283347,0.817296993407353,0.802493463105351,0.753027108921756,0.529830412715293,-0.485814831863985,-0.505202247859296,-0.524817432843252,-0.702936121105859,-0.679925590832982,-0.867517330855589,-0.665894084026747,-0.742453557099199,-0.709666471451741
"miR34a",0.68192046350681,0.68192046350681,0.680266931521202,0.657894447968824,0.577135690973156,0.563066730398521,-0.458014736471971,-0.521450119292501,-0.537574722171042,-0.756736776627732,-0.726126145729726,-0.70828865773277,-0.562289502612207,-0.622021811779344,-0.666902857818744
"SNAI1",-0.448925252993646,-0.448925252993646,-0.449677573552873,-0.422656376059507,-0.4096829219119,-0.406093599105133,0.176253594014403,0.380378178614533,0.313838989844116,0.424308426022364,0.481421716022942,0.453924229006867,0.373379604986208,0.409983055381326,0.5176388569903
"TGFbeta",-0.510622611229625,-0.510622611229625,-0.612236262785676,-0.476305322952811,-0.498608085623377,-0.500801701991777,0.4057814907629,0.469926320346623,0.482328539069388,0.593226445895411,0.660481003559365,0.519634190352226,0.607014823753725,0.558669982816769,0.6013233503982
"GSC",-0.578076822799171,-0.578076822799171,-0.584424163026226,-0.525252387270525,-0.480888974557051,-0.498122227602162,0.412790526144593,0.551980889246638,0.555084277863142,0.476906985157199,0.550854545396515,0.567764953541327,0.474772603774065,0.525012689586603,0.693408894969673
"TWIST1",-0.589323519699527,-0.589323519699527,-0.600198145187485,-0.535527920276533,-0.474256329020191,-0.506253067504775,0.344667099604601,0.552405309421633,0.478896267580042,0.589411275565574,0.67072396734658,0.58003001137207,0.482861117896004,0.53535550352321,0.711563999379013
"SNAI2",-0.650613778587721,-0.650613778587721,-0.848636759572421,-0.628243532581622,-0.562348960732007,-0.741318651856205,0.469008090558383,0.505246761589549,0.628852441622628,0.827072376862275,0.79950371205045,0.685356773052255,0.71600293396166,0.783631903997672,0.740299304048312
"TWIST2",-0.68386288825718,-0.68386288825718,-0.682159531055681,-0.65594163320161,-0.577801866370621,-0.566393108533072,0.465025480108462,0.510651718543938,0.643883565648278,0.656957790721608,0.728074418160565,0.706787287077194,0.562568860748838,0.622821708683554,0.773736190626525
"ZEB1",-0.886815647317391,-0.886815647317391,-0.885504728580989,-0.867517330855589,-0.812354428720906,-0.587214843966552,0.526801580367754,0.559467690907032,0.582264114245964,0.768725108297197,0.743335795145589,0.829277392612142,0.742453557099199,0.81581461666795,0.778112370372237
"ZEB2",-0.910523309259594,-0.910523309259594,-0.909825731115715,-0.692025758944998,-0.645642905495247,-0.518947969528628,0.468686995426736,0.496325303095839,0.514593039132956,0.596812424381752,0.673559647036986,0.757180961477211,0.758927914819757,0.836466352938192,0.904379448191225
