"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","TWIST2","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80415865111692,0.80415865111692,0.79825974248387,0.802201858667815,0.733135612311707,0.563525670079678,-0.472037448669661,-0.46294755129378,-0.528864357587719,-0.673139759842007,-0.742053926143938,-0.871989714404887,-0.82797868381213,-0.876966647977924
"miR200b",0.80415865111692,0.80415865111692,0.79825974248387,0.802201858667815,0.733135612311707,0.563525670079678,-0.472037448669661,-0.46294755129378,-0.528864357587719,-0.673139759842007,-0.742053926143938,-0.871989714404887,-0.82797868381213,-0.876966647977924
"miR200a",0.80415865111692,0.80415865111692,0.79825974248387,0.802201858667815,0.733135612311707,0.563525670079678,-0.472037448669661,-0.46294755129378,-0.528864357587719,-0.673139759842007,-0.742053926143938,-0.871989714404887,-0.82797868381213,-0.876966647977924
"miR141",0.80415865111692,0.80415865111692,0.79825974248387,0.802201858667815,0.733135612311707,0.563525670079678,-0.472037448669661,-0.46294755129378,-0.528864357587719,-0.673139759842007,-0.742053926143938,-0.871989714404887,-0.82797868381213,-0.876966647977924
"miR101",0.710871799640617,0.710871799640617,0.701407723437515,0.707731484716124,0.591120722484602,0.506361308022103,-0.43721017037465,-0.379028350857496,-0.39054774228985,-0.551274650979664,-0.614494371415995,-0.766254796505914,-0.645395942083197,-0.773876584949586
"miR34a",0.726208546546397,0.726208546546397,0.718451151115146,0.72411879576306,0.625628021307525,0.575769346534631,-0.495936600252673,-0.466820267598385,-0.526704350685018,-0.783237339858089,-0.747220085740775,-0.784271046924241,-0.659833153463225,-0.689602999340533
"SNAI1",-0.527037948062955,-0.527037948062955,-0.517634734446199,-0.528333880229982,-0.487342714638891,-0.436655944287854,0.379488071818978,0.201291564896451,0.327907262343347,0.475274992746861,0.525011476499546,0.569913114541681,0.480278224629152,0.565796252162901
"TGFbeta",-0.557432734323969,-0.557432734323969,-0.649484506984452,-0.554959489223711,-0.508450079043897,-0.498529837547576,0.409074559790206,0.327009053135632,0.447721978404609,0.607467186426916,0.671550242933657,0.606945649846483,0.599492902747447,0.612944814575652
"FOXC2",-0.839202523956418,-0.839202523956418,-0.834365732918394,-0.837864686034173,-0.777604399503979,-0.531658990660669,0.461432468228962,0.48090321316005,0.499153971479968,0.712825300491376,0.686420520076259,0.912517402534866,0.758282734896224,0.716276415773258
"SNAI2",-0.685807351936461,-0.685807351936461,-0.878835125011791,-0.683502925511858,-0.602726914824391,-0.749526467841139,0.469390687837356,0.472515988337584,0.60863988881726,0.8471395804648,0.814730004685746,0.750428344898368,0.812864658662646,0.756407907803061
"ZEB1",-0.914243969183906,-0.914243969183906,-0.90850592094648,-0.912517402534866,-0.844387340080023,-0.591813691730173,0.511383648772189,0.523028252376166,0.555682627404912,0.782816288317304,0.753688009320208,0.8836410055192,0.837408572100203,0.788470473400159
"TWIST1",-0.738183665113414,-0.738183665113414,-0.729818535821722,-0.735503645855142,-0.632202447361156,-0.565674945552287,0.565038064804731,0.396497158153405,0.511583343184283,0.687804863426652,0.753468770674469,0.797374365351212,0.669648096407476,0.803992296461749
"TWIST2",-0.738549925691099,-0.738549925691099,-0.730330696784775,-0.73586324832631,-0.638020359492891,-0.584394080471467,0.486259065494118,0.478386850289773,0.635884731323804,0.691836629483512,0.756509156156124,0.797621138416798,0.670213769830921,0.804271174842079
"ZEB2",-0.937304523158157,-0.937304523158157,-0.932408363051951,-0.735835018418776,-0.677214557233733,-0.52347623471619,0.445008341472596,0.457134106111258,0.490537191574975,0.610674222785309,0.684452245979702,0.810722706789547,0.856921389125337,0.915100374684655
