"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.80089660988144,0.80089660988144,0.795620338142879,0.794960268916846,0.729013941583868,0.568111629116561,-0.262537242119055,-0.499870713356482,-0.561008241252565,-0.671038628061176,-0.740848263980449,-0.748885708683125,-0.863513105113528,-0.825413773472833,-0.878636713245051
"miR200b",0.80089660988144,0.80089660988144,0.795620338142879,0.794960268916846,0.729013941583868,0.568111629116561,-0.262537242119055,-0.499870713356482,-0.561008241252565,-0.671038628061176,-0.740848263980449,-0.748885708683125,-0.863513105113528,-0.825413773472833,-0.878636713245051
"miR200a",0.80089660988144,0.80089660988144,0.795620338142879,0.794960268916846,0.729013941583868,0.568111629116561,-0.262537242119055,-0.499870713356482,-0.561008241252565,-0.671038628061176,-0.740848263980449,-0.748885708683125,-0.863513105113528,-0.825413773472833,-0.878636713245051
"miR141",0.80089660988144,0.80089660988144,0.795620338142879,0.794960268916846,0.729013941583868,0.568111629116561,-0.262537242119055,-0.499870713356482,-0.561008241252565,-0.671038628061176,-0.740848263980449,-0.748885708683125,-0.863513105113528,-0.825413773472833,-0.878636713245051
"miR101",0.708677085759209,0.708677085759209,0.70003752166508,0.700997473882817,0.587861288066287,0.508992480442112,-0.238814134303971,-0.387361172552705,-0.425743647276578,-0.550591976944552,-0.615832397796811,-0.578484897280258,-0.758703669731792,-0.642856191638006,-0.777561163710695
"miR34a",0.717458219767129,0.717458219767129,0.711194089364361,0.708935551572591,0.615598235999817,0.575304130463862,-0.23111650670029,-0.471522578309944,-0.550772968731427,-0.778251273917265,-0.744456411848713,-0.586324495417594,-0.767370130681125,-0.651647247318187,-0.688142211429745
"SNAI1",-0.516803335313912,-0.516803335313912,-0.508854584561773,-0.512030537993271,-0.476141944519196,-0.435093085766095,0.173037809931278,0.204236127263338,0.344534803682263,0.46899139809494,0.520783936509757,0.425486295204389,0.552478051873745,0.470889799524322,0.56278056996133
"TGFbeta",-0.578783798904002,-0.578783798904002,-0.671894665468885,-0.56991262261102,-0.568548786941459,-0.52783855591,0.204493581905763,0.433676621774949,0.511166355932415,0.637064782968783,0.698934658842384,0.657668540635761,0.623573171889516,0.617693061510769,0.645084285462182
"FOXC2",-0.837432871541285,-0.837432871541285,-0.833205943873233,-0.832951676275273,-0.775265460945087,-0.533548179288016,0.291814092687618,0.491358627071369,0.52905909136798,0.712346674414823,0.686971199140263,0.675043486384662,0.906405612051268,0.757021678668937,0.718635006717872
"TWIST1",-0.620781950863589,-0.620781950863589,-0.628184614320803,-0.580315688952775,-0.508910747092941,-0.517665423833595,0.0956997513435647,0.357229976158067,0.491146941711604,0.609318997332684,0.687778939322228,0.504085260244875,0.632131558462191,0.561653969473834,0.731098090884036
"SNAI2",-0.677110696308584,-0.677110696308584,-0.871575628469167,-0.668330602494427,-0.592525015832525,-0.749040508273405,0.196998105126653,0.478251001010063,0.637328830473429,0.842210509775153,0.811849270721796,0.731885698220799,0.733461875164458,0.804970286825416,0.754937721656832
"GSC",-0.709187246651452,-0.709187246651452,-0.702678830772415,-0.697153178147871,-0.615821330267691,-0.557593645299374,0.266062642197506,0.470266462684367,0.617519406913704,0.56919710549135,0.631532936426024,0.577978157929053,0.755413013742232,0.643263200677578,0.784504755312417
"ZEB1",-0.912005012831604,-0.912005012831604,-0.906993632547256,-0.906405612051268,-0.84114648846857,-0.593542017201439,0.319220586093957,0.53500155392358,0.58930761278503,0.782131436068065,0.754101175588533,0.757021678668937,0.876222096840208,0.835399054060837,0.79103642236402
"TWIST2",-0.717041945321397,-0.717041945321397,-0.711347022120566,-0.703927803595747,-0.614561417218935,-0.577872643481012,0.155392129821995,0.477774374527503,0.656252708399176,0.677420737025715,0.74535343279501,0.58460200393715,0.762799913288885,0.65048677364067,0.79371986570098
"ZEB2",-0.934815186036338,-0.934815186036338,-0.930381193486859,-0.730290664291671,-0.673636973982113,-0.52436720377975,0.275257727839415,0.476205227840739,0.520685866324067,0.60915102386899,0.683303765041145,0.772596742377554,0.80352326652826,0.854816258285607,0.916151846909247
