"","miR200c","miR200a","miR200b","miR34a","miR141","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.815970463612442,0.815970463612442,0.810973332336585,0.816006454916327,0.816006454916327,0.579871323713508,-0.51150255730183,-0.548960467883037,-0.574420149465917,-0.707356332692512,-0.761528753666452,-0.756165543903936,-0.890618083855519,-0.836359491981038,-0.890638637385197
"miR200b",0.815970463612442,0.815970463612442,0.810973332336585,0.816006454916327,0.816006454916327,0.579871323713508,-0.51150255730183,-0.548960467883037,-0.574420149465917,-0.707356332692512,-0.761528753666452,-0.756165543903936,-0.890618083855519,-0.836359491981038,-0.890638637385197
"miR200a",0.815970463612442,0.815970463612442,0.810973332336585,0.816006454916327,0.816006454916327,0.579871323713508,-0.51150255730183,-0.548960467883037,-0.574420149465917,-0.707356332692512,-0.761528753666452,-0.756165543903936,-0.890618083855519,-0.836359491981038,-0.890638637385197
"miR141",0.815970463612442,0.815970463612442,0.810973332336585,0.816006454916327,0.816006454916327,0.579871323713508,-0.51150255730183,-0.548960467883037,-0.574420149465917,-0.707356332692512,-0.761528753666452,-0.756165543903936,-0.890618083855519,-0.836359491981038,-0.890638637385197
"miR101",0.732326893507636,0.732326893507636,0.72418774348217,0.731876713431179,0.731876713431179,0.528619388265402,-0.41262885253794,-0.500468567447471,-0.453264288558162,-0.608480919696273,-0.640926161943838,-0.59213408470697,-0.796774525188095,-0.66218946362087,-0.797865009146255
"miR34a",0.744151653344396,0.744151653344396,0.73787003587902,0.744430866230348,0.744430866230348,0.595447968883225,-0.491373116741939,-0.550254249372387,-0.573595341552464,-0.832911985511017,-0.776143068861316,-0.602129127604543,-0.810537132313649,-0.673530607383294,-0.710011264205008
"SNAI1",-0.533140252848909,-0.533140252848909,-0.523328395356994,-0.535625085384682,-0.535625085384682,-0.444325606274822,0.222267683933928,0.413676840220495,0.367379894321718,0.516561092996977,0.531074719473424,0.433906791128857,0.581057628737802,0.482691173476973,0.57541959036358
"TGFbeta",-0.607148163410029,-0.607148163410029,-0.699885753833936,-0.607711355623298,-0.607711355623298,-0.547484647792342,0.453356441270291,0.512273274328476,0.533519580458347,0.693626532078355,0.73018232293335,0.674591580201617,0.669223138350059,0.641142776846077,0.668088481567356
"FOXC2",-0.84649372612637,-0.84649372612637,-0.842400509025616,-0.846606807913757,-0.846606807913757,-0.539661039319544,0.497497989760945,0.514042807457685,0.53608345976981,0.738566517031839,0.700229148462646,0.678147280862777,0.925376932595999,0.762949042977314,0.725254239411203
"SNAI2",-0.699498824071818,-0.699498824071818,-0.893727516407908,-0.699220451949689,-0.699220451949689,-0.764018004796208,0.492852408704533,0.525699098619397,0.653992288984565,0.88725874442036,0.837516779204434,0.744496519721474,0.771577307350732,0.822649451132065,0.772340431500338
"ZEB1",-0.925321395307084,-0.925321395307084,-0.92052616238125,-0.925376932595999,-0.925376932595999,-0.603190434446048,0.544447353050402,0.573973227270105,0.600008980658985,0.816292368256408,0.772588214984834,0.762949042977314,0.901415331518786,0.845167145117884,0.801478592711749
"GSC",-0.751534929391758,-0.751534929391758,-0.743925678251342,-0.75218482067015,-0.75218482067015,-0.583955405730341,0.496204689748985,0.629722996742297,0.647641086715639,0.636148263829871,0.671818431973782,0.606577780924216,0.81951782747552,0.679311185912912,0.818083673162936
"TWIST2",-0.75730207471061,-0.75730207471061,-0.750525199129408,-0.757049562096974,-0.757049562096974,-0.604239911953199,0.503759713558857,0.544629607721338,0.68576427769108,0.742245530587646,0.785485292087063,0.61148237658098,0.824825968709307,0.684617080624221,0.825474280659323
"TWIST1",-0.757741058499337,-0.757741058499337,-0.750820939601011,-0.757608562388415,-0.757608562388415,-0.587410050661438,0.426479568604734,0.626925084219655,0.568058274235712,0.741226493049425,0.782026100544842,0.611458629322334,0.825595473910174,0.684863657888404,0.825974374830496
"ZEB2",-0.944170188534243,-0.944170188534243,-0.939953167898013,-0.744185354008592,-0.744185354008592,-0.531144961382256,0.483543234599335,0.507367036934907,0.528497257969556,0.636586593701677,0.697365003835347,0.775812284016882,0.823158550164,0.861296418789535,0.923339821458441
