"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.747891311659771,0.748295927733476,0.748295927733476,0.721189537789109,0.67048097857895,0.546545126854188,-0.477242068031681,-0.51858126493477,-0.537941620076279,-0.635434593811828,-0.709787870011904,-0.780187797563991,-0.710876954701975,-0.779910723231664,-0.843719423567578
"miR200b",0.747891311659771,0.748295927733476,0.748295927733476,0.721189537789109,0.67048097857895,0.546545126854188,-0.477242068031681,-0.51858126493477,-0.537941620076279,-0.635434593811828,-0.709787870011904,-0.780187797563991,-0.710876954701975,-0.779910723231664,-0.843719423567578
"miR200a",0.747891311659771,0.748295927733476,0.748295927733476,0.721189537789109,0.67048097857895,0.546545126854188,-0.477242068031681,-0.51858126493477,-0.537941620076279,-0.635434593811828,-0.709787870011904,-0.780187797563991,-0.710876954701975,-0.779910723231664,-0.843719423567578
"miR141",0.747891311659771,0.748295927733476,0.748295927733476,0.721189537789109,0.67048097857895,0.546545126854188,-0.477242068031681,-0.51858126493477,-0.537941620076279,-0.635434593811828,-0.709787870011904,-0.780187797563991,-0.710876954701975,-0.779910723231664,-0.843719423567578
"miR101",0.690498501045541,0.697379855690473,0.697379855690473,0.682670405415565,0.574330305939278,0.507083405492769,-0.384007083127808,-0.482845434898243,-0.423485031212336,-0.545341599790876,-0.611698577763004,-0.735718206641028,-0.572965628827234,-0.634949477944918,-0.772514770568351
"miR34a",0.709869864584031,0.715450444819191,0.715450444819191,0.703836318526678,0.612280959268407,0.576777624175256,-0.471984853230242,-0.534266375127678,-0.552227950652689,-0.778953703858274,-0.745490818906729,-0.758693992523932,-0.587672953342041,-0.651732486035877,-0.688939102855535
"GSC",-0.304216324174851,-0.300631811974669,-0.300631811974669,-0.170967837557973,-0.232366845137538,-0.334498347482559,0.264012111157406,0.394092033767835,0.384349008652256,0.263263497415925,0.342616109303021,0.195787389348697,0.22677673559838,0.256001583375773,0.466414266530088
"TGFbeta",-0.559783061606948,-0.445557432845257,-0.445557432845257,-0.379503799595067,-0.442526195202241,-0.472126358507598,0.380863492981163,0.441799130166558,0.451590324653137,0.555930756692156,0.624967265167515,0.420794444038745,0.548952380127059,0.496953606170809,0.56036142768943
"SNAI1",-0.512036065521527,-0.519827158940337,-0.519827158940337,-0.513672466007245,-0.478179444296053,-0.438487541972757,0.206772582759587,0.410981194632761,0.347984080792679,0.472714304608568,0.524604092200396,0.551634787786914,0.43051665958747,0.474767917502721,0.56664581588626
"FOXC2",-0.812570488527871,-0.813547649955392,-0.813547649955392,-0.796550671943834,-0.747850969550038,-0.527129772001815,0.483051557722999,0.502759320401702,0.52188835694594,0.69917996943753,0.676086719981878,0.863037574048681,0.660545420003499,0.738328117739703,0.705853004225148
"SNAI2",-0.865617256553777,-0.669839342162209,-0.669839342162209,-0.655754674163735,-0.583466043111006,-0.748396203595459,0.476665477456469,0.511780336609771,0.636519747831788,0.839323119910969,0.809995680744653,0.716038286096336,0.729793640682927,0.80003494359892,0.752239155893285
"ZEB1",-0.881257058996927,-0.882667739781123,-0.882667739781123,-0.863037574048681,-0.808051221730504,-0.583890884495446,0.524107679632061,0.556262829308928,0.57877347553128,0.764324562069247,0.739341709230001,0.825212687962453,0.738328117739703,0.810790847280941,0.773714875069649
"TWIST1",-0.718528787941032,-0.724288869260173,-0.724288869260173,-0.71025411845796,-0.615140747151946,-0.565905056526974,0.401031609311992,0.608279605624474,0.541543655426722,0.681637238340732,0.750266685684369,0.766322703280211,0.593464786565792,0.658977833298761,0.801890915335069
"TWIST2",-0.719824438348072,-0.725551393707039,-0.725551393707039,-0.712000170456911,-0.622062625740346,-0.584946780926953,0.48346213326353,0.527936935975467,0.663540612536009,0.686244002067398,0.753774826691055,0.768061789292609,0.594814295366569,0.66027010639839,0.802599821075503
"ZEB2",-0.891904153321429,-0.89163298570181,-0.89163298570181,-0.666403683776956,-0.624132012151548,-0.509194194379885,0.45935976276229,0.487190096559146,0.504184029438459,0.581550599548152,0.660349034662841,0.729922503670352,0.743899796345197,0.817914105981367,0.889654116356519
