"","miR200c","miR200a","miR200b","miR141","miR101","miR34a","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.76357160077786,0.76357160077786,0.749153876169921,0.752682932636645,0.499419979844566,0.401305433959726,-0.434240445479734,-0.48815708663155,-0.491332752956062,-0.50039618440021,-0.642762742609286,-0.72716223877085,-0.809907643833328,-0.794038739362127,-0.836785140355027
"miR200b",0.76357160077786,0.76357160077786,0.749153876169921,0.752682932636645,0.499419979844566,0.401305433959726,-0.434240445479734,-0.48815708663155,-0.491332752956062,-0.50039618440021,-0.642762742609286,-0.72716223877085,-0.809907643833328,-0.794038739362127,-0.836785140355027
"miR200a",0.76357160077786,0.76357160077786,0.749153876169921,0.752682932636645,0.499419979844566,0.401305433959726,-0.434240445479734,-0.48815708663155,-0.491332752956062,-0.50039618440021,-0.642762742609286,-0.72716223877085,-0.809907643833328,-0.794038739362127,-0.836785140355027
"miR141",0.76357160077786,0.76357160077786,0.749153876169921,0.752682932636645,0.499419979844566,0.401305433959726,-0.434240445479734,-0.48815708663155,-0.491332752956062,-0.50039618440021,-0.642762742609286,-0.72716223877085,-0.809907643833328,-0.794038739362127,-0.836785140355027
"miR101",0.632260974331889,0.632260974331889,0.611596239613335,0.618955947203683,0.389124513581122,0.323067159457552,-0.281289043975191,-0.386261753281141,-0.303680117317716,-0.338501198804488,-0.455336688130056,-0.524160399537447,-0.662764701384883,-0.575702474521173,-0.69452382004395
"miR34a",0.651110403790807,0.651110403790807,0.633003017694252,0.637857285136417,0.473026952809203,0.285105633785777,-0.379235234588232,-0.451288337040453,-0.445045766582502,-0.581809509716499,-0.606063859387603,-0.540258013577475,-0.683251565674109,-0.593717911524895,-0.615119734458369
"SNAI1",-0.365701250310802,-0.365701250310802,-0.342627109871603,-0.352000774650594,-0.261511998813997,-0.123871152124078,0.0618599203430958,0.258255802002844,0.17177667825915,0.177923769049988,0.288826352683294,0.305870562115921,0.373981385267765,0.331455111070533,0.407455571304606
"TGFbeta",-0.498288835072709,-0.498288835072709,-0.5783061713616,-0.484193101404055,-0.411728038164951,-0.147309725118819,0.333138186593303,0.402024407720562,0.389879583390082,0.405600998792718,0.541313894855617,0.599884206446082,0.523788782730908,0.54663035086113,0.557480563770583
"FOXC2",-0.813595709411755,-0.813595709411755,-0.801969560587164,-0.80520720914572,-0.481916748706032,-0.527518817696134,0.438725676859421,0.471548954054505,0.475529778795578,0.585857130103455,0.61076967757244,0.663957938917936,0.868776585807652,0.738497154061568,0.690590441663924
"SNAI2",-0.637462852882184,-0.637462852882184,-0.821439651484721,-0.625703996699592,-0.670834970175345,-0.293991324725461,0.40486244648841,0.453570758569005,0.556198008485257,0.676870428495782,0.703661062884531,0.708358100952342,0.679683037282088,0.771900061656149,0.708194885726355
"GSC",-0.661129216668875,-0.661129216668875,-0.641303746637238,-0.649226832857135,-0.456572155992283,-0.314547153630385,0.377762551089624,0.52765346504592,0.513191038665962,0.379058886274796,0.497885654434233,0.54636623386266,0.69622149188495,0.601708379807071,0.725361056044189
"TWIST1",-0.670185042962972,-0.670185042962972,-0.651571916217176,-0.65769504278672,-0.464245098510341,-0.339420858360747,0.311328465541066,0.527845037284337,0.437778155325303,0.493124935894028,0.613700704604235,0.55368399493943,0.705559480680016,0.610021552419913,0.735718796836432
"TWIST2",-0.670151896247719,-0.670151896247719,-0.651628609908338,-0.656941970422942,-0.483799488389686,-0.302947783399431,0.39213824672675,0.448427235384724,0.559467176076267,0.494461965905387,0.618809260927991,0.554185317622568,0.704530779471394,0.610137260669533,0.736126439352406
"ZEB1",-0.878767402730967,-0.878767402730967,-0.865088171503501,-0.868776585807652,-0.528617069845544,-0.560601462755859,0.472336503813929,0.517994546712791,0.522345598139625,0.633547609437932,0.661854296729643,0.738497154061568,0.828171151030492,0.808559218173156,0.753166443796278
"ZEB2",-0.909679996730171,-0.909679996730171,-0.89775945207226,-0.700821758517236,-0.471227002746977,-0.404340423250922,0.423673294873865,0.463464834802053,0.465885448190018,0.473564435563306,0.605360014871313,0.760066597670318,0.764728771372395,0.835549928466482,0.887366562487143
