"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB2","ZEB1","TGFbeta"
"miR200c",0.732929713023158,0.726023369035176,0.726023369035176,0.781423083186471,0.716848651378817,0.558177708918387,-0.487287290002974,-0.526708470211872,-0.549855943372297,-0.661205826321702,-0.725100492484103,-0.707180776356201,-0.711773912943592,-0.845077370804954,-0.774379792087773
"miR200b",0.732929713023158,0.726023369035176,0.726023369035176,0.781423083186471,0.716848651378817,0.558177708918387,-0.487287290002974,-0.526708470211872,-0.549855943372297,-0.661205826321702,-0.725100492484103,-0.707180776356201,-0.711773912943592,-0.845077370804954,-0.774379792087773
"miR200a",0.732929713023158,0.726023369035176,0.726023369035176,0.781423083186471,0.716848651378817,0.558177708918387,-0.487287290002974,-0.526708470211872,-0.549855943372297,-0.661205826321702,-0.725100492484103,-0.707180776356201,-0.711773912943592,-0.845077370804954,-0.774379792087773
"miR141",0.732929713023158,0.726023369035176,0.726023369035176,0.781423083186471,0.716848651378817,0.558177708918387,-0.487287290002974,-0.526708470211872,-0.549855943372297,-0.661205826321702,-0.725100492484103,-0.707180776356201,-0.711773912943592,-0.845077370804954,-0.774379792087773
"miR101",0.584834049777179,0.571183264501753,0.571183264501753,0.661942385090523,0.553918550394977,0.482676067777468,-0.360103512542596,-0.455287979897972,-0.39698011594571,-0.522073061116061,-0.579469594825617,-0.486658921066134,-0.511929320630704,-0.711892773290075,-0.538299519950703
"miR34a",0.613207669149046,0.591070513261962,0.591070513261962,0.68170302365014,0.591041859481013,0.554168194027246,-0.448969193818438,-0.5086121098369,-0.527410161992071,-0.756711457162695,-0.714764293535726,-0.507247277646254,-0.410239036871363,-0.733262169269481,-0.560855218574677
"SNAI1",-0.32887391018156,-0.289793328596237,-0.289793328596237,-0.433660006420519,-0.407553117569642,-0.38162113254071,0.151197663638655,0.349386941687498,0.287098952763377,0.408776020735619,0.449056444331867,0.263009773343212,0.157430265727015,0.463319702966785,0.294938418125392
"TGFbeta",-0.558339585056602,-0.434718784884001,-0.434718784884001,-0.53622533342876,-0.538061787864868,-0.501511501033007,0.406319295183563,0.465144257486269,0.482200509034715,0.61002568055858,0.662595808447453,0.563548601589953,0.357324473983336,0.582071230469634,0.510949711482191
"TWIST1",-0.628911013773286,-0.61270214346462,-0.61270214346462,-0.696557005312458,-0.600695937524667,-0.546075343618901,0.38131672996641,0.585573840866724,0.51989214842014,0.663572205332059,0.723861478583507,0.521033362688201,0.542954456179836,0.750406669414843,0.576872310394328
"GSC",-0.625703899270379,-0.615685840952823,-0.615685840952823,-0.6905807571662,-0.608302181981167,-0.54441320174051,0.455447627457561,0.59104413597124,0.602714348715736,0.559576233806685,0.612659599444525,0.521870700626024,0.562824433780861,0.743762984061704,0.57744378325214
"SNAI2",-0.801980207033818,-0.590641568706615,-0.590641568706615,-0.657420622483013,-0.582142783395032,-0.738302339861067,0.46501901297361,0.499220644220907,0.625198354502589,0.832693382469511,0.795355453165142,0.681756063907161,0.562979418402838,0.717487204972622,0.74509957627169
"TWIST2",-0.632852735441608,-0.616382554253269,-0.616382554253269,-0.697215779034435,-0.606737853003548,-0.565066420043482,0.463286616212989,0.505231564188575,0.641791226029913,0.667856442348605,0.726933099312542,0.523991635805303,0.568799478787306,0.750990658320973,0.580070342364749
"FOXC2",-0.782778171594645,-0.775204129826388,-0.775204129826388,-0.82531774409655,-0.768420196967608,-0.528055736441186,0.483407787957322,0.501737268233163,0.522652050101908,0.70732365612099,0.677385607120582,0.644002495794779,0.569799794069024,0.894741393993497,0.716848015250139
"ZEB1",-0.846394070033587,-0.837956547654944,-0.837956547654944,-0.894741393993497,-0.830615509992207,-0.58473863783595,0.523938318134753,0.55464233494096,0.579271322459875,0.773693654800509,0.740238546236396,0.716848015250139,0.620628894778328,0.859654949857613,0.78491123106689
"ZEB2",-0.880854489942188,-0.875107489260243,-0.875107489260243,-0.722344607933508,-0.666377077991868,-0.518359138802417,0.468171261112098,0.493798558860139,0.513706586737169,0.603654740347687,0.673341575291512,0.7433057914272,0.774639332979122,0.791265282194821,0.815333497318508
