"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","TWIST1","FOXC2","SNAI1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.783520450726127,0.783520450726127,0.774892738103453,0.781966664498941,0.712813742107933,0.538517813200238,-0.216665771880193,-0.454336414381487,-0.470000491463523,-0.646350665815211,-0.697753321878176,-0.74127152583849,-0.844928564676666,-0.812976197530023,-0.84900171139401
"miR200b",0.783520450726127,0.783520450726127,0.774892738103453,0.781966664498941,0.712813742107933,0.538517813200238,-0.216665771880193,-0.454336414381487,-0.470000491463523,-0.646350665815211,-0.697753321878176,-0.74127152583849,-0.844928564676666,-0.812976197530023,-0.84900171139401
"miR200a",0.783520450726127,0.783520450726127,0.774892738103453,0.781966664498941,0.712813742107933,0.538517813200238,-0.216665771880193,-0.454336414381487,-0.470000491463523,-0.646350665815211,-0.697753321878176,-0.74127152583849,-0.844928564676666,-0.812976197530023,-0.84900171139401
"miR141",0.783520450726127,0.783520450726127,0.774892738103453,0.781966664498941,0.712813742107933,0.538517813200238,-0.216665771880193,-0.454336414381487,-0.470000491463523,-0.646350665815211,-0.697753321878176,-0.74127152583849,-0.844928564676666,-0.812976197530023,-0.84900171139401
"miR101",0.695299817172444,0.695299817172444,0.683393485225459,0.692399931048992,0.57561665123811,0.483646703474649,-0.133280770745425,-0.410373256877292,-0.362047967586909,-0.530205857938943,-0.578959006245324,-0.57301324565483,-0.745762792780393,-0.634064636425252,-0.752780916530273
"miR34a",0.63092960070981,0.63092960070981,0.618918705521839,0.629632835488532,0.537135888764583,0.480154689091842,-0.0505124436412513,-0.334407998866566,-0.386278493589286,-0.683251686843621,-0.616984554450491,-0.525329444672605,-0.67550365924775,-0.577895017398719,-0.578768607003711
"TWIST2",-0.428559488672341,-0.428559488672341,-0.419997587313094,-0.423072344388408,-0.347231855046646,-0.315227199221773,-0.00416920818071777,0.151950464909602,0.23891122602692,0.400235895179279,0.411346225174745,0.356831324061064,0.45388572005574,0.391731469499558,0.466361993659173
"SNAI1",-0.50232985581362,-0.50232985581362,-0.490569944292897,-0.503861958610884,-0.463829942171562,-0.407241023559355,0.083908600690712,0.328124229863284,0.178006282686541,0.445988486857158,0.481918042376743,0.41901465278398,0.53986772101675,0.459932088341844,0.535164571786261
"TGFbeta",-0.554574828243403,-0.554574828243403,-0.642991379769218,-0.553217095336503,-0.547159758165451,-0.487735304144304,0.158159822378802,0.390043732452091,0.395724137715543,0.603306034643461,0.643567962350102,0.644610941922,0.601120668815759,0.599413484349566,0.604642080119402
"SNAI2",-0.558917600503831,-0.558917600503831,-0.747537770964575,-0.555314227090298,-0.482828600775961,-0.626321313688138,0.0172624892931616,0.278827900190936,0.368421332842804,0.717641432113374,0.647871687849123,0.645861189953023,0.604512591331348,0.70226414272745,0.613071667600093
"FOXC2",-0.815009598056545,-0.815009598056545,-0.807501896705218,-0.813917870250369,-0.753801146051211,-0.499957547345991,0.146002124929342,0.41676738229383,0.457574222072823,0.683156348245449,0.638111425956287,0.664097459418546,0.880955813031843,0.74063479267808,0.684134240393617
"ZEB1",-0.882409571432939,-0.882409571432939,-0.873560870023297,-0.880955813031843,-0.813385122892389,-0.55190038214282,0.164799544130011,0.458184826575468,0.494246885423676,0.744616799849833,0.694998286030984,0.74063479267808,0.843656258661514,0.812378346328346,0.747779973464355
"TWIST1",-0.70567270049859,-0.70567270049859,-0.69426665001002,-0.703233040873439,-0.60061228886091,-0.526154914873829,0.130183702294547,0.498765205463967,0.364437730980891,0.649665339690935,0.695977672893609,0.581616062280791,0.757486663667288,0.643636167082417,0.763468937056768
"GSC",-0.713893215515242,-0.713893215515242,-0.702441292791996,-0.712333075890008,-0.622890847830206,-0.539920820007654,0.311898610761678,0.536113962452086,0.452293584333596,0.561443250059962,0.604936884325028,0.587377855866641,0.767759788612528,0.650805309568884,0.771709745621323
"ZEB2",-0.92410885096001,-0.92410885096001,-0.917070332493245,-0.722989448815266,-0.66352649060906,-0.503857470263752,0.238145730429247,0.434916817257068,0.453799113755629,0.5927120986859,0.651481564773306,0.769281737232976,0.791892206478344,0.848197858408193,0.895409223098094
