"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.767441726493643,0.767441726493643,0.758986620862302,0.765270417938554,0.676739419937796,0.478575126016224,-0.359670864827738,-0.440334861417946,-0.468474653891398,-0.62424328619861,-0.683734641837295,-0.727626556199161,-0.827633421493056,-0.797367469036458,-0.832932577882863
"miR200b",0.767441726493643,0.767441726493643,0.758986620862302,0.765270417938554,0.676739419937796,0.478575126016224,-0.359670864827738,-0.440334861417946,-0.468474653891398,-0.62424328619861,-0.683734641837295,-0.727626556199161,-0.827633421493056,-0.797367469036458,-0.832932577882863
"miR200a",0.767441726493643,0.767441726493643,0.758986620862302,0.765270417938554,0.676739419937796,0.478575126016224,-0.359670864827738,-0.440334861417946,-0.468474653891398,-0.62424328619861,-0.683734641837295,-0.727626556199161,-0.827633421493056,-0.797367469036458,-0.832932577882863
"miR141",0.767441726493643,0.767441726493643,0.758986620862302,0.765270417938554,0.676739419937796,0.478575126016224,-0.359670864827738,-0.440334861417946,-0.468474653891398,-0.62424328619861,-0.683734641837295,-0.727626556199161,-0.827633421493056,-0.797367469036458,-0.832932577882863
"miR101",0.707504120883883,0.707504120883883,0.696564319508532,0.704355821387613,0.576814571827178,0.480832562419867,-0.335262365407904,-0.450938352889273,-0.396642403787657,-0.540377224561875,-0.59963705208171,-0.580245535310694,-0.76050717318131,-0.643420468015351,-0.768128175154695
"miR34a",0.723904211131161,0.723904211131161,0.715000784725132,0.721830212295818,0.61428676673972,0.555658756066696,-0.430494571320484,-0.508204937728707,-0.530378050011308,-0.77497649348619,-0.73551270987938,-0.592990833457098,-0.780044449142517,-0.658655783067879,-0.685362561212353
"GSC",-0.393046938696349,-0.393046938696349,-0.373255704914198,-0.394852852708633,-0.263788770875154,-0.082566215881571,0.0783704043975542,0.258829045672441,0.227564063973326,0.215591717809907,0.218832052305387,0.32823651191518,0.421620115055025,0.358165527279411,0.417507430284444
"TGFbeta",-0.498172115051223,-0.498172115051223,-0.587071925512869,-0.49661855410029,-0.452479643388237,-0.398840508529382,0.26101892179191,0.372234648936071,0.377760885644413,0.537648994767252,0.588780916918274,0.597548396302528,0.540640216494512,0.547458056236708,0.544635101975344
"SNAI1",-0.526437832354108,-0.526437832354108,-0.516013971587334,-0.527752089748992,-0.479762554295984,-0.421914295076535,0.174998417673656,0.390743039979894,0.330969655192429,0.469538766707757,0.516830581699483,0.4350085960118,0.568023392720464,0.480300285642772,0.563887396497144
"FOXC2",-0.827015124471257,-0.827015124471257,-0.820607960558082,-0.825555349469252,-0.751201801100122,-0.490712166852565,0.417099548629475,0.459026864232949,0.484564252582409,0.692529509091169,0.659952768152935,0.670830124870152,0.895685954652878,0.749409855871425,0.699622650658436
"SNAI2",-0.679894176912672,-0.679894176912672,-0.871621949735728,-0.677622376635724,-0.586183370644078,-0.722388705219867,0.425234380151466,0.479327750851449,0.609802607164128,0.8342427054363,0.797650636832624,0.736144598451886,0.741884191845871,0.808905853124404,0.74790876289545
"ZEB1",-0.897490703100604,-0.897490703100604,-0.889903454524204,-0.895685954652878,-0.812410775143441,-0.543821058032486,0.449253534072818,0.508069819426903,0.538701297806138,0.756348339145308,0.720985163908234,0.749409855871425,0.862039661299227,0.824689144373569,0.767164668398437
"TWIST1",-0.734260211068295,-0.734260211068295,-0.724527917283861,-0.731567221724797,-0.617557341094539,-0.540369544247111,0.352810252939117,0.577105219544662,0.515351151122792,0.67681348681947,0.738429022959639,0.600364601771043,0.790964446907136,0.667257180104911,0.797605429959217
"TWIST2",-0.73512640436486,-0.73512640436486,-0.725601732890293,-0.732444707552101,-0.624366727185163,-0.560632377405705,0.436955542256001,0.498198089573961,0.638529984237181,0.681643649825543,0.74243191606262,0.601258394534076,0.791880146738021,0.668208204105853,0.798527825938659
"ZEB2",-0.909930605723442,-0.909930605723442,-0.902613148665131,-0.708133768774114,-0.62999003612896,-0.452027869488299,0.356232930396636,0.422685554790781,0.448876843319368,0.570790756313741,0.636081819293529,0.75846108530849,0.776045141334844,0.835717897608688,0.881287960626628
