"","miR200b","miR200c","miR200a","miR101","miR34a","miR141","ZEB1","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","TGFbeta","ZEB2"
"miR200c",0.506672155550398,0.452834695799869,0.452834695799869,0.450445118008839,0.378958101686794,0.27109125796207,-0.284889947239321,-0.381766066811077,-0.428214483727041,-0.436338142622121,-0.461896859928856,-0.57509725394301,-0.484159065176782,-0.509939969891475,-0.682529787018234
"miR200b",0.506672155550398,0.452834695799869,0.452834695799869,0.450445118008839,0.378958101686794,0.27109125796207,-0.284889947239321,-0.381766066811077,-0.428214483727041,-0.436338142622121,-0.461896859928856,-0.57509725394301,-0.484159065176782,-0.509939969891475,-0.682529787018234
"miR200a",0.506672155550398,0.452834695799869,0.452834695799869,0.450445118008839,0.378958101686794,0.27109125796207,-0.284889947239321,-0.381766066811077,-0.428214483727041,-0.436338142622121,-0.461896859928856,-0.57509725394301,-0.484159065176782,-0.509939969891475,-0.682529787018234
"miR141",0.506672155550398,0.452834695799869,0.452834695799869,0.450445118008839,0.378958101686794,0.27109125796207,-0.284889947239321,-0.381766066811077,-0.428214483727041,-0.436338142622121,-0.461896859928856,-0.57509725394301,-0.484159065176782,-0.509939969891475,-0.682529787018234
"miR101",0.467310033190944,0.445573558617115,0.445573558617115,0.408097469686204,0.300649211443082,0.321762964055106,-0.334417553402378,-0.28503042349037,-0.390496193751711,-0.318645397632521,-0.379013103896946,-0.473842777678887,-0.381528721045309,-0.404958056536785,-0.612076745976012
"miR34a",0.511053659372678,0.481051356329678,0.481051356329678,0.490494724373874,0.370220119069881,0.377733854268561,-0.394335487726613,-0.383113889186749,-0.45326451775282,-0.459612638562552,-0.635885848674396,-0.622796140973482,-0.416895206027125,-0.44645222987782,-0.545797360667598
"FOXC2",-0.287913805479705,-0.256337700999809,-0.256337700999809,-0.322342460695125,-0.21846510087093,-0.184335468030753,0.188272845888742,0.288601722928896,0.312213987845076,0.310097165793362,0.340845091466798,0.400806132971116,0.210860269271738,0.220856394804477,0.368015217699383
"ZEB1",-0.303257754994411,-0.268404560977005,-0.268404560977005,-0.347413857948257,-0.227739820898387,-0.188272845888742,0.110368859282696,0.299773192822014,0.3377511205666,0.335352557393816,0.368987175185272,0.422376176463671,0.220856394804477,0.256943156593459,0.39690298776054
"SNAI1",-0.373753739478994,-0.361986536226682,-0.361986536226682,-0.376823808957798,-0.313702817720138,-0.296492208102072,0.308644268842282,0.143541066363666,0.353372746688845,0.282125839423464,0.371133574231942,0.437080236025764,0.315140741727278,0.336287595650506,0.465810674242463
"TGFbeta",-0.536210990086104,-0.422237522859462,-0.422237522859462,-0.475928409889521,-0.398443682680522,-0.342870015186199,0.361855045417539,0.375297889895178,0.447217966633202,0.454867420176693,0.54311468943242,0.620000365927331,0.553418707568553,0.486633200696255,0.55292195057383
"GSC",-0.500105210615324,-0.480888569512868,-0.480888569512868,-0.468625903755365,-0.371372397887103,-0.380259991642581,0.397135400077091,0.378140989245048,0.524878619781603,0.522772230917175,0.419472262011175,0.504325994611881,0.413844349473867,0.443599215865008,0.638028819880232
"SNAI2",-0.697677896685305,-0.474539937564391,-0.474539937564391,-0.683277707990392,-0.370941998572768,-0.365832552783787,0.391906563842911,0.404630521395356,0.451796285098351,0.566184061320347,0.722860665693173,0.712034405921746,0.592089968086754,0.636302034087934,0.639066896534455
"TWIST1",-0.506431311561595,-0.480740182170703,-0.480740182170703,-0.472605012951952,-0.352714020793168,-0.373302652358533,0.388799057437315,0.306064782422593,0.521236418409905,0.442168989553998,0.52435366816674,0.618605264851552,0.413902675901838,0.441951815031343,0.649027502370348
"TWIST2",-0.5244721941412,-0.499382480889274,-0.499382480889274,-0.49964452990261,-0.378901177080272,-0.385462398711308,0.402181982876516,0.395646322722048,0.448323355093356,0.572363749767216,0.542034226822387,0.632254322610031,0.430330723967931,0.460247478822012,0.661727124931387
"ZEB2",-0.71153591273284,-0.685744512873849,-0.685744512873849,-0.440149955881662,-0.391751825451333,-0.351821660633509,0.381839427926759,0.383841581405673,0.424428875483096,0.430562682236355,0.452992632529307,0.556639176254257,0.594017101820554,0.644549907422624,0.771065944126777
