"","miR200c","miR200a","miR141","miR200b","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.750106020658757,0.750106020658757,0.751596220552039,0.472852585640964,0.692264774794567,0.542182876333228,-0.470316616228196,-0.509070610797489,-0.532132173694363,-0.642737408508344,-0.702626648011698,-0.645214360807162,-0.80828868204493,-0.701877881955794,-0.80462384146825
"miR200b",0.750106020658757,0.750106020658757,0.751596220552039,0.472852585640964,0.692264774794567,0.542182876333228,-0.470316616228196,-0.509070610797489,-0.532132173694363,-0.642737408508344,-0.702626648011698,-0.645214360807162,-0.80828868204493,-0.701877881955794,-0.80462384146825
"miR200a",0.750106020658757,0.750106020658757,0.751596220552039,0.472852585640964,0.692264774794567,0.542182876333228,-0.470316616228196,-0.509070610797489,-0.532132173694363,-0.642737408508344,-0.702626648011698,-0.645214360807162,-0.80828868204493,-0.701877881955794,-0.80462384146825
"miR141",0.750106020658757,0.750106020658757,0.751596220552039,0.472852585640964,0.692264774794567,0.542182876333228,-0.470316616228196,-0.509070610797489,-0.532132173694363,-0.642737408508344,-0.702626648011698,-0.645214360807162,-0.80828868204493,-0.701877881955794,-0.80462384146825
"miR101",0.672591809699008,0.672591809699008,0.672136023990198,0.453518751632908,0.562743579277266,0.490545479965285,-0.365674552051933,-0.463233639371927,-0.40511289709665,-0.531241870161717,-0.588040150688789,-0.505159009807506,-0.720794800505233,-0.554025105270129,-0.721549243993366
"miR34a",0.623266000056565,0.623266000056565,0.626798051503255,0.267197648916103,0.544721001597436,0.522183288781969,-0.416393606803353,-0.474293198096094,-0.492713401164748,-0.719122827100962,-0.6711657193357,-0.409989705355549,-0.67030172937891,-0.454003975728144,-0.562171658385214
"SNAI2",-0.298004955943571,-0.298004955943571,-0.300680774387591,0.0562428088988072,-0.285011288899253,-0.521547582735979,0.263385263249046,0.273344437553893,0.390032552678195,0.576999894935159,0.514368236567112,-0.00552284486682779,0.327124539312551,0.0212445856548689,0.321187716614038
"SNAI1",-0.468471863816031,-0.468471863816031,-0.473189075825097,-0.245363476585231,-0.441715970794222,-0.407154184789929,0.174801830622931,0.376288001234827,0.313990841476517,0.439228364823009,0.481845235183516,0.330300308371687,0.504804404319328,0.362310633387647,0.492436135501489
"TGFbeta",-0.479113316276737,-0.479113316276737,-0.483716985951829,-0.149222680293939,-0.494610439457463,-0.470400066974878,0.374716453936342,0.431316669499591,0.44802448441559,0.573794206069466,0.620712282180589,0.3242130760566,0.522703961531433,0.263877204597608,0.51211486804689
"FOXC2",-0.801509460776104,-0.801509460776104,-0.802836699741355,-0.572273455491327,-0.749728646611072,-0.517029566841573,0.470382878075513,0.489224391179608,0.510226703969818,0.694475782054682,0.660586769090793,0.603341634805623,0.865588058654652,0.666163353962096,0.662305899641431
"TWIST2",-0.6447778895081,-0.6447778895081,-0.646863462947493,-0.332769088785781,-0.563494659486178,-0.535113331392194,0.432904534795973,0.473363761206382,0.609524852789464,0.632703051622395,0.685990515475327,0.446520655316687,0.692746892001398,0.492813671439421,0.687912897379741
"TWIST1",-0.645390040097538,-0.645390040097538,-0.647553534987481,-0.346025286448113,-0.558185248201723,-0.516237080788448,0.350776698248828,0.554150382726092,0.48786163939508,0.628708918924766,0.682992419988984,0.452689925017457,0.693709315771182,0.499239759259784,0.688636738085283
"ZEB1",-0.864084773748166,-0.864084773748166,-0.865588058654652,-0.609498056000609,-0.806299887592636,-0.569745032493865,0.506922673717923,0.538116193446902,0.562732827394157,0.756102614221591,0.718050296245345,0.666163353962096,0.824080837849912,0.72592277555017,0.720674056487916
"GSC",-0.685281969459375,-0.685281969459375,-0.686534404720704,-0.454966991489226,-0.605300771699471,-0.543994721030401,0.453191852293976,0.590079678195343,0.601908026577483,0.559063429118485,0.610413852804774,0.511815537890129,0.736664366739366,0.562449351815737,0.733487657479397
"ZEB2",-0.89927827904007,-0.89927827904007,-0.700353834870887,-0.673976057724546,-0.64847059329404,-0.508113338436444,0.45536146115253,0.482290021076974,0.502277292090691,0.591577069879532,0.657199748907731,0.701602056146408,0.763786057872813,0.766596728090387,0.861381177464022
