"","miR200b","miR200c","miR200a","GSC","miR141","miR34a","miR101","FOXC2","TWIST1","SNAI1","TWIST2","SNAI2","ZEB1","ZEB2","TGFbeta"
"miR101",0.650630678071445,0.655566581556659,0.655566581556659,0.555596484227285,0.652406761983158,0.535739575275395,0.462164331983067,-0.26412438523806,-0.242129567782953,-0.313340610147867,-0.515183846503863,-0.568384369262129,-0.693832785844559,-0.701725084836762,-0.606974939161397
"miR200c",0.617131166580833,0.613360656915438,0.613360656915438,0.625119578788324,0.609494316755764,0.549579762333142,0.407681925989629,-0.072677270174296,-0.169032838432205,-0.292416059261943,-0.529306664997576,-0.578473951523877,-0.647188703604105,-0.656419113265466,-0.671620289516133
"miR200b",0.617131166580833,0.613360656915438,0.613360656915438,0.625119578788324,0.609494316755764,0.549579762333142,0.407681925989629,-0.072677270174296,-0.169032838432205,-0.292416059261943,-0.529306664997576,-0.578473951523877,-0.647188703604105,-0.656419113265466,-0.671620289516133
"miR200a",0.617131166580833,0.613360656915438,0.613360656915438,0.625119578788324,0.609494316755764,0.549579762333142,0.407681925989629,-0.072677270174296,-0.169032838432205,-0.292416059261943,-0.529306664997576,-0.578473951523877,-0.647188703604105,-0.656419113265466,-0.671620289516133
"miR141",0.617131166580833,0.613360656915438,0.613360656915438,0.625119578788324,0.609494316755764,0.549579762333142,0.407681925989629,-0.072677270174296,-0.169032838432205,-0.292416059261943,-0.529306664997576,-0.578473951523877,-0.647188703604105,-0.656419113265466,-0.671620289516133
"miR34a",0.680254544739006,0.684228582737165,0.684228582737165,0.576455620359523,0.682304314929268,0.583231987045146,0.542322243977668,-0.349583224121218,-0.39989987480563,-0.413977449408325,-0.75713367703145,-0.712392429553909,-0.727225826845207,-0.632434955994041,-0.632257509727731
"TGFbeta",-0.271334220791034,-0.134845126794287,-0.134845126794287,-0.316542168955603,-0.130746124000364,-0.181301411966517,-0.236223353798833,0.0407471748881532,0.08857799911846,0.124869854256996,0.321664379013019,0.362338775454584,0.143916445516229,0.153396791595331,0.232871135852421
"SNAI1",-0.487540208375494,-0.494058309498732,-0.494058309498732,-0.42040652406865,-0.495445385866417,-0.454311329895853,-0.410603936935196,0.267961361710278,0.230693233712649,0.161463734698569,0.454355642865335,0.497668760102536,0.525847950507998,0.521705387092985,0.458064680395102
"FOXC2",-0.755610094724166,-0.753890827610339,-0.753890827610339,-0.634039634567108,-0.752326299337929,-0.69317243497472,-0.46385540275657,0.217831902972542,0.285630056063287,0.38609068004467,0.655898395941862,0.615344518205512,0.803268728402121,0.607784689691193,0.697005262507552
"ZEB1",-0.807116719073725,-0.805331685584977,-0.805331685584977,-0.697005262507552,-0.803268728402121,-0.738125468228221,-0.505713745866291,0.233352840737638,0.310195442287076,0.410612415085295,0.706121557172551,0.662342885213687,0.749264828515909,0.654992342472879,0.754224534373954
"SNAI2",-0.824925078555211,-0.627159256787108,-0.627159256787108,-0.711427429449201,-0.624888006293177,-0.544221325222305,-0.70281080664099,0.287291871042273,0.449374593373858,0.403302314132432,0.808537176888502,0.765671307688293,0.673441980644852,0.679613744097247,0.771813035101557
"GSC",-0.675162462317981,-0.679661422756406,-0.679661422756406,-0.573851343583196,-0.677925600494215,-0.588224498002138,-0.523225175211737,0.400128454038098,0.448891637917787,0.408396606259978,0.55113235413044,0.600094303729062,0.722000659087677,0.726672587050547,0.628586492019956
"TWIST1",-0.680607732019019,-0.684459777430216,-0.684459777430216,-0.577536415944605,-0.681808624103505,-0.578290646842819,-0.522798967049451,0.39228728436308,0.362555340102228,0.331864455965958,0.653152294313743,0.708727964903848,0.726355829969463,0.733154298042081,0.632827293925569
"ZEB2",-0.790114194111242,-0.786399232291024,-0.786399232291024,-0.684853600256259,-0.5827138281105,-0.52817967312433,-0.398306793059332,0.0616416077107301,0.146218549553496,0.303502773113817,0.499831331194925,0.554602500179295,0.625942100502516,0.73525504362211,0.738788750202978
"TWIST2",-0.684375924356116,-0.68828252435573,-0.68828252435573,-0.580382088080745,-0.685667374265519,-0.587499599267798,-0.544335799833467,0.320161814380515,0.4918235767772,0.417320143772544,0.659745252861858,0.714688730548787,0.730627752105254,0.737372346728278,0.63618576309079
