,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,EMT_MET_reduced_1,15,11,13,1,12,1
1,EMT_MET_reduced_10,18,71,62,14,17,2
2,EMT_MET_reduced_100,23,169,192,54,53,3
3,EMT_MET_reduced_101,21,85,130,60,34,2
4,EMT_MET_reduced_102,18,27,49,5,22,0
5,EMT_MET_reduced_103,17,35,75,3,13,0
6,EMT_MET_reduced_104,21,95,93,19,35,2
7,EMT_MET_reduced_105,14,30,28,0,4,0
8,EMT_MET_reduced_106,19,74,87,0,27,1
9,EMT_MET_reduced_107,16,28,50,18,18,4
10,EMT_MET_reduced_108,16,10,20,10,14,3
11,EMT_MET_reduced_109,14,24,30,25,16,3
12,EMT_MET_reduced_11,14,9,14,9,12,3
13,EMT_MET_reduced_110,23,62,117,50,28,1
14,EMT_MET_reduced_111,19,83,98,10,29,1
15,EMT_MET_reduced_112,20,59,85,39,18,2
16,EMT_MET_reduced_113,21,58,72,4,29,1
17,EMT_MET_reduced_114,20,50,70,25,20,0
18,EMT_MET_reduced_115,15,25,56,22,17,1
19,EMT_MET_reduced_116,14,21,25,0,11,0
20,EMT_MET_reduced_117,15,24,30,8,11,2
21,EMT_MET_reduced_118,20,86,104,30,27,2
22,EMT_MET_reduced_119,18,68,71,2,21,0
23,EMT_MET_reduced_12,18,40,77,12,25,2
24,EMT_MET_reduced_120,20,89,152,36,33,2
25,EMT_MET_reduced_121,15,51,42,11,10,0
26,EMT_MET_reduced_122,16,31,65,27,19,1
27,EMT_MET_reduced_123,19,33,39,12,24,0
28,EMT_MET_reduced_124,19,72,110,11,21,0
29,EMT_MET_reduced_125,17,45,50,7,17,1
30,EMT_MET_reduced_126,21,71,109,36,29,4
31,EMT_MET_reduced_127,19,75,117,0,19,0
32,EMT_MET_reduced_128,13,19,22,0,12,0
33,EMT_MET_reduced_129,20,85,74,0,18,0
34,EMT_MET_reduced_13,17,49,76,27,27,0
35,EMT_MET_reduced_130,24,91,132,1,40,0
36,EMT_MET_reduced_131,19,74,70,27,26,2
37,EMT_MET_reduced_132,17,65,74,41,22,2
38,EMT_MET_reduced_133,20,52,81,2,21,2
39,EMT_MET_reduced_134,17,52,58,15,28,2
40,EMT_MET_reduced_135,18,34,57,25,22,2
41,EMT_MET_reduced_136,21,106,130,0,32,0
42,EMT_MET_reduced_137,15,18,23,0,2,0
43,EMT_MET_reduced_138,19,31,67,32,14,0
44,EMT_MET_reduced_139,19,106,72,31,22,2
45,EMT_MET_reduced_14,25,132,186,0,40,1
46,EMT_MET_reduced_140,20,101,99,2,33,3
47,EMT_MET_reduced_141,18,81,113,74,31,3
48,EMT_MET_reduced_142,17,45,63,4,12,0
49,EMT_MET_reduced_143,19,53,92,43,19,1
50,EMT_MET_reduced_144,12,24,35,19,14,1
51,EMT_MET_reduced_145,12,10,9,0,0,0
52,EMT_MET_reduced_146,19,71,74,27,21,2
53,EMT_MET_reduced_147,17,23,46,1,11,0
54,EMT_MET_reduced_148,16,53,30,2,6,0
55,EMT_MET_reduced_149,21,70,73,5,26,1
56,EMT_MET_reduced_15,16,22,39,3,13,0
57,EMT_MET_reduced_150,19,51,65,9,19,1
58,EMT_MET_reduced_151,19,47,42,4,26,1
59,EMT_MET_reduced_152,19,40,67,19,26,0
60,EMT_MET_reduced_153,20,36,57,29,25,4
61,EMT_MET_reduced_154,20,26,45,13,17,0
62,EMT_MET_reduced_155,13,10,18,5,11,2
63,EMT_MET_reduced_156,19,100,119,67,34,1
64,EMT_MET_reduced_157,19,119,94,9,10,1
65,EMT_MET_reduced_158,24,130,184,44,40,4
66,EMT_MET_reduced_159,19,80,89,24,31,0
67,EMT_MET_reduced_16,10,9,6,0,9,1
68,EMT_MET_reduced_160,21,68,61,11,22,1
69,EMT_MET_reduced_161,16,42,62,8,17,2
70,EMT_MET_reduced_162,19,58,95,9,18,2
71,EMT_MET_reduced_163,25,125,192,7,41,1
72,EMT_MET_reduced_164,25,99,149,58,44,2
73,EMT_MET_reduced_165,15,19,17,4,8,1
74,EMT_MET_reduced_166,21,124,157,7,25,0
75,EMT_MET_reduced_167,16,13,24,9,13,1
76,EMT_MET_reduced_168,24,111,108,19,27,2
77,EMT_MET_reduced_169,21,108,121,38,35,4
78,EMT_MET_reduced_17,17,26,38,8,16,0
79,EMT_MET_reduced_170,12,8,19,7,7,1
80,EMT_MET_reduced_171,16,14,28,14,10,3
81,EMT_MET_reduced_172,24,111,154,17,43,2
82,EMT_MET_reduced_173,18,35,50,11,20,2
83,EMT_MET_reduced_174,16,21,35,21,17,0
84,EMT_MET_reduced_175,18,52,83,35,20,3
85,EMT_MET_reduced_176,23,112,190,17,40,1
86,EMT_MET_reduced_177,12,10,25,16,9,1
87,EMT_MET_reduced_178,24,101,204,85,36,5
88,EMT_MET_reduced_179,21,96,141,58,37,2
89,EMT_MET_reduced_18,20,86,119,61,33,1
90,EMT_MET_reduced_180,17,33,44,15,14,2
91,EMT_MET_reduced_181,16,36,22,8,19,0
92,EMT_MET_reduced_182,21,64,165,10,42,0
93,EMT_MET_reduced_183,19,73,87,5,22,0
94,EMT_MET_reduced_184,17,30,72,33,24,2
95,EMT_MET_reduced_185,22,132,158,67,26,1
96,EMT_MET_reduced_186,17,17,54,9,18,1
97,EMT_MET_reduced_187,17,26,52,6,20,0
98,EMT_MET_reduced_188,15,30,52,24,13,1
99,EMT_MET_reduced_189,17,75,63,23,25,0
100,EMT_MET_reduced_19,15,20,17,4,6,0
101,EMT_MET_reduced_190,13,18,11,4,10,1
102,EMT_MET_reduced_191,16,19,28,8,14,0
103,EMT_MET_reduced_192,18,46,40,5,19,0
104,EMT_MET_reduced_193,19,71,86,17,33,1
105,EMT_MET_reduced_194,17,37,51,17,17,4
106,EMT_MET_reduced_195,22,80,85,24,23,1
107,EMT_MET_reduced_196,20,64,70,38,34,1
108,EMT_MET_reduced_197,18,29,49,6,14,0
109,EMT_MET_reduced_198,19,53,77,8,16,1
110,EMT_MET_reduced_199,20,54,63,18,29,1
111,EMT_MET_reduced_2,18,30,47,8,18,1
112,EMT_MET_reduced_20,15,25,54,11,14,2
113,EMT_MET_reduced_200,22,77,78,10,25,1
114,EMT_MET_reduced_201,16,46,35,4,21,1
115,EMT_MET_reduced_202,18,24,51,4,12,1
116,EMT_MET_reduced_203,24,136,145,61,35,2
117,EMT_MET_reduced_204,19,81,111,16,24,2
118,EMT_MET_reduced_205,17,38,63,16,24,1
119,EMT_MET_reduced_206,19,35,39,5,22,1
120,EMT_MET_reduced_207,16,34,40,0,17,0
121,EMT_MET_reduced_208,19,68,90,30,26,0
122,EMT_MET_reduced_209,16,21,57,7,16,1
123,EMT_MET_reduced_21,22,66,83,0,21,0
124,EMT_MET_reduced_210,20,99,74,9,32,0
125,EMT_MET_reduced_211,22,95,114,15,24,3
126,EMT_MET_reduced_212,16,27,47,24,9,1
127,EMT_MET_reduced_213,15,5,17,8,8,2
128,EMT_MET_reduced_214,9,2,9,3,3,0
129,EMT_MET_reduced_215,19,96,135,21,31,3
130,EMT_MET_reduced_216,19,69,99,21,34,0
131,EMT_MET_reduced_217,21,66,94,8,24,1
132,EMT_MET_reduced_218,19,48,36,9,17,2
133,EMT_MET_reduced_219,19,92,105,20,26,1
134,EMT_MET_reduced_22,14,7,25,9,8,1
135,EMT_MET_reduced_220,16,20,33,13,23,2
136,EMT_MET_reduced_221,28,206,272,127,69,3
137,EMT_MET_reduced_222,16,36,44,21,11,2
138,EMT_MET_reduced_223,18,63,88,33,16,2
139,EMT_MET_reduced_224,21,100,93,19,10,3
140,EMT_MET_reduced_225,21,68,139,68,37,4
141,EMT_MET_reduced_226,21,67,100,44,30,3
142,EMT_MET_reduced_227,20,32,65,17,27,3
143,EMT_MET_reduced_228,12,16,33,1,10,0
144,EMT_MET_reduced_229,15,12,37,3,11,1
145,EMT_MET_reduced_23,18,47,75,7,27,0
146,EMT_MET_reduced_230,23,133,164,7,39,0
147,EMT_MET_reduced_231,25,124,94,12,14,2
148,EMT_MET_reduced_232,16,32,43,9,22,2
149,EMT_MET_reduced_233,16,65,75,48,27,2
150,EMT_MET_reduced_234,23,176,163,37,32,0
151,EMT_MET_reduced_235,21,53,118,42,32,3
152,EMT_MET_reduced_236,25,118,186,40,31,4
153,EMT_MET_reduced_237,21,98,101,28,35,1
154,EMT_MET_reduced_238,17,27,41,9,22,2
155,EMT_MET_reduced_239,18,66,65,17,16,0
156,EMT_MET_reduced_24,22,96,100,3,11,0
157,EMT_MET_reduced_240,19,56,38,5,21,1
158,EMT_MET_reduced_241,20,86,92,30,31,1
159,EMT_MET_reduced_242,25,125,166,33,48,2
160,EMT_MET_reduced_243,12,10,4,1,8,0
161,EMT_MET_reduced_244,25,144,118,24,51,0
162,EMT_MET_reduced_245,22,74,130,11,23,0
163,EMT_MET_reduced_246,12,6,3,0,5,0
164,EMT_MET_reduced_247,24,114,179,57,40,1
165,EMT_MET_reduced_248,18,60,67,12,23,2
166,EMT_MET_reduced_249,15,13,34,8,14,0
167,EMT_MET_reduced_25,25,131,170,55,28,2
168,EMT_MET_reduced_250,21,69,77,11,23,1
169,EMT_MET_reduced_251,16,20,19,11,17,3
170,EMT_MET_reduced_252,16,47,53,4,22,1
171,EMT_MET_reduced_253,12,6,12,3,5,0
172,EMT_MET_reduced_254,19,64,76,34,24,3
173,EMT_MET_reduced_255,18,56,82,34,21,0
174,EMT_MET_reduced_256,17,63,71,5,23,2
175,EMT_MET_reduced_257,27,150,244,19,48,2
176,EMT_MET_reduced_258,18,40,50,8,20,1
177,EMT_MET_reduced_259,20,80,84,18,28,2
178,EMT_MET_reduced_26,25,133,225,2,42,1
179,EMT_MET_reduced_260,19,33,57,14,17,0
180,EMT_MET_reduced_261,21,94,132,9,39,3
181,EMT_MET_reduced_262,11,10,11,3,4,0
182,EMT_MET_reduced_263,19,50,87,48,26,3
183,EMT_MET_reduced_264,20,71,114,10,33,0
184,EMT_MET_reduced_265,16,26,54,18,18,4
185,EMT_MET_reduced_266,23,127,129,9,32,0
186,EMT_MET_reduced_267,17,64,42,18,27,0
187,EMT_MET_reduced_268,15,28,32,7,13,1
188,EMT_MET_reduced_269,23,121,109,13,34,3
189,EMT_MET_reduced_27,18,39,61,20,25,3
190,EMT_MET_reduced_270,23,100,172,47,38,5
191,EMT_MET_reduced_271,18,84,101,49,37,0
192,EMT_MET_reduced_272,17,19,55,13,18,1
193,EMT_MET_reduced_273,20,44,94,46,25,3
194,EMT_MET_reduced_274,18,40,34,8,12,4
195,EMT_MET_reduced_275,23,92,174,88,33,4
196,EMT_MET_reduced_276,17,40,38,0,18,1
197,EMT_MET_reduced_277,15,23,10,2,4,1
198,EMT_MET_reduced_278,18,42,56,5,22,0
199,EMT_MET_reduced_279,19,92,129,78,34,0
200,EMT_MET_reduced_28,17,53,92,18,25,2
201,EMT_MET_reduced_280,20,68,47,10,10,0
202,EMT_MET_reduced_281,19,59,121,36,30,1
203,EMT_MET_reduced_282,17,15,24,9,12,3
204,EMT_MET_reduced_283,20,71,107,34,31,2
205,EMT_MET_reduced_284,18,44,60,35,24,0
206,EMT_MET_reduced_285,17,47,46,5,20,0
207,EMT_MET_reduced_286,15,16,9,0,12,0
208,EMT_MET_reduced_287,14,24,23,3,9,0
209,EMT_MET_reduced_288,17,33,65,16,12,1
210,EMT_MET_reduced_289,19,51,45,6,16,1
211,EMT_MET_reduced_29,20,101,130,10,31,0
212,EMT_MET_reduced_290,16,52,46,32,26,0
213,EMT_MET_reduced_291,19,96,85,14,25,1
214,EMT_MET_reduced_292,20,46,49,11,18,1
215,EMT_MET_reduced_293,15,20,32,0,17,2
216,EMT_MET_reduced_294,18,34,57,5,21,1
217,EMT_MET_reduced_295,19,52,85,21,26,2
218,EMT_MET_reduced_296,20,57,99,3,15,1
219,EMT_MET_reduced_297,20,71,106,39,33,2
220,EMT_MET_reduced_298,18,31,28,2,15,2
221,EMT_MET_reduced_299,25,172,224,22,48,1
222,EMT_MET_reduced_3,18,30,29,10,8,1
223,EMT_MET_reduced_30,21,86,95,27,20,0
224,EMT_MET_reduced_300,18,38,79,0,10,1
225,EMT_MET_reduced_301,14,14,29,1,12,0
226,EMT_MET_reduced_302,17,62,37,3,22,0
227,EMT_MET_reduced_303,19,77,71,6,28,2
228,EMT_MET_reduced_304,23,110,132,57,38,1
229,EMT_MET_reduced_305,19,50,92,47,17,1
230,EMT_MET_reduced_306,14,24,26,8,16,1
231,EMT_MET_reduced_307,16,21,13,5,5,0
232,EMT_MET_reduced_308,20,75,95,28,38,3
233,EMT_MET_reduced_309,19,64,77,29,16,1
234,EMT_MET_reduced_31,15,48,56,17,21,1
235,EMT_MET_reduced_310,17,42,55,7,11,0
236,EMT_MET_reduced_311,22,102,126,58,35,1
237,EMT_MET_reduced_312,24,115,199,80,44,2
238,EMT_MET_reduced_313,16,42,37,0,16,0
239,EMT_MET_reduced_314,18,57,64,5,25,0
240,EMT_MET_reduced_315,21,57,52,22,25,0
241,EMT_MET_reduced_316,18,72,80,19,29,0
242,EMT_MET_reduced_317,19,67,100,15,32,2
243,EMT_MET_reduced_318,13,6,7,0,0,0
244,EMT_MET_reduced_319,18,69,68,20,21,3
245,EMT_MET_reduced_32,15,16,31,6,18,3
246,EMT_MET_reduced_320,21,47,67,15,25,2
247,EMT_MET_reduced_321,20,57,71,25,29,2
248,EMT_MET_reduced_322,25,82,56,17,42,3
249,EMT_MET_reduced_323,16,24,35,15,15,1
250,EMT_MET_reduced_324,22,75,73,23,28,1
251,EMT_MET_reduced_325,22,92,131,60,32,1
252,EMT_MET_reduced_326,21,79,99,41,24,2
253,EMT_MET_reduced_327,23,108,138,32,19,2
254,EMT_MET_reduced_328,20,36,36,14,24,1
255,EMT_MET_reduced_329,20,57,95,24,25,2
256,EMT_MET_reduced_33,17,39,24,0,12,0
257,EMT_MET_reduced_330,20,91,100,12,32,0
258,EMT_MET_reduced_331,20,35,55,5,18,1
259,EMT_MET_reduced_332,13,38,33,0,14,0
260,EMT_MET_reduced_333,18,36,72,4,22,2
261,EMT_MET_reduced_334,22,92,143,49,37,2
262,EMT_MET_reduced_335,19,66,114,44,28,2
263,EMT_MET_reduced_336,22,55,100,40,26,1
264,EMT_MET_reduced_337,16,22,43,12,16,2
265,EMT_MET_reduced_338,21,107,73,4,21,2
266,EMT_MET_reduced_339,20,55,37,3,18,0
267,EMT_MET_reduced_34,20,88,153,49,38,3
268,EMT_MET_reduced_340,19,51,56,14,17,1
269,EMT_MET_reduced_341,18,53,55,1,21,1
270,EMT_MET_reduced_342,17,77,45,11,21,1
271,EMT_MET_reduced_343,17,39,52,10,15,1
272,EMT_MET_reduced_344,22,65,91,23,30,3
273,EMT_MET_reduced_345,20,65,94,30,24,2
274,EMT_MET_reduced_346,18,79,13,0,30,0
275,EMT_MET_reduced_347,21,81,32,8,18,1
276,EMT_MET_reduced_348,13,12,14,0,11,1
277,EMT_MET_reduced_349,22,71,91,56,32,2
278,EMT_MET_reduced_35,20,87,94,21,31,1
279,EMT_MET_reduced_350,17,29,46,3,14,0
280,EMT_MET_reduced_351,21,148,161,30,33,1
281,EMT_MET_reduced_352,19,64,74,4,22,1
282,EMT_MET_reduced_353,17,47,34,1,14,0
283,EMT_MET_reduced_354,18,57,90,17,27,2
284,EMT_MET_reduced_355,16,27,54,9,16,3
285,EMT_MET_reduced_356,16,25,29,4,16,2
286,EMT_MET_reduced_357,17,66,73,23,18,0
287,EMT_MET_reduced_358,20,109,102,43,41,0
288,EMT_MET_reduced_359,24,125,180,21,27,0
289,EMT_MET_reduced_36,19,47,32,0,18,2
290,EMT_MET_reduced_360,16,17,32,9,14,1
291,EMT_MET_reduced_361,20,79,99,21,35,3
292,EMT_MET_reduced_362,20,98,81,7,31,2
293,EMT_MET_reduced_363,16,54,22,5,16,0
294,EMT_MET_reduced_364,22,88,111,20,26,0
295,EMT_MET_reduced_365,20,76,95,16,30,1
296,EMT_MET_reduced_366,15,21,26,0,9,0
297,EMT_MET_reduced_367,18,81,88,66,37,3
298,EMT_MET_reduced_368,20,47,96,29,14,4
299,EMT_MET_reduced_369,18,48,67,13,20,2
300,EMT_MET_reduced_37,21,80,105,22,30,2
301,EMT_MET_reduced_370,19,38,62,1,10,2
302,EMT_MET_reduced_371,20,32,81,25,19,3
303,EMT_MET_reduced_372,16,25,35,13,20,0
304,EMT_MET_reduced_373,16,41,31,5,22,1
305,EMT_MET_reduced_374,19,66,129,47,21,3
306,EMT_MET_reduced_375,21,82,75,22,42,1
307,EMT_MET_reduced_376,16,24,32,5,16,0
308,EMT_MET_reduced_377,17,39,44,24,18,1
309,EMT_MET_reduced_378,21,76,100,55,41,1
310,EMT_MET_reduced_379,18,61,88,13,23,2
311,EMT_MET_reduced_38,17,76,85,3,20,1
312,EMT_MET_reduced_380,22,78,103,13,30,2
313,EMT_MET_reduced_381,16,16,17,8,16,2
314,EMT_MET_reduced_382,20,57,47,9,18,0
315,EMT_MET_reduced_383,19,30,91,14,22,3
316,EMT_MET_reduced_384,21,112,101,25,37,2
317,EMT_MET_reduced_385,22,124,159,21,35,4
318,EMT_MET_reduced_386,20,54,85,16,28,1
319,EMT_MET_reduced_387,18,22,28,19,20,2
320,EMT_MET_reduced_388,19,64,76,9,20,0
321,EMT_MET_reduced_389,16,14,15,2,8,0
322,EMT_MET_reduced_39,20,84,98,20,33,1
323,EMT_MET_reduced_390,20,95,88,18,34,0
324,EMT_MET_reduced_391,20,81,77,22,40,3
325,EMT_MET_reduced_392,20,103,133,82,41,0
326,EMT_MET_reduced_393,22,78,75,8,32,4
327,EMT_MET_reduced_394,16,32,40,12,20,1
328,EMT_MET_reduced_395,23,108,152,61,29,5
329,EMT_MET_reduced_396,17,37,64,33,16,0
330,EMT_MET_reduced_397,18,21,31,4,17,3
331,EMT_MET_reduced_398,14,21,53,19,15,1
332,EMT_MET_reduced_399,18,41,35,16,28,2
333,EMT_MET_reduced_4,19,47,97,12,26,1
334,EMT_MET_reduced_40,20,57,70,16,19,0
335,EMT_MET_reduced_400,16,35,37,4,6,2
336,EMT_MET_reduced_401,21,135,168,96,38,2
337,EMT_MET_reduced_402,18,32,36,2,14,1
338,EMT_MET_reduced_403,12,10,18,6,13,0
339,EMT_MET_reduced_404,14,15,46,19,15,0
340,EMT_MET_reduced_405,14,14,42,26,17,2
341,EMT_MET_reduced_406,20,60,95,33,20,1
342,EMT_MET_reduced_407,19,33,44,12,15,2
343,EMT_MET_reduced_408,19,60,76,17,30,5
344,EMT_MET_reduced_409,15,84,58,12,19,2
345,EMT_MET_reduced_41,15,39,57,25,15,2
346,EMT_MET_reduced_410,16,32,47,6,7,1
347,EMT_MET_reduced_411,21,38,44,4,13,1
348,EMT_MET_reduced_412,15,54,49,9,22,1
349,EMT_MET_reduced_413,17,33,24,4,6,2
350,EMT_MET_reduced_414,21,49,69,16,23,1
351,EMT_MET_reduced_415,17,37,64,46,22,0
352,EMT_MET_reduced_416,29,323,304,21,54,3
353,EMT_MET_reduced_417,18,50,83,0,20,0
354,EMT_MET_reduced_418,18,54,71,39,15,0
355,EMT_MET_reduced_419,18,82,93,23,37,1
356,EMT_MET_reduced_42,17,30,48,2,5,0
357,EMT_MET_reduced_420,19,49,47,0,14,0
358,EMT_MET_reduced_421,18,46,62,15,25,3
359,EMT_MET_reduced_422,19,34,65,9,23,1
360,EMT_MET_reduced_423,18,23,38,14,14,2
361,EMT_MET_reduced_424,19,45,73,24,24,0
362,EMT_MET_reduced_425,22,86,94,19,23,1
363,EMT_MET_reduced_426,18,24,23,2,13,2
364,EMT_MET_reduced_427,17,26,49,7,8,1
365,EMT_MET_reduced_428,22,113,119,33,24,3
366,EMT_MET_reduced_429,22,126,164,17,37,2
367,EMT_MET_reduced_43,17,42,55,6,11,1
368,EMT_MET_reduced_430,20,74,61,11,23,0
369,EMT_MET_reduced_431,19,72,117,47,31,4
370,EMT_MET_reduced_432,17,34,50,14,17,0
371,EMT_MET_reduced_433,14,18,22,10,19,2
372,EMT_MET_reduced_434,17,70,100,10,29,2
373,EMT_MET_reduced_435,20,70,95,41,29,1
374,EMT_MET_reduced_436,16,10,18,3,9,1
375,EMT_MET_reduced_437,21,93,112,4,23,1
376,EMT_MET_reduced_438,22,108,59,8,23,2
377,EMT_MET_reduced_439,20,43,70,13,26,1
378,EMT_MET_reduced_44,19,39,63,11,18,1
379,EMT_MET_reduced_440,15,20,44,9,12,1
380,EMT_MET_reduced_441,15,30,32,0,11,0
381,EMT_MET_reduced_442,17,25,34,13,21,1
382,EMT_MET_reduced_443,16,29,55,30,23,2
383,EMT_MET_reduced_444,14,29,21,14,15,0
384,EMT_MET_reduced_445,25,169,181,14,53,4
385,EMT_MET_reduced_446,17,28,59,15,23,3
386,EMT_MET_reduced_447,15,30,32,5,6,0
387,EMT_MET_reduced_448,21,88,137,2,20,1
388,EMT_MET_reduced_449,18,27,56,10,19,1
389,EMT_MET_reduced_45,19,34,65,14,22,0
390,EMT_MET_reduced_450,20,83,132,14,32,4
391,EMT_MET_reduced_451,19,45,89,7,17,0
392,EMT_MET_reduced_452,15,67,81,43,19,1
393,EMT_MET_reduced_453,17,37,49,18,22,1
394,EMT_MET_reduced_454,23,77,59,16,16,0
395,EMT_MET_reduced_455,22,123,128,3,45,2
396,EMT_MET_reduced_456,17,27,41,5,17,2
397,EMT_MET_reduced_457,18,64,62,4,13,0
398,EMT_MET_reduced_458,19,70,89,5,18,0
399,EMT_MET_reduced_459,17,20,32,16,11,3
400,EMT_MET_reduced_46,21,65,82,26,32,4
401,EMT_MET_reduced_460,19,81,114,36,31,4
402,EMT_MET_reduced_461,12,14,18,0,6,0
403,EMT_MET_reduced_462,21,126,126,26,39,2
404,EMT_MET_reduced_463,16,23,57,6,20,2
405,EMT_MET_reduced_464,13,18,30,0,13,0
406,EMT_MET_reduced_465,20,71,82,35,18,3
407,EMT_MET_reduced_466,13,6,18,9,8,2
408,EMT_MET_reduced_467,22,90,146,16,30,2
409,EMT_MET_reduced_468,12,32,29,14,18,0
410,EMT_MET_reduced_469,17,68,59,21,23,1
411,EMT_MET_reduced_47,23,92,91,32,27,3
412,EMT_MET_reduced_470,16,25,50,4,14,0
413,EMT_MET_reduced_471,17,52,55,0,9,0
414,EMT_MET_reduced_472,20,66,98,14,27,0
415,EMT_MET_reduced_473,19,45,75,18,23,0
416,EMT_MET_reduced_474,21,101,102,38,35,2
417,EMT_MET_reduced_475,18,68,48,1,26,0
418,EMT_MET_reduced_476,20,81,96,7,31,1
419,EMT_MET_reduced_477,18,46,52,0,23,0
420,EMT_MET_reduced_478,16,45,82,32,12,2
421,EMT_MET_reduced_479,22,74,122,33,27,5
422,EMT_MET_reduced_48,18,41,27,0,14,1
423,EMT_MET_reduced_480,20,34,46,14,18,2
424,EMT_MET_reduced_481,19,70,80,2,11,0
425,EMT_MET_reduced_482,16,23,26,2,14,1
426,EMT_MET_reduced_483,16,23,27,4,7,1
427,EMT_MET_reduced_484,22,61,113,45,27,0
428,EMT_MET_reduced_485,22,194,128,0,51,0
429,EMT_MET_reduced_486,22,75,76,17,23,2
430,EMT_MET_reduced_487,18,45,54,36,29,1
431,EMT_MET_reduced_488,19,78,113,14,19,2
432,EMT_MET_reduced_489,18,36,55,0,9,0
433,EMT_MET_reduced_49,22,106,137,34,32,3
434,EMT_MET_reduced_490,16,38,50,24,23,1
435,EMT_MET_reduced_491,22,109,150,32,24,1
436,EMT_MET_reduced_492,18,47,85,22,10,4
437,EMT_MET_reduced_493,21,72,91,12,34,1
438,EMT_MET_reduced_494,21,80,112,53,33,0
439,EMT_MET_reduced_495,21,73,119,8,25,3
440,EMT_MET_reduced_496,14,28,38,0,7,0
441,EMT_MET_reduced_497,15,19,39,3,14,0
442,EMT_MET_reduced_498,12,14,35,0,6,1
443,EMT_MET_reduced_499,17,26,54,11,19,1
444,EMT_MET_reduced_5,15,32,24,3,16,0
445,EMT_MET_reduced_50,19,64,86,35,18,0
446,EMT_MET_reduced_500,35,390,507,0,0,0
447,EMT_MET_reduced_51,17,35,42,2,18,1
448,EMT_MET_reduced_52,17,36,48,2,14,0
449,EMT_MET_reduced_53,21,99,126,15,28,2
450,EMT_MET_reduced_54,18,59,59,26,29,1
451,EMT_MET_reduced_55,19,38,21,0,5,0
452,EMT_MET_reduced_56,17,32,54,18,18,1
453,EMT_MET_reduced_57,13,12,22,3,7,2
454,EMT_MET_reduced_58,20,70,97,19,22,1
455,EMT_MET_reduced_59,12,10,14,7,5,2
456,EMT_MET_reduced_6,18,41,53,14,20,1
457,EMT_MET_reduced_60,21,74,124,31,22,2
458,EMT_MET_reduced_61,23,90,165,93,40,4
459,EMT_MET_reduced_62,19,59,49,7,28,0
460,EMT_MET_reduced_63,24,95,177,10,33,0
461,EMT_MET_reduced_64,19,31,61,0,9,0
462,EMT_MET_reduced_65,18,64,89,1,22,1
463,EMT_MET_reduced_66,16,86,51,23,25,1
464,EMT_MET_reduced_67,19,52,47,24,23,1
465,EMT_MET_reduced_68,16,23,36,11,15,2
466,EMT_MET_reduced_69,18,28,39,10,14,1
467,EMT_MET_reduced_7,22,83,121,23,26,2
468,EMT_MET_reduced_70,17,25,32,8,15,2
469,EMT_MET_reduced_71,16,59,73,5,23,0
470,EMT_MET_reduced_72,19,21,33,16,23,3
471,EMT_MET_reduced_73,19,64,83,12,27,1
472,EMT_MET_reduced_74,20,75,102,33,24,5
473,EMT_MET_reduced_75,18,47,56,21,22,1
474,EMT_MET_reduced_76,18,38,46,11,15,1
475,EMT_MET_reduced_77,20,53,54,9,19,1
476,EMT_MET_reduced_78,17,41,72,1,19,0
