Cycles,Edge_count
SNAIL,1
"ZEB,SNAIL,NRF2,Ecadherin",4
"ZEB,miR200,SNAIL",3
"KEAP1,miR200,SNAIL,NRF2",4
"ZEB,miR34,SNAIL",3
ZEB,1
