"EdgeList","Nature","Cycles","Edge_count"
"SNAIL,SNAIL","N","SNAIL",1
"miR200,ZEB;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"ZEB,miR200;SNAIL,ZEB;SNAIL,miR200","P","miR200,ZEB,SNAIL",3
"ZEB,ZEB","P","ZEB",1
"ZEB,miR34;SNAIL,ZEB;SNAIL,miR34","P","miR34,ZEB,SNAIL",3
"ZEB,miR34;SNAIL,ZEB;miR34,SNAIL","P","miR34,ZEB,SNAIL",3
"miR200,KEAP1;KEAP1,NRF2;Ecadherin,NRF2;Ecadherin,ZEB;ZEB,miR200","N","miR200,KEAP1,NRF2,Ecadherin,ZEB",5
"miR200,KEAP1;KEAP1,NRF2;Ecadherin,NRF2;ZEB,Ecadherin;ZEB,miR200","N","miR200,KEAP1,NRF2,Ecadherin,ZEB",5
"miR200,KEAP1;KEAP1,NRF2;Ecadherin,NRF2;Ecadherin,ZEB;miR200,ZEB","N","miR200,KEAP1,NRF2,Ecadherin,ZEB",5
"miR200,KEAP1;KEAP1,NRF2;Ecadherin,NRF2;ZEB,Ecadherin;miR200,ZEB","N","miR200,KEAP1,NRF2,Ecadherin,ZEB",5
