Network,Influence Metric 1,SD,Influence Metric 2,SD,,,,,,
EMT_RACIPE,115.3437,16.21484,8.051999,1.681263,,,,,,
EMT_RACIPE2,170.8762726,21.88972895,10.88714854,1.951347422,,,,,,
EMT_MET,338.9342335,48.09503203,11.61645143,2.744421782,,,,,,
silviera,67.42290136,14.49497705,4.220961079,1.34907785,,,,,,
silviera2,82.78127699,19.11099604,5.040681476,1.356997512,,,,,,
,,,,,,,,,,
,,,,,,,,,,
## influence metric1 is obtained when the influence matrix is normalized using weights of the corresponding edges.,,,,,,,,,,
