"","ZEB","SNAIL","miR200","GRHL2"
"ZEB",1,0,-1,-1
"SNAIL",-0.377734375,0,0.24453125,0.34453125
"miR200",-1,0,0.9,0.9
"GRHL2",-1,0,0.9,0.9
