"","ZEB","miR200","GRHL2"
"ZEB",-0.0807505984565423,-0.0191029886591238,-0.0191029886591238
"miR200",-0.0191029886591238,0.0193962437910886,0.0193962437910886
"GRHL2",0.0191029886591238,-0.0193962437910886,-0.0193962437910886
