"Nature","Strength","Type","Node"
"N",0.0708373811733839,"NF","GSC,FOXC2"
"P",0.216678275261606,"TS","GSC,ZEB1"
"P",0.23672895083615,"DA","GSC,GRHL2"
"P",0.0635680946564559,"DA","GSC,miR34a"
"P",0.277849622557088,"DA","miR200a,miR200a"
"N",0.402962533311044,"NF","miR200a,miR141"
"P",0.126645348945123,"TS","miR200a,TWIST2"
"N",0.109185171798745,"NF","miR200a,TCF3"
"P",0.156707912757773,"DA","miR200a,KLF8"
"P",0.142518458486606,"DA","miR200a,SNAI2"
"P",0.205929331682037,"TS","miR200a,TGFbeta"
"P",0.0868403217334887,"TS","miR200a,CDH1"
"N",0.30509321631852,"NF","miR200a,CLDN7"
"P",0.297539081435267,"TS","miR200a,OVOL2"
"N",0.277849622557088,"NF","miR200a,miR200c"
"P",0.253767679660656,"TS","miR200a,miR200b"
"N",0.3095167673291,"NF","miR200a,miR205"
"P",0.261591696961764,"TS","miR200a,FOXC2"
"P",0.508259434641847,"TS","miR200a,ZEB1"
"N",0.350259207930003,"NF","miR200a,GRHL2"
"P",0.271146978361988,"DA","miR200a,miR34a"
"P",0.547325672356946,"TS","miR141,miR141"
"N",0.145378869448269,"NF","miR141,TWIST2"
"P",0.156414421228693,"TS","miR141,TCF3"
"N",0.194168711169914,"NF","miR141,KLF8"
"N",0.170566246673617,"NF","miR141,SNAI2"
"N",0.284738655450687,"NF","miR141,TGFbeta"
"P",0.12143121272544,"DA","miR141,CDH1"
"P",0.36954815136287,"DA","miR141,CLDN7"
"N",0.326298061691327,"NF","miR141,OVOL2"
"P",0.402962533311044,"DA","miR141,miR200c"
"N",0.411350314173316,"NF","miR141,miR200b"
"P",0.428454254901669,"DA","miR141,miR205"
"N",0.273196276891687,"NF","miR141,FOXC2"
"N",0.536004685131945,"NF","miR141,ZEB1"
"P",0.353428819491998,"DA","miR141,GRHL2"
"N",0.338897398592241,"NF","miR141,miR34a"
"P",0.127050545760714,"TS","TWIST2,TWIST2"
"P",0.0133762604651935,"TS","TWIST2,TCF3"
"N",0.0881974108331115,"NF","TWIST2,KLF8"
"N",0.0876262407058765,"NF","TWIST2,SNAI2"
"N",0.0332592550259308,"NF","TWIST2,TGFbeta"
"N",0.0582868466969893,"NF","TWIST2,CDH1"
"N",0.0546607768598661,"NF","TWIST2,CLDN7"
"P",0.168488113228365,"DA","TWIST2,OVOL2"
"N",0.126645348945123,"NF","TWIST2,miR200c"
"N",0.112065978546517,"NF","TWIST2,miR200b"
"N",0.21576062673313,"NF","TWIST2,miR205"
"N",0.207991882263336,"NF","TWIST2,FOXC2"
"P",0.207692184260906,"DA","TWIST2,ZEB1"
"P",0.0487570625403102,"TS","TWIST2,GRHL2"
"P",0.0836486896199243,"TS","TWIST2,miR34a"
"P",0.136780164601717,"TS","TCF3,TCF3"
"N",0.0684399660212679,"NF","TCF3,KLF8"
"P",0.0767859431102766,"TS","TCF3,SNAI2"
"N",0.0329324009221642,"NF","TCF3,TGFbeta"
"N",0.0935178889554003,"NF","TCF3,CDH1"
"P",0.164275397485255,"DA","TCF3,CLDN7"
"N",0.136218378052334,"NF","TCF3,OVOL2"
"P",0.109185171798745,"DA","TCF3,miR200c"
"N",0.0896912632310476,"NF","TCF3,miR200b"
"P",0.197759526298748,"DA","TCF3,miR205"
"P",0.13045554125579,"DA","TCF3,FOXC2"
"N",0.204618182980533,"NF","TCF3,ZEB1"
"P",0.094312050701889,"DA","TCF3,GRHL2"
"N",0.0725542879375557,"NF","TCF3,miR34a"
"P",9.97674408183908e-05,"DA","KLF8,KLF8"
"N",0.00843887693482467,"NF","KLF8,SNAI2"
"P",0.073958585589278,"TS","KLF8,TGFbeta"
"P",0.0252189960407726,"TS","KLF8,CDH1"
"N",0.0959351989048058,"NF","KLF8,CLDN7"
"P",0.195697321624906,"TS","KLF8,OVOL2"
"N",0.156707912757773,"NF","KLF8,miR200c"
"P",0.137214004190076,"TS","KLF8,miR200b"
"N",0.140192546615269,"NF","KLF8,miR205"
"N",0.0698101152409811,"NF","KLF8,FOXC2"
"P",0.143910510954853,"TS","KLF8,ZEB1"
"P",0.156911636890142,"DA","KLF8,GRHL2"
"N",0.0930812140218192,"NF","KLF8,miR34a"
"P",0.215400973462042,"TS","SNAI2,SNAI2"
"P",0.0228768331514158,"TS","SNAI2,TGFbeta"
"P",0.0832262286215848,"DA","SNAI2,CDH1"
"P",0.103580439107628,"DA","SNAI2,CLDN7"
"P",0.173252306013525,"TS","SNAI2,OVOL2"
"N",0.142518458486606,"NF","SNAI2,miR200c"
"P",0.123273518080136,"TS","SNAI2,miR200b"
"N",0.12834533691435,"NF","SNAI2,miR205"
"N",0.0502125585453729,"NF","SNAI2,FOXC2"
"P",0.124109497763373,"TS","SNAI2,ZEB1"
"P",0.150372487016185,"DA","SNAI2,GRHL2"
"N",0.165925482416678,"NF","SNAI2,miR34a"
"P",0.21272649797669,"DA","TGFbeta,TGFbeta"
"N",0.0804147232066482,"NF","TGFbeta,CDH1"
"N",0.154676771312923,"NF","TGFbeta,CLDN7"
"P",0.165683732996995,"DA","TGFbeta,OVOL2"
"N",0.205929331682037,"NF","TGFbeta,miR200c"
"P",0.252686431753875,"DA","TGFbeta,miR200b"
"N",0.155378858663461,"NF","TGFbeta,miR205"
"P",0.0415357183571416,"DA","TGFbeta,FOXC2"
"P",0.184219941027296,"DA","TGFbeta,ZEB1"
"P",0.211219117987699,"TS","TGFbeta,GRHL2"
"N",0.0381329977700499,"NF","TGFbeta,miR34a"
"P",0.151167725128765,"TS","CDH1,CDH1"
"N",0.120468003194677,"NF","CDH1,CLDN7"
"N",0.183688685795895,"NF","CDH1,OVOL2"
"N",0.0868403217334887,"NF","CDH1,miR200c"
"P",0.0676200190839256,"DA","CDH1,miR200b"
"N",0.137835180960561,"NF","CDH1,miR205"
"N",0.0841225944939599,"NF","CDH1,FOXC2"
"P",0.158108612876348,"DA","CDH1,ZEB1"
"N",0.172554540802913,"NF","CDH1,GRHL2"
"P",0.0753885056498421,"TS","CDH1,miR34a"
"P",0.191770630368793,"TS","CLDN7,CLDN7"
"N",0.243878157553738,"NF","CLDN7,OVOL2"
"P",0.30509321631852,"TS","CLDN7,miR200c"
"N",0.285599307750823,"NF","CLDN7,miR200b"
"P",0.327106043686245,"TS","CLDN7,miR205"
"P",0.284147102818153,"TS","CLDN7,FOXC2"
"N",0.358258830173801,"NF","CLDN7,ZEB1"
"P",0.199060193776766,"TS","CLDN7,GRHL2"
"N",0.248445006271461,"NF","CLDN7,miR34a"
"P",0.00976562468739572,"DA","OVOL2,OVOL2"
"N",0.297539081435267,"NF","OVOL2,miR200c"
"P",0.26821540278424,"DA","OVOL2,miR200b"
"N",0.221386033458576,"NF","OVOL2,miR205"
"N",0.167105306695741,"NF","OVOL2,FOXC2"
"P",0.311071429160451,"DA","OVOL2,ZEB1"
"N",0.0665077442993968,"NF","OVOL2,GRHL2"
"P",0.253224954012414,"TS","OVOL2,miR34a"
"P",0.277849622557088,"TS","miR200c,miR200c"
"N",0.253767679660656,"NF","miR200c,miR200b"
"P",0.3095167673291,"TS","miR200c,miR205"
"N",0.261591696961764,"NF","miR200c,FOXC2"
"N",0.508259434641847,"NF","miR200c,ZEB1"
"P",0.350259207930003,"TS","miR200c,GRHL2"
"N",0.271146978361988,"NF","miR200c,miR34a"
"P",0.229685736764224,"DA","miR200b,miR200b"
"N",0.289943001242338,"NF","miR200b,miR205"
"P",0.231602093407615,"DA","miR200b,FOXC2"
"P",0.478269299696981,"DA","miR200b,ZEB1"
"N",0.287810325007534,"NF","miR200b,GRHL2"
"P",0.174895282533903,"TS","miR200b,miR34a"
"P",0.32251993476539,"TS","miR205,miR205"
"N",0.258211016575846,"NF","miR205,FOXC2"
"N",0.410155805457098,"NF","miR205,ZEB1"
"N",0.299597015528112,"NF","miR205,GRHL2"
"N",0.382756666061372,"NF","miR205,miR34a"
"P",0.157293951165941,"DA","FOXC2,FOXC2"
"P",0.340908672586961,"DA","FOXC2,ZEB1"
"N",0.245653135883435,"NF","FOXC2,GRHL2"
"P",0.270194541243649,"TS","FOXC2,miR34a"
"P",0.32461169861558,"DA","ZEB1,ZEB1"
"N",0.330789769898665,"NF","ZEB1,GRHL2"
"P",0.429986782351406,"TS","ZEB1,miR34a"
"P",0.230478411343756,"TS","GRHL2,GRHL2"
"N",0.28989718217841,"NF","GRHL2,miR34a"
"P",0.178478903180745,"DA","miR34a,miR34a"
