Cycles,Edge_count
SNAIL1,1
"MIR-200,TGFB,SNAIL1",3
"ZEB1,MIR-190,TGFB,SNAIL1",4
"MIR-200,ZEB1,SNAIL1",3
"MIR-34,ZEB1,SNAIL1",3
"CDH1,ZEB1,SNAIL1",3
"VIM,ZEB1,SNAIL1",3
"ESRP1,CD44s,ZEB1",3
"HAS2,HA,ZEB1",3
"GRHL2,CD24,ZEB1",3
"CDH1,EMT,VIM,SNAIL1",4
