"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.683881305070754,0.683881305070754,0.683881305070754,0.683881305070754,0.683881305070754,0.748594680866932,0.54623086073734,0.54623086073734,0.115275141436201,-0.0914179124753326,-0.115275141436201,-0.57069099318848,-0.714185672075606,-0.648594680866932,-0.648594680866932,-0.683881305070754
"MIR340",0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.538677316867066,0.406941773323743,0.406941773323743,0.100634508440794,-0.0661717414074733,-0.100634508440794,-0.437043728238719,-0.599855306581048,-0.538677316867066,-0.538677316867066,-0.569858285431212
"MIR1199",0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.538677316867066,0.406941773323743,0.406941773323743,0.100634508440794,-0.0661717414074733,-0.100634508440794,-0.437043728238719,-0.599855306581048,-0.538677316867066,-0.538677316867066,-0.569858285431212
"CD24",0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.569858285431212,0.538677316867066,0.406941773323743,0.406941773323743,0.100634508440794,-0.0661717414074733,-0.100634508440794,-0.437043728238719,-0.599855306581048,-0.538677316867066,-0.538677316867066,-0.569858285431212
"ESRP1",0.538677316867066,0.538677316867066,0.538677316867066,0.538677316867066,0.538677316867066,0.491094619666048,0.377858527802141,0.377858527802141,0.088305741317506,-0.0810250999694411,-0.088305741317506,-0.408927786209733,-0.569858285431212,-0.491094619666048,-0.591094619666048,-0.538677316867066
"MIR129",0.513109634231798,0.513109634231798,0.513109634231798,0.513109634231798,0.513109634231798,0.480918874172185,0.310688443492598,0.310688443492598,0.332498475438929,-0.09121470096758,-0.2974408835668,-0.361712115045448,-0.534933738466326,-0.480918874172185,-0.480918874172185,-0.513109634231798
"TGFB",0.314887515754614,0.314887515754614,0.314887515754614,0.314887515754614,0.314887515754614,0.300063179850587,0.267393916394467,0.267393916394467,0.185318189110171,-0.0865789431576851,-0.185318189110171,-0.305911337718655,-0.32826106290777,-0.300063179850587,-0.300063179850587,-0.314887515754614
"MIR34",0.314887515754614,0.314887515754614,0.314887515754614,0.314887515754614,0.314887515754614,0.300063179850587,0.267393916394467,0.267393916394467,0.185318189110171,-0.0865789431576851,-0.185318189110171,-0.305911337718655,-0.32826106290777,-0.300063179850587,-0.300063179850587,-0.314887515754614
"MIR200",0.307231141899966,0.307231141899966,0.307231141899966,0.307231141899966,0.307231141899966,0.297256458355662,0.128860456696399,0.128860456696399,-0.105549629391857,0.0602269379693239,0.105549629391857,-0.243615416214154,-0.318845972333984,-0.297256458355662,-0.297256458355662,-0.307231141899966
"MIR190",-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.278759921705223,-0.255165584370377,-0.255165584370377,-0.180874722326185,0.0905715151168309,0.180874722326185,0.192113329183805,0.314887515754614,0.278759921705223,0.278759921705223,0.300063179850587
"SNAIL1",-0.32826106290777,-0.32826106290777,-0.32826106290777,-0.32826106290777,-0.32826106290777,-0.314887515754614,-0.274030566552053,-0.274030566552053,-0.18423932571555,-0.00983164122156179,0.18423932571555,0.31912440451534,0.338081228597808,0.314887515754614,0.314887515754614,0.32826106290777
"ZEB1",-0.599855306581048,-0.599855306581048,-0.599855306581048,-0.599855306581048,-0.599855306581048,-0.569858285431212,-0.419608561845037,-0.419608561845037,-0.095056446739329,0.0777314939310812,0.095056446739329,0.466929907100508,0.520584653632082,0.569858285431212,0.569858285431212,0.599855306581048
"TWIST1",-0.534933738466326,-0.534933738466326,-0.534933738466326,-0.534933738466326,-0.534933738466326,-0.513109634231798,-0.330398945494446,-0.330398945494446,-0.340842707717245,0.0821711988405044,0.20580908440362,0.381182388361876,0.555358233943013,0.513109634231798,0.513109634231798,0.534933738466326
"HAS2",-0.538677316867066,-0.538677316867066,-0.538677316867066,-0.538677316867066,-0.538677316867066,-0.491094619666048,-0.377858527802141,-0.377858527802141,-0.088305741317506,0.0810250999694411,0.088305741317506,0.408927786209733,0.569858285431212,0.591094619666048,0.491094619666048,0.538677316867066
"HA",-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.538677316867066,-0.406941773323743,-0.406941773323743,-0.100634508440794,0.0661717414074733,0.100634508440794,0.437043728238719,0.599855306581048,0.538677316867066,0.538677316867066,0.569858285431212
"CD44s",-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.569858285431212,-0.538677316867066,-0.406941773323743,-0.406941773323743,-0.100634508440794,0.0661717414074733,0.100634508440794,0.437043728238719,0.599855306581048,0.538677316867066,0.538677316867066,0.569858285431212
