"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR129","MIR200","SNAIL1","TWIST1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.761063907559449,0.761063907559449,0.761063907559449,0.761063907559449,0.761063907559449,0.805997828264295,0.670222283608494,0.33614267346752,0.30707083235181,-0.326999233306464,-0.33614267346752,-0.627478744841098,-0.808629749538699,-0.705997828264295,-0.705997828264295,-0.761063907559449
"MIR340",0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.59609079445145,0.549598704417209,0.316987099907496,0.277613742158692,-0.295766092239729,-0.316987099907496,-0.508007384344877,-0.694512821321144,-0.59609079445145,-0.59609079445145,-0.648801637824944
"MIR1199",0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.59609079445145,0.549598704417209,0.316987099907496,0.277613742158692,-0.295766092239729,-0.316987099907496,-0.508007384344877,-0.694512821321144,-0.59609079445145,-0.59609079445145,-0.648801637824944
"CD24",0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.648801637824944,0.59609079445145,0.549598704417209,0.316987099907496,0.277613742158692,-0.295766092239729,-0.316987099907496,-0.508007384344877,-0.694512821321144,-0.59609079445145,-0.59609079445145,-0.648801637824944
"ESRP1",0.59609079445145,0.59609079445145,0.59609079445145,0.59609079445145,0.59609079445145,0.534615384615385,0.508007384344877,0.291222907767758,0.252726864330638,-0.277613742158692,-0.291222907767758,-0.462101677148847,-0.648801637824944,-0.534615384615385,-0.634615384615385,-0.59609079445145
"MIR200",0.541001427921355,0.541001427921355,0.541001427921355,0.541001427921355,0.541001427921355,0.502229089149016,0.537050053713828,0.307775031818352,0.266684517087833,-0.281793615482234,-0.307775031818352,-0.607943158757789,-0.574613934900696,-0.502229089149016,-0.502229089149016,-0.541001427921355
"MIR129",0.525419923280661,0.525419923280661,0.525419923280661,0.525419923280661,0.525419923280661,0.48892798779679,0.358280974506442,0.41629586317983,0.168484478391443,-0.185850383861438,-0.382494927770014,-0.333325857809853,-0.556581703953842,-0.48892798779679,-0.48892798779679,-0.525419923280661
"MIR34",0.330908759619188,0.330908759619188,0.330908759619188,0.330908759619188,0.330908759619188,0.310104161918038,0.300096002332551,0.243980646551425,0.153718021998768,-0.159276934385475,-0.243980646551425,-0.282889869453505,-0.348679657452005,-0.310104161918038,-0.310104161918038,-0.330908759619188
"MIR190",0.310104161918038,0.310104161918038,0.310104161918038,0.310104161918038,0.310104161918038,0.286187629012741,0.282889869453505,0.233047313218091,0.141751494802115,-0.153718021998768,-0.233047313218091,-0.366870912107533,-0.330908759619188,-0.286187629012741,-0.286187629012741,-0.310104161918038
"TGFB",-0.330908759619188,-0.330908759619188,-0.330908759619188,-0.330908759619188,-0.330908759619188,-0.310104161918038,-0.300096002332551,-0.243980646551425,-0.153718021998768,0.159276934385475,0.243980646551425,0.282889869453505,0.348679657452005,0.310104161918038,0.310104161918038,0.330908759619188
"SNAIL1",-0.348679657452005,-0.348679657452005,-0.348679657452005,-0.348679657452005,-0.348679657452005,-0.330908759619188,-0.312910226734758,-0.25148305735181,-0.159276934385475,0.0668518662655836,0.25148305735181,0.300096002332551,0.364011159419486,0.330908759619188,0.330908759619188,0.348679657452005
"TWIST1",-0.556581703953842,-0.556581703953842,-0.556581703953842,-0.556581703953842,-0.556581703953842,-0.525419923280661,-0.383851357631711,-0.432481814995235,-0.185850383861438,0.194715021043134,0.298709310402307,0.358280974506442,0.58347322628748,0.525419923280661,0.525419923280661,0.556581703953842
"ZEB1",-0.694512821321144,-0.694512821321144,-0.694512821321144,-0.694512821321144,-0.694512821321144,-0.648801637824944,-0.584254101036195,-0.337861644415565,-0.295766092239729,0.313200494572091,0.337861644415565,0.549598704417209,0.634044962072078,0.648801637824944,0.648801637824944,0.694512821321144
"HAS2",-0.59609079445145,-0.59609079445145,-0.59609079445145,-0.59609079445145,-0.59609079445145,-0.534615384615385,-0.508007384344877,-0.291222907767758,-0.252726864330638,0.277613742158692,0.291222907767758,0.462101677148847,0.648801637824944,0.634615384615385,0.534615384615385,0.59609079445145
"HA",-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.59609079445145,-0.549598704417209,-0.316987099907496,-0.277613742158692,0.295766092239729,0.316987099907496,0.508007384344877,0.694512821321144,0.59609079445145,0.59609079445145,0.648801637824944
"CD44s",-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.648801637824944,-0.59609079445145,-0.549598704417209,-0.316987099907496,-0.277613742158692,0.295766092239729,0.316987099907496,0.508007384344877,0.694512821321144,0.59609079445145,0.59609079445145,0.648801637824944
