"","MIR340","MIR200","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.792304972310342,0.792304972310342,0.792304972310342,0.792304972310342,0.792304972310342,0.792304972310342,0.828141403537107,0.698674547299158,0.360755242434745,-0.361932184169349,-0.360755242434745,-0.728141403537107,-0.728141403537107,-0.728141403537107,-0.85007092975715,-0.792304972310342
"MIR340",0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.620985003574142,0.579808604192739,0.345546553334945,-0.343170566640961,-0.345546553334945,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.7393880813924,-0.683260452675938
"MIR1199",0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.620985003574142,0.579808604192739,0.345546553334945,-0.343170566640961,-0.345546553334945,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.7393880813924,-0.683260452675938
"CD24",0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.683260452675938,0.620985003574142,0.579808604192739,0.345546553334945,-0.343170566640961,-0.345546553334945,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.7393880813924,-0.683260452675938
"ESRP1",0.620985003574142,0.620985003574142,0.620985003574142,0.620985003574142,0.620985003574142,0.620985003574142,0.551305703282597,0.531209335008817,0.31626590490536,-0.318389864886575,-0.31626590490536,-0.551305703282597,-0.551305703282597,-0.651305703282597,-0.683260452675938,-0.620985003574142
"MIR200",0.583812067123082,0.583812067123082,0.583812067123082,0.583812067123082,0.583812067123082,0.583812067123082,0.530945022384582,0.58069325232974,0.329924833878195,-0.310675682966566,-0.329924833878195,-0.630945022384581,-0.530945022384582,-0.530945022384582,-0.62607167157864,-0.583812067123082
"MIR129",0.570175054112554,0.570175054112554,0.570175054112554,0.570175054112554,0.570175054112554,0.570175054112554,0.51903869047619,0.390344739400722,0.429211898476191,-0.207382706399609,-0.39534012430996,-0.51903869047619,-0.51903869047619,-0.51903869047619,-0.606481628278395,-0.570175054112554
"MIR34",0.318357869146827,0.318357869146827,0.318357869146827,0.318357869146827,0.318357869146827,0.318357869146827,0.299406010524036,0.309031833969114,0.24525714879806,-0.15584780946362,-0.24525714879806,-0.299406010524036,-0.299406010524036,-0.299406010524036,-0.34475032844417,-0.318357869146827
"MIR190",0.299406010524036,0.299406010524036,0.299406010524036,0.299406010524036,0.299406010524036,0.299406010524036,0.262653873771899,0.289890640373772,0.230126714015451,-0.152113102444947,-0.230126714015451,-0.362653873771899,-0.262653873771899,-0.262653873771899,-0.318357869146827,-0.299406010524036
"TGFB",-0.318357869146827,-0.318357869146827,-0.318357869146827,-0.318357869146827,-0.318357869146827,-0.318357869146827,-0.299406010524036,-0.309031833969114,-0.24525714879806,0.15584780946362,0.24525714879806,0.299406010524036,0.299406010524036,0.299406010524036,0.34475032844417,0.318357869146827
"SNAIL1",-0.34475032844417,-0.34475032844417,-0.34475032844417,-0.34475032844417,-0.34475032844417,-0.34475032844417,-0.318357869146827,-0.326371684753781,-0.253060916134015,0.06843210481166,0.253060916134015,0.318357869146827,0.318357869146827,0.318357869146827,0.361982267607668,0.34475032844417
"TWIST1",-0.606481628278395,-0.606481628278395,-0.606481628278395,-0.606481628278395,-0.606481628278395,-0.606481628278395,-0.570175054112554,-0.421834693647787,-0.450718659583724,0.218619856346437,0.316872148770855,0.570175054112554,0.570175054112554,0.570175054112554,0.645623340138805,0.606481628278395
"HAS2",-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.620985003574142,-0.551305703282597,-0.531209335008817,-0.31626590490536,0.318389864886575,0.31626590490536,0.551305703282597,0.651305703282597,0.551305703282597,0.683260452675938,0.620985003574142
"ZEB1",-0.7393880813924,-0.7393880813924,-0.7393880813924,-0.7393880813924,-0.7393880813924,-0.7393880813924,-0.683260452675938,-0.623457665737916,-0.371907279055329,0.364828476740202,0.371907279055329,0.683260452675938,0.683260452675938,0.683260452675938,0.689770344389342,0.7393880813924
"HA",-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.620985003574142,-0.579808604192739,-0.345546553334945,0.343170566640961,0.345546553334945,0.620985003574142,0.620985003574142,0.620985003574142,0.7393880813924,0.683260452675938
"CD44s",-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.683260452675938,-0.620985003574142,-0.579808604192739,-0.345546553334945,0.343170566640961,0.345546553334945,0.620985003574142,0.620985003574142,0.620985003574142,0.7393880813924,0.683260452675938
