"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR200","CD24","MIR129","SNAIL1","TWIST1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.844056288482137,0.844056288482137,0.844056288482137,0.844056288482137,0.844056288482137,0.78711325530164,0.865133571854502,0.303214137143536,-0.298392282286049,-0.303214137143536,-0.740367756555149,-0.765133571854502,-0.765133571854502,-0.916787665457306,-0.844056288482137
"MIR340",0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.679533081167347,0.657346920532761,0.270126568346907,-0.199392203294885,-0.270126568346907,-0.635146526864501,-0.657346920532761,-0.657346920532761,-0.806586161338833,-0.736327812252507
"MIR1199",0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.679533081167347,0.657346920532761,0.270126568346907,-0.199392203294885,-0.270126568346907,-0.635146526864501,-0.657346920532761,-0.657346920532761,-0.806586161338833,-0.736327812252507
"CD24",0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.736327812252507,0.679533081167347,0.657346920532761,0.270126568346907,-0.199392203294885,-0.270126568346907,-0.635146526864501,-0.657346920532761,-0.657346920532761,-0.806586161338833,-0.736327812252507
"ESRP1",0.657346920532761,0.657346920532761,0.657346920532761,0.657346920532761,0.657346920532761,0.616207897793264,0.578585858585859,0.244152542372881,-0.159014844804318,-0.244152542372881,-0.558542753279595,-0.578585858585859,-0.678585858585859,-0.736327812252507,-0.657346920532761
"MIR200",0.600812508536981,0.600812508536981,0.600812508536981,0.600812508536981,0.600812508536981,0.621366033146873,0.543544557573759,0.286580909866572,-0.19702097176423,-0.286580909866572,-0.706814016041058,-0.543544557573759,-0.543544557573759,-0.651743134594511,-0.600812508536981
"MIR129",0.565838123123875,0.565838123123875,0.565838123123875,0.565838123123875,0.565838123123875,0.412675475994814,0.5192339076672,0.417040789266627,-0.205547919469497,-0.386597273079415,-0.424138122536771,-0.5192339076672,-0.5192339076672,-0.611821029106781,-0.565838123123875
"MIR190",0.329796652452091,0.329796652452091,0.329796652452091,0.329796652452091,0.329796652452091,0.307701178767175,0.299057352841196,0.223980692617986,-0.155531049314705,-0.223980692617986,-0.423282194901861,-0.299057352841196,-0.299057352841196,-0.358305424381915,-0.329796652452091
"TGFB",-0.358305424381915,-0.358305424381915,-0.358305424381915,-0.358305424381915,-0.358305424381915,-0.33187640862115,-0.329796652452091,-0.235737961897379,0.165291049314705,0.235737961897379,0.350689602309268,0.329796652452091,0.329796652452091,0.384239551146377,0.358305424381915
"SNAIL1",-0.384239551146377,-0.384239551146377,-0.384239551146377,-0.384239551146377,-0.384239551146377,-0.353653089682223,-0.358305424381915,-0.246272013832705,0.0746276586513148,0.246272013832705,0.376707631529038,0.358305424381915,0.358305424381915,0.408421598126243,0.384239551146377
"TWIST1",-0.611821029106781,-0.611821029106781,-0.611821029106781,-0.611821029106781,-0.611821029106781,-0.450083475994814,-0.565838123123875,-0.433139860474057,0.225414204092229,0.302761232862865,0.46746156467327,0.565838123123875,0.565838123123875,0.652290140438132,0.611821029106781
"HAS2",-0.657346920532761,-0.657346920532761,-0.657346920532761,-0.657346920532761,-0.657346920532761,-0.616207897793264,-0.578585858585859,-0.244152542372881,0.159014844804318,0.244152542372881,0.558542753279595,0.678585858585859,0.578585858585859,0.736327812252507,0.657346920532761
"ZEB1",-0.806586161338833,-0.806586161338833,-0.806586161338833,-0.806586161338833,-0.806586161338833,-0.74231059651926,-0.736327812252507,-0.305210100566478,0.219275244230557,0.305210100566478,0.705271008192302,0.736327812252507,0.736327812252507,0.773774402211284,0.806586161338833
"HA",-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.679533081167347,-0.657346920532761,-0.270126568346907,0.199392203294885,0.270126568346907,0.635146526864501,0.657346920532761,0.657346920532761,0.806586161338833,0.736327812252507
"CD44s",-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.736327812252507,-0.679533081167347,-0.657346920532761,-0.270126568346907,0.199392203294885,0.270126568346907,0.635146526864501,0.657346920532761,0.657346920532761,0.806586161338833,0.736327812252507
