"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","MIR129","TWIST1","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.783580203132011,0.783580203132011,0.783580203132011,0.783580203132011,0.783580203132011,0.821996815721239,0.695641176965642,0.695641176965642,0.337298108597699,-0.352912427347684,-0.362481124703116,-0.676399187315493,-0.721996815721239,-0.721996815721239,-0.838259559578873,-0.783580203132011
"MIR340",0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.613616219491096,0.576407273279349,0.576407273279349,0.318933477949816,-0.337298108597699,-0.343835052752966,-0.561225375931258,-0.613616219491096,-0.613616219491096,-0.726481032010051,-0.673720295813732
"MIR1199",0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.613616219491096,0.576407273279349,0.576407273279349,0.318933477949816,-0.337298108597699,-0.343835052752966,-0.561225375931258,-0.613616219491096,-0.613616219491096,-0.726481032010051,-0.673720295813732
"CD24",0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.673720295813732,0.613616219491096,0.576407273279349,0.576407273279349,0.318933477949816,-0.337298108597699,-0.343835052752966,-0.561225375931258,-0.613616219491096,-0.613616219491096,-0.726481032010051,-0.673720295813732
"ESRP1",0.613616219491096,0.613616219491096,0.613616219491096,0.613616219491096,0.613616219491096,0.547636838047797,0.529186550127704,0.529186550127704,0.292933477949816,-0.309755735716343,-0.318933477949816,-0.503382238676356,-0.547636838047797,-0.647636838047797,-0.673720295813732,-0.613616219491096
"MIR200",0.574813754264274,0.574813754264274,0.574813754264274,0.574813754264274,0.574813754264274,0.527097218831203,0.577169910483433,0.577169910483433,0.291252569672068,-0.320584572805959,-0.311358545533122,-0.674651635583497,-0.527097218831203,-0.527097218831203,-0.615977229963832,-0.574813754264274
"MIR129",0.540185867719407,0.540185867719407,0.540185867719407,0.540185867719407,0.540185867719407,0.498782358947478,0.378102082061404,0.378102082061404,0.192902214920287,-0.374675458824189,-0.21028720281375,-0.398764969072743,-0.498782358947478,-0.498782358947478,-0.576546769975047,-0.540185867719407
"MIR34",0.347430348653492,0.347430348653492,0.347430348653492,0.347430348653492,0.347430348653492,0.323673442576144,0.316729492273654,0.316729492273654,0.161880536255286,-0.235109190558639,-0.170526289889563,-0.341209132754607,-0.323673442576144,-0.323673442576144,-0.369459380396992,-0.347430348653492
"MIR190",0.323673442576144,0.323673442576144,0.323673442576144,0.323673442576144,0.323673442576144,0.294950038320825,0.297136616955588,0.297136616955588,0.148913503288253,-0.223322118315293,-0.161880536255286,-0.417370748916223,-0.294950038320825,-0.294950038320825,-0.347430348653492,-0.323673442576144
"TGFB",-0.347430348653492,-0.347430348653492,-0.347430348653492,-0.347430348653492,-0.347430348653492,-0.323673442576144,-0.316729492273654,-0.316729492273654,-0.161880536255286,0.235109190558639,0.170526289889563,0.341209132754607,0.323673442576144,0.323673442576144,0.369459380396992,0.347430348653492
"SNAIL1",-0.369459380396992,-0.369459380396992,-0.369459380396992,-0.369459380396992,-0.369459380396992,-0.347430348653492,-0.333608785698581,-0.333608785698581,-0.170526289889563,0.244870825064882,0.0797735635840397,0.362386221561754,0.347430348653492,0.347430348653492,0.388523073607107,0.369459380396992
"TWIST1",-0.576546769975047,-0.576546769975047,-0.576546769975047,-0.576546769975047,-0.576546769975047,-0.540185867719407,-0.407192991152313,-0.407192991152313,-0.21028720281375,0.291802927405877,0.224481726583278,0.434164969072743,0.540185867719407,0.540185867719407,0.609089534168561,0.576546769975047
"HAS2",-0.613616219491096,-0.613616219491096,-0.613616219491096,-0.613616219491096,-0.613616219491096,-0.547636838047797,-0.529186550127704,-0.529186550127704,-0.292933477949816,0.309755735716343,0.318933477949816,0.503382238676356,0.647636838047797,0.547636838047797,0.673720295813732,0.613616219491096
"ZEB1",-0.726481032010051,-0.726481032010051,-0.726481032010051,-0.726481032010051,-0.726481032010051,-0.673720295813732,-0.618470765342842,-0.618470765342842,-0.343835052752966,0.362481124703116,0.364676222183638,0.61338771791396,0.673720295813732,0.673720295813732,0.673963046398541,0.726481032010051
"HA",-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.613616219491096,-0.576407273279349,-0.576407273279349,-0.318933477949816,0.337298108597699,0.343835052752966,0.561225375931258,0.613616219491096,0.613616219491096,0.726481032010051,0.673720295813732
"CD44s",-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.673720295813732,-0.613616219491096,-0.576407273279349,-0.576407273279349,-0.318933477949816,0.337298108597699,0.343835052752966,0.561225375931258,0.613616219491096,0.613616219491096,0.726481032010051,0.673720295813732
