"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","TWIST1","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.785373221786129,0.785373221786129,0.785373221786129,0.785373221786129,0.785373221786129,0.822752532130957,0.697127830024619,0.697127830024619,-0.336526340013505,-0.362022894533164,-0.677025817852845,-0.722752532130957,-0.722752532130957,-0.841293790552984,-0.785373221786129
"MIR340",0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.614323541298208,0.578025368849338,0.578025368849338,-0.318389864886575,-0.343294079445962,-0.56168167531475,-0.614323541298208,-0.614323541298208,-0.729624954080952,-0.675655641205701
"MIR1199",0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.614323541298208,0.578025368849338,0.578025368849338,-0.318389864886575,-0.343294079445962,-0.56168167531475,-0.614323541298208,-0.614323541298208,-0.729624954080952,-0.675655641205701
"CD24",0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.675655641205701,0.614323541298208,0.578025368849338,0.578025368849338,-0.318389864886575,-0.343294079445962,-0.56168167531475,-0.614323541298208,-0.614323541298208,-0.729624954080952,-0.675655641205701
"ESRP1",0.614323541298208,0.614323541298208,0.614323541298208,0.614323541298208,0.614323541298208,0.547927877341569,0.529390854032372,0.529390854032372,-0.291202364886575,-0.318389864886575,-0.503710660821996,-0.547927877341569,-0.647927877341569,-0.675655641205701,-0.614323541298208
"MIR200",0.578025368849338,0.578025368849338,0.578025368849338,0.578025368849338,0.578025368849338,0.529390854032372,0.579290533840659,0.579290533840659,-0.288160677518528,-0.31082462587055,-0.677045024324018,-0.529390854032372,-0.529390854032372,-0.620989099419287,-0.578025368849338
"MIR34",0.343294079445962,0.343294079445962,0.343294079445962,0.343294079445962,0.343294079445962,0.318389864886575,0.31082462587055,0.31082462587055,-0.152450996587911,-0.157088861899219,-0.333689110125915,-0.318389864886575,-0.318389864886575,-0.3649471644285,-0.343294079445962
"MIR190",0.318389864886575,0.318389864886575,0.318389864886575,0.318389864886575,0.318389864886575,0.291202364886575,0.288160677518528,0.288160677518528,-0.133454580817301,-0.152450996587911,-0.412997398736529,-0.291202364886575,-0.291202364886575,-0.343294079445962,-0.318389864886575
"TGFB",-0.343294079445962,-0.343294079445962,-0.343294079445962,-0.343294079445962,-0.343294079445962,-0.318389864886575,-0.31082462587055,-0.31082462587055,0.152450996587911,0.157088861899219,0.333689110125915,0.318389864886575,0.318389864886575,0.3649471644285,0.343294079445962
"SNAIL1",-0.3649471644285,-0.3649471644285,-0.3649471644285,-0.3649471644285,-0.3649471644285,-0.343294079445962,-0.326025782218417,-0.326025782218417,0.157088861899219,0.069245548076617,0.357211122704531,0.343294079445962,0.343294079445962,0.384881447013385,0.3649471644285
"TWIST1",-0.579989168691842,-0.579989168691842,-0.579989168691842,-0.579989168691842,-0.579989168691842,-0.54154350156667,-0.408518746637061,-0.408518746637061,0.207598465899027,0.219678867909077,0.433581360782721,0.54154350156667,0.54154350156667,0.613526950831194,0.579989168691842
"HAS2",-0.614323541298208,-0.614323541298208,-0.614323541298208,-0.614323541298208,-0.614323541298208,-0.547927877341569,-0.529390854032372,-0.529390854032372,0.291202364886575,0.318389864886575,0.503710660821996,0.647927877341569,0.547927877341569,0.675655641205701,0.614323541298208
"ZEB1",-0.729624954080952,-0.729624954080952,-0.729624954080952,-0.729624954080952,-0.729624954080952,-0.675655641205701,-0.620989099419287,-0.620989099419287,0.343294079445962,0.3649471644285,0.615214865892908,0.675655641205701,0.675655641205701,0.678699678840849,0.729624954080952
"HA",-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.614323541298208,-0.578025368849338,-0.578025368849338,0.318389864886575,0.343294079445962,0.56168167531475,0.614323541298208,0.614323541298208,0.729624954080952,0.675655641205701
"CD44s",-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.675655641205701,-0.614323541298208,-0.578025368849338,-0.578025368849338,0.318389864886575,0.343294079445962,0.56168167531475,0.614323541298208,0.614323541298208,0.729624954080952,0.675655641205701
